indexInDoc	indexInText	token	taggerPOS	goldPOS	correct?
104	114	is	VBZ	VBZ	YES
105	116	Introduction	NN	??	NO
106	117	Solvency	NN	NNP	NO
107	118	2	CD	CD	YES
108	119	standards	NNS	NNS	YES
109	120	will	MD	MD	YES
110	121	make	VB	VB	YES
111	122	a	DT	DT	YES
112	123	radical	JJ	JJ	YES
113	124	change	NN	NN	YES
114	125	in	IN	IN	YES
115	126	risk	NN	NN	YES
116	127	management	NN	NN	YES
117	128	practices	NNS	NNS	YES
118	129	in	IN	IN	YES
119	130	the	DT	DT	YES
120	131	actuarial	JJ	JJ	YES
121	132	sector	NN	NN	YES
122	134	They	PRP	PRP	YES
123	135	are	VBP	VBP	YES
124	136	based	VBN	VBN	YES
125	137	on	IN	IN	YES
126	138	a	DT	DT	YES
127	139	strengthening	NN	NN	YES
128	140	of	IN	IN	YES
129	141	risk	NN	NN	YES
130	142	control	NN	NN	YES
131	143	and	CC	CC	YES
132	144	minimization	NN	NN	YES
133	145	of	IN	IN	YES
134	146	a	DT	DT	YES
135	147	ruin	VBP	??	NO
136	148	probability	NN	NN	YES
137	150	The	DT	DT	YES
138	151	determination	NN	NN	YES
139	152	of	IN	IN	YES
140	153	the	DT	DT	YES
141	154	economic	JJ	JJ	YES
142	155	regulatory	JJ	JJ	YES
143	156	capital	NN	NN	YES
144	157	will	MD	MD	YES
145	158	be	VB	VB	YES
146	159	faced	VBN	VBN	YES
147	160	under	IN	IN	YES
148	161	this	DT	DT	YES
149	162	prudential	JJ	JJ	YES
150	163	mechanism	NN	NN	YES
151	164	with	IN	IN	YES
152	165	a	DT	DT	YES
153	166	kind	NN	NN	YES
154	167	of	IN	IN	YES
155	168	methodological	JJ	JJ	YES
156	169	revolution	NN	NN	YES
157	171	A	DT	DT	YES
158	172	choices	NNS	NNS	YES
159	173	of	IN	IN	YES
160	174	a	DT	DT	YES
161	175	dependence	NN	NN	YES
162	176	model	NN	NN	YES
163	177	between	IN	IN	YES
164	178	different	JJ	JJ	YES
165	179	risks	NNS	NNS	YES
166	180	and	CC	CC	YES
167	181	of	IN	IN	YES
168	182	an	DT	DT	YES
169	183	aggregation	NN	NN	YES
170	184	methodology	NN	NN	YES
171	185	are	VBP	VBP	YES
172	186	both	DT	DT	YES
173	187	required	VBN	VBN	YES
174	189	In	IN	IN	YES
175	190	the	DT	DT	YES
176	191	prescribed	VBN	VBN	YES
177	192	Standard	NNP	NNP	YES
178	193	Formula	NNP	NNP	YES
179	195	risks	VBZ	NNS	NO
180	196	aggregation	NN	NN	YES
181	197	is	VBZ	VBZ	YES
182	198	done	VBN	VBN	YES
183	199	using	VBG	VBG	YES
184	200	correlation	NN	NN	YES
185	201	matrices	NNS	NNS	YES
186	202	that	WDT	WDT	YES
187	203	connect	VBP	VBP	YES
188	204	families	NNS	NNS	YES
189	205	and	CC	CC	YES
190	206	subfamilies	NNS	NNS	YES
191	207	of	IN	IN	YES
192	208	risks	NNS	NNS	YES
193	210	Recently	RB	RB	YES
194	211	the	DT	DT	YES
195	212	proof	NN	NN	YES
196	213	of	IN	IN	YES
197	214	factorization	NN	NN	YES
198	215	in	IN	IN	YES
199	216	heavy	JJ	JJ	YES
200	217	quarkonium	NN	NN	YES
201	218	production	NN	NN	YES
202	219	in	IN	IN	YES
203	220	NRQCD	NNP	NNP	YES
204	221	color	NN	NN	YES
205	222	octet	NN	NN	YES
206	223	mechanism	NN	NN	YES
207	224	is	VBZ	VBZ	YES
208	225	given	VBN	VBN	YES
209	226	at	IN	IN	YES
210	228	order	NN	NN	YES
211	230	NNLO	NN	NN	YES
212	232	in	IN	IN	YES
213	233	coupling	NN	VBG	NO
214	234	constant	JJ	JJ	YES
215	235	by	IN	IN	YES
216	236	using	VBG	VBG	YES
217	237	diagrammatic	JJ	JJ	YES
218	238	method	NN	NN	YES
219	239	of	IN	IN	YES
220	240	QCD	NNP	NNP	YES
221	242	In	IN	IN	YES
222	243	this	DT	DT	YES
223	244	paper	NN	NN	YES
224	245	we	PRP	PRP	YES
225	246	prove	VBP	VBP	YES
226	247	factorization	NN	NN	YES
227	248	in	IN	IN	YES
228	249	heavy	JJ	JJ	YES
229	250	quarkonium	NN	NN	YES
230	251	production	NN	NN	YES
231	252	in	IN	IN	YES
232	253	NRQCD	NNP	NNP	YES
233	254	color	NN	NN	YES
234	255	octet	NN	NN	YES
235	256	mechanism	NN	NN	YES
236	257	at	IN	IN	YES
237	258	all	DT	DT	YES
238	259	order	NN	NN	YES
239	260	in	IN	IN	YES
240	261	coupling	NN	VBG	NO
241	262	constant	JJ	JJ	YES
242	263	by	IN	IN	YES
243	264	using	VBG	VBG	YES
244	265	path	NN	NN	YES
245	266	integral	JJ	JJ	YES
246	267	method	NN	NN	YES
247	268	of	IN	IN	YES
248	269	QCD	NNP	NNP	YES
249	271	Our	PRP$	PRP$	YES
250	272	proof	NN	NN	YES
251	273	is	VBZ	VBZ	YES
252	274	valid	JJ	JJ	YES
253	275	to	TO	TO	YES
254	276	all	DT	DT	YES
255	277	powers	NNS	NNS	YES
256	278	in	IN	IN	YES
257	279	the	DT	DT	YES
258	280	heavy	JJ	JJ	YES
259	281	quark	NN	NN	YES
260	282	relative	JJ	JJ	YES
261	283	velocity	NN	NN	YES
262	285	We	PRP	PRP	YES
263	286	find	VBP	VBP	YES
264	287	that	IN	IN	YES
265	288	the	DT	DT	YES
266	289	gauge	NN	NN	YES
267	290	invariance	NN	NN	YES
268	291	and	CC	CC	YES
269	292	the	DT	DT	YES
270	293	factorization	NN	NN	YES
271	294	at	IN	IN	YES
272	295	all	DT	DT	YES
273	296	order	NN	NN	YES
274	297	in	IN	IN	YES
275	298	coupling	NN	VBG	NO
276	299	constant	JJ	JJ	YES
277	300	require	VBP	VBP	YES
278	303	NRQCD	NN	NN	YES
279	304	matrix	NN	NN	YES
280	305	elements	NNS	NNS	YES
281	306	that	WDT	WDT	YES
282	307	were	VBD	VBD	YES
283	308	introduced	VBN	VBN	YES
284	309	previously	RB	RB	YES
285	310	to	TO	TO	YES
286	311	prove	VB	VB	YES
287	312	factorization	NN	NN	YES
288	313	at	IN	IN	YES
289	314	NNLO	NNP	NN	NO
290	316	INTRODUCTION	NN	??	NO
291	317	In	IN	IN	YES
292	318	the	DT	DT	YES
293	319	last	JJ	JJ	YES
294	320	two	CD	CD	YES
295	321	decades	NNS	NNS	YES
296	323	the	DT	DT	YES
297	324	NRQCD	NNP	NN	NO
298	325	color	NN	NN	YES
299	326	octet	NN	NN	YES
300	327	mechanism	NN	NN	YES
301	329	1	CD	??	NO
302	331	for	IN	IN	YES
303	332	heavy	JJ	JJ	YES
304	333	quarkonium	NN	NN	YES
305	334	production	NN	NN	YES
306	335	has	VBZ	VBZ	YES
307	336	been	VBN	VBN	YES
308	337	very	RB	RB	YES
309	338	successful	JJ	JJ	YES
310	339	in	IN	IN	YES
311	340	explaining	VBG	VBG	YES
312	341	experimental	JJ	JJ	YES
313	342	data	NNS	NNS	YES
314	343	at	IN	IN	YES
315	344	high	JJ	JJ	YES
316	345	energy	NN	NN	YES
317	346	colliders	NNS	NNS	YES
318	347	such	JJ	JJ	YES
319	348	as	IN	IN	YES
320	349	at	IN	IN	YES
321	350	Tevatron	NNP	NNP	YES
322	352	2	CD	CD	YES
323	354	and	CC	CC	YES
324	355	at	IN	IN	YES
325	356	LHC	NNP	NNP	YES
326	358	3	CD	??	NO
327	361	In	IN	IN	YES
328	362	its	PRP$	PRP$	YES
329	363	original	JJ	JJ	YES
330	364	formulation	NN	NN	YES
331	366	1	CD	??	NO
332	368	the	DT	DT	YES
333	369	proof	NN	NN	YES
334	370	of	IN	IN	YES
335	371	factorization	NN	NN	YES
336	372	in	IN	IN	YES
337	373	heavy	JJ	JJ	YES
338	374	quarkonium	NN	NN	YES
339	375	production	NN	NN	YES
340	376	in	IN	IN	YES
341	377	NRQCD	NNP	NNP	YES
342	378	color	NN	NN	YES
343	379	octet	NN	NN	YES
344	380	mechanism	NN	NN	YES
345	381	was	VBD	VBD	YES
346	382	lacking	VBG	VBG	YES
347	384	The	DT	DT	YES
348	385	proof	NN	NN	YES
349	386	of	IN	IN	YES
350	387	factorization	NN	NN	YES
351	388	is	VBZ	VBZ	YES
352	389	an	DT	DT	YES
353	390	essential	JJ	JJ	YES
354	391	requirement	NN	NN	YES
355	392	to	TO	TO	YES
356	393	study	VB	VB	YES
357	394	heavy	JJ	JJ	YES
358	395	quarkonium	NN	NN	YES
359	396	production	NN	NN	YES
360	397	at	IN	IN	YES
361	398	high	JJ	JJ	YES
362	399	energy	NN	NN	YES
363	400	colliders	NNS	NNS	YES
364	402	Factorization	NN	NN	YES
365	403	refers	VBZ	VBZ	YES
366	404	to	TO	TO	YES
367	405	separation	NN	NN	YES
368	406	of	IN	IN	YES
369	408	effects	NNS	NNS	YES
370	409	from	IN	IN	YES
371	411	effects	NNS	NNS	YES
372	412	in	IN	IN	YES
373	413	quantum	NN	JJ	NO
374	414	field	NN	NN	YES
375	415	theory	NN	NN	YES
376	417	We	PRP	PRP	YES
377	418	propose	VBP	VBP	YES
378	419	algorithms	NNS	NNS	YES
379	420	to	TO	TO	YES
380	421	approximate	JJ	VB	NO
381	422	directed	VBN	VBN	YES
382	423	information	NN	NN	YES
383	424	graphs	NNS	NNS	YES
384	426	Directed	NNP	JJ	NO
385	427	information	NN	NN	YES
386	428	graphs	NNS	NNS	YES
387	429	are	VBP	VBP	YES
388	430	probabilistic	JJ	JJ	YES
389	431	graphical	JJ	JJ	YES
390	432	models	NNS	NNS	YES
391	433	that	WDT	WDT	YES
392	434	depict	VBP	VBP	YES
393	435	causal	JJ	JJ	YES
394	436	dependencies	NNS	NNS	YES
395	437	between	IN	IN	YES
396	438	stochastic	JJ	JJ	YES
397	439	processes	NNS	NNS	YES
398	440	in	IN	IN	YES
399	441	a	DT	DT	YES
400	442	network	NN	NN	YES
401	444	The	DT	DT	YES
402	445	proposed	VBN	VBN	YES
403	446	algorithms	NNS	NNS	YES
404	447	identify	VBP	VBP	YES
405	448	optimal	JJ	JJ	YES
406	449	and	CC	CC	YES
407	451	approximations	NNS	NNS	YES
408	452	in	IN	IN	YES
409	453	terms	NNS	NNS	YES
410	454	of	IN	IN	YES
411	456	divergence	NN	NN	YES
412	458	The	DT	DT	YES
413	460	sparsity	NN	NN	YES
414	461	trades	NNS	NNS	YES
415	462	off	IN	IN	YES
416	463	the	DT	DT	YES
417	464	quality	NN	NN	YES
418	465	of	IN	IN	YES
419	466	the	DT	DT	YES
420	467	approximation	NN	NN	YES
421	468	against	IN	IN	YES
422	469	visual	JJ	JJ	YES
423	470	conciseness	NN	NN	YES
424	471	and	CC	CC	YES
425	472	computational	JJ	JJ	YES
426	473	tractability	NN	NN	YES
427	475	One	CD	CD	YES
428	476	class	NN	NN	YES
429	477	of	IN	IN	YES
430	478	approximations	NNS	NNS	YES
431	479	contains	VBZ	VBZ	YES
432	480	graphs	NNS	NNS	YES
433	481	with	IN	IN	YES
434	482	specified	VBN	VBN	YES
435	485	Another	DT	DT	YES
436	486	class	NN	NN	YES
437	487	additionally	RB	RB	YES
438	488	requires	VBZ	VBZ	YES
439	489	that	IN	IN	YES
440	490	the	DT	DT	YES
441	491	graph	NN	NN	YES
442	492	is	VBZ	VBZ	YES
443	493	connected	VBN	VBN	YES
444	495	For	IN	IN	YES
445	496	both	DT	DT	YES
446	497	classes	NNS	NNS	YES
447	499	we	PRP	PRP	YES
448	500	propose	VBP	VBP	YES
449	501	algorithms	NNS	NNS	YES
450	502	to	TO	TO	YES
451	503	identify	VB	VB	YES
452	504	the	DT	DT	YES
453	505	optimal	JJ	JJ	YES
454	506	approximations	NNS	NNS	YES
455	507	and	CC	CC	YES
456	508	also	RB	RB	YES
457	510	approximations	NNS	NNS	YES
458	512	using	VBG	VBG	YES
459	513	a	DT	DT	YES
460	514	novel	JJ	JJ	YES
461	515	relaxation	NN	NN	YES
462	516	of	IN	IN	YES
463	517	submodularity	NN	NN	YES
464	519	We	PRP	PRP	YES
465	520	also	RB	RB	YES
466	521	propose	VBP	VBP	YES
467	522	algorithms	NNS	NNS	YES
468	523	to	TO	TO	YES
469	524	identify	VB	VB	YES
470	525	the	DT	DT	YES
471	527	approximations	NNS	NNS	YES
472	528	among	IN	IN	YES
473	529	these	DT	DT	YES
474	530	classes	NNS	NNS	YES
475	532	enabling	VBG	VBG	YES
476	533	robust	JJ	JJ	YES
477	534	decision	NN	NN	YES
478	535	making	NN	NN	YES
479	537	Keywords	NNS	NNS	YES
480	539	probabilistic	JJ	JJ	YES
481	540	graphical	JJ	JJ	YES
482	541	models	NNS	NNS	YES
483	543	network	NN	NN	YES
484	544	inference	NN	NN	YES
485	546	causality	NN	NN	YES
486	548	submodularity	NN	NN	YES
487	550	approximation	NN	NN	YES
488	551	algorithms	NNS	NNS	YES
489	552	1	CD	CD	YES
490	554	Introduction	NN	??	NO
491	555	Many	JJ	JJ	YES
492	556	fields	NNS	NNS	YES
493	557	of	IN	IN	YES
494	558	the	DT	DT	YES
495	559	sciences	NNS	NNS	YES
496	560	and	CC	CC	YES
497	561	engineering	NN	NN	YES
498	562	require	VBP	VBP	YES
499	563	analysis	NN	NN	YES
500	565	modeling	NN	NN	YES
501	567	and	CC	CC	YES
502	568	decision	NN	NN	YES
503	569	making	NN	NN	YES
504	570	using	VBG	VBG	YES
505	571	networks	NNS	NNS	YES
506	573	typically	RB	RB	YES
507	574	represented	VBN	VBN	YES
508	575	by	IN	IN	YES
509	576	graphs	NNS	NNS	YES
510	578	Social	NNP	JJ	NO
511	579	networks	NNS	NNS	YES
512	581	financial	JJ	JJ	YES
513	582	networks	NNS	NNS	YES
514	584	and	CC	CC	YES
515	585	biological	JJ	JJ	YES
516	586	networks	NNS	NNS	YES
517	587	are	VBP	VBP	YES
518	588	a	DT	DT	YES
519	589	few	JJ	JJ	YES
520	590	categories	NNS	NNS	YES
521	591	that	WDT	WDT	YES
522	592	are	VBP	VBP	YES
523	593	relevant	JJ	JJ	YES
524	594	not	RB	RB	YES
525	595	only	RB	RB	YES
526	596	academically	RB	RB	YES
527	597	but	CC	CC	YES
528	598	also	RB	RB	YES
529	599	in	IN	IN	YES
530	600	daily	JJ	JJ	YES
531	601	life	NN	NN	YES
532	603	A	DT	DT	YES
533	604	major	JJ	JJ	YES
534	605	challenge	NN	NN	YES
535	606	for	IN	IN	YES
536	607	studying	VBG	VBG	YES
537	608	networks	NNS	NNS	YES
538	609	is	VBZ	VBZ	YES
539	610	identifying	VBG	VBG	YES
540	611	a	DT	DT	YES
541	612	concise	JJ	JJ	YES
542	613	topology	NN	NN	YES
543	615	such	JJ	JJ	YES
544	616	as	IN	IN	YES
545	617	who	WP	WP	YES
546	618	strongly	RB	RB	YES
547	619	influences	VBZ	VBZ	YES
548	620	whom	WP	WP	YES
549	621	in	IN	IN	YES
550	622	a	DT	DT	YES
551	623	social	JJ	JJ	YES
552	624	network	NN	NN	YES
553	626	Real	JJ	JJ	YES
554	627	world	NN	NN	YES
555	628	networks	NNS	NNS	YES
556	629	are	VBP	VBP	YES
557	630	often	RB	RB	YES
558	631	large	JJ	JJ	YES
559	633	there	EX	EX	YES
560	634	are	VBP	VBP	YES
561	635	tens	NNS	NNS	YES
562	636	of	IN	IN	YES
563	637	thousands	NNS	NNS	YES
564	638	of	IN	IN	YES
565	639	human	JJ	JJ	YES
566	640	genes	NNS	NNS	YES
567	641	and	CC	CC	YES
568	642	trillions	NNS	NNS	YES
569	643	of	IN	IN	YES
570	644	connections	NNS	NNS	YES
571	645	in	IN	IN	YES
572	646	the	DT	DT	YES
573	647	human	JJ	JJ	YES
574	648	brain	NN	NN	YES
575	650	Based	VBN	VBN	YES
576	651	on	IN	IN	YES
577	652	the	DT	DT	YES
578	653	concept	NN	NN	YES
579	654	of	IN	IN	YES
580	655	DNA	NN	NN	YES
581	656	strand	NN	NN	YES
582	657	displacement	NN	NN	YES
583	658	and	CC	CC	YES
584	659	DNA	NN	NN	YES
585	660	strand	NN	NN	YES
586	661	algebra	NN	NN	YES
587	662	we	PRP	PRP	YES
588	663	have	VBP	VBP	YES
589	664	developed	VBN	VBN	YES
590	665	a	DT	DT	YES
591	666	method	NN	NN	YES
592	667	for	IN	IN	YES
593	668	logical	JJ	JJ	YES
594	669	inference	NN	NN	YES
595	670	which	WDT	WDT	YES
596	671	is	VBZ	VBZ	YES
597	672	not	RB	RB	YES
598	673	based	VBN	VBN	YES
599	674	on	IN	IN	YES
600	675	silicon	NN	NN	YES
601	676	based	VBN	VBN	YES
602	677	computing	NN	NN	YES
603	679	Essentially	RB	RB	YES
604	681	it	PRP	PRP	YES
605	682	is	VBZ	VBZ	YES
606	683	a	DT	DT	YES
607	684	paradigm	NN	NN	YES
608	685	shift	NN	NN	YES
609	686	from	IN	IN	YES
610	687	silicon	NN	NN	YES
611	688	to	TO	TO	YES
612	689	carbon	NN	NN	YES
613	691	In	IN	IN	YES
614	692	this	DT	DT	YES
615	693	paper	NN	NN	YES
616	694	we	PRP	PRP	YES
617	695	have	VBP	VBP	YES
618	696	considered	VBN	VBN	YES
619	697	the	DT	DT	YES
620	698	inference	NN	NN	YES
621	699	mechanism	NN	NN	YES
622	701	viz	NN	NN	YES
623	703	modus	NN	NN	YES
624	704	ponens	NNS	NNS	YES
625	706	to	TO	TO	YES
626	707	draw	VB	VB	YES
627	708	conclusion	NN	NN	YES
628	709	from	IN	IN	YES
629	710	any	DT	DT	YES
630	711	observed	VBN	VBN	YES
631	712	fact	NN	NN	YES
632	714	Thus	RB	RB	YES
633	716	the	DT	DT	YES
634	717	present	JJ	JJ	YES
635	718	approach	NN	NN	YES
636	719	to	TO	TO	YES
637	720	logical	JJ	JJ	YES
638	721	inference	NN	NN	YES
639	722	based	VBN	VBN	YES
640	723	on	IN	IN	YES
641	724	DNA	NN	NN	YES
642	725	strand	NN	NN	YES
643	726	algebra	NN	NN	YES
644	727	is	VBZ	VBZ	YES
645	728	basically	RB	RB	YES
646	729	an	DT	DT	YES
647	730	attempt	NN	NN	YES
648	731	to	TO	TO	YES
649	732	develop	VB	VB	YES
650	733	expert	JJ	JJ	YES
651	734	system	NN	NN	YES
652	735	design	NN	NN	YES
653	736	in	IN	IN	YES
654	737	the	DT	DT	YES
655	738	domain	NN	NN	YES
656	739	of	IN	IN	YES
657	740	DNA	NN	NN	YES
658	741	computing	NN	NN	YES
659	743	We	PRP	PRP	YES
660	744	have	VBP	VBP	YES
661	745	illustrated	VBN	VBN	YES
662	746	our	PRP$	PRP$	YES
663	747	methodology	NN	NN	YES
664	748	with	IN	IN	YES
665	749	respect	NN	NN	YES
666	750	to	TO	TO	YES
667	751	worked	VBN	VBN	YES
668	752	out	RP	??	NO
669	753	example	NN	NN	YES
670	755	Our	PRP$	PRP$	YES
671	756	methodology	NN	NN	YES
672	757	is	VBZ	VBZ	YES
673	758	very	RB	RB	YES
674	759	flexible	JJ	JJ	YES
675	760	for	IN	IN	YES
676	761	implementation	NN	NN	YES
677	762	of	IN	IN	YES
678	763	different	JJ	JJ	YES
679	764	expert	NN	NN	YES
680	765	system	NN	NN	YES
681	766	applications	NNS	NNS	YES
682	768	Keywords	NNS	NNS	YES
683	770	logical	JJ	JJ	YES
684	771	inference	NN	NN	YES
685	773	DNA	NN	NN	YES
686	774	strand	NN	NN	YES
687	775	algebra	NN	NN	YES
688	777	DNA	NN	NN	YES
689	778	gate	NN	NN	YES
690	780	DNA	NN	NN	YES
691	781	signal	NN	NN	YES
692	783	process	NN	NN	YES
693	784	algebra	NN	NN	YES
694	786	DNA	NN	NN	YES
695	787	computing	NN	NN	YES
696	789	modus	NN	NN	YES
697	790	ponens	NNS	FW	NO
698	792	strand	NN	NN	YES
699	793	displacement	NN	NN	YES
700	795	molecular	JJ	JJ	YES
701	796	computing	NN	NN	YES
702	798	expert	NN	JJ	NO
703	799	system	NN	NN	YES
704	800	approach	NN	NN	YES
705	802	1	LS	LS	YES
706	804	Introduction	NN	??	NO
707	805	Conventional	JJ	JJ	YES
708	806	silicon	NN	NN	YES
709	807	based	VBN	VBN	YES
710	808	computing	NN	NN	YES
711	809	has	VBZ	VBZ	YES
712	810	been	VBN	VBN	YES
713	811	successful	JJ	JJ	YES
714	812	over	IN	IN	YES
715	813	the	DT	DT	YES
716	814	past	JJ	JJ	YES
717	815	several	JJ	JJ	YES
718	816	decades	NNS	NNS	YES
719	818	It	PRP	PRP	YES
720	819	is	VBZ	VBZ	YES
721	820	fast	RB	RB	YES
722	822	flexible	JJ	JJ	YES
723	824	and	CC	CC	YES
724	825	well	RB	RB	YES
725	826	understood	VBN	VBN	YES
726	828	But	CC	CC	YES
727	829	it	PRP	PRP	YES
728	830	has	VBZ	VBZ	YES
729	831	reached	VBN	VBN	YES
730	832	its	PRP$	PRP$	YES
731	833	limitations	NNS	NNS	YES
732	834	of	IN	IN	YES
733	835	design	NN	NN	YES
734	836	complexity	NN	NN	YES
735	838	processing	VBG	NN	NO
736	839	power	NN	NN	YES
737	841	memory	NN	NN	YES
738	843	energy	NN	NN	YES
739	844	consumption	NN	NN	YES
740	846	density	NN	NN	YES
741	847	and	CC	CC	YES
742	848	heat	NN	NN	YES
743	849	dissipation	NN	NN	YES
744	851	Alternatives	NNP	NNS	NO
745	852	to	TO	TO	YES
746	853	these	DT	DT	YES
747	854	traditional	JJ	JJ	YES
748	855	methods	NNS	NNS	YES
749	856	of	IN	IN	YES
750	857	building	NN	VBG	NO
751	858	computers	NNS	NNS	YES
752	859	have	VBP	VBP	YES
753	860	been	VBN	VBN	YES
754	861	proposed	VBN	VBN	YES
755	862	and	CC	CC	YES
756	863	in	IN	IN	YES
757	864	recent	JJ	JJ	YES
758	865	past	JJ	NN	NO
759	866	molecular	JJ	JJ	YES
760	867	computing	NN	NN	YES
761	868	has	VBZ	VBZ	YES
762	869	gained	VBN	VBN	YES
763	870	considerable	JJ	JJ	YES
764	871	attention	NN	NN	YES
765	872	for	IN	IN	YES
766	874	based	VBN	VBN	YES
767	875	computing	NN	NN	YES
768	876	which	WDT	WDT	YES
769	877	can	MD	MD	YES
770	878	overcome	VB	VB	YES
771	879	conventional	JJ	JJ	YES
772	880	computation	NN	NN	YES
773	881	problems	NNS	NNS	YES
774	883	The	DT	DT	YES
775	885	base	NN	NN	YES
776	886	pairing	NN	NN	YES
777	887	makes	VBZ	VBZ	YES
778	888	DNA	NN	NN	YES
779	889	a	DT	DT	YES
780	890	powerful	JJ	JJ	YES
781	891	tool	NN	NN	YES
782	892	for	IN	IN	YES
783	893	engineering	NN	VBG	NO
784	894	at	IN	IN	YES
785	897	Trip	NN	JJ	NO
786	898	distribution	NN	NN	YES
787	899	laws	NNS	NNS	YES
788	900	are	VBP	VBP	YES
789	901	basic	JJ	JJ	YES
790	902	for	IN	IN	YES
791	903	the	DT	DT	YES
792	904	travel	NN	NN	YES
793	905	demand	NN	NN	YES
794	906	characterization	NN	NN	YES
795	907	needed	VBN	VBN	YES
796	908	in	IN	IN	YES
797	909	transport	NN	NN	YES
798	910	and	CC	CC	YES
799	911	urban	JJ	JJ	YES
800	912	planning	NN	NN	YES
801	914	Several	JJ	JJ	YES
802	915	approaches	NNS	NNS	YES
803	916	have	VBP	VBP	YES
804	917	been	VBN	VBN	YES
805	918	considered	VBN	VBN	YES
806	919	in	IN	IN	YES
807	920	the	DT	DT	YES
808	921	last	JJ	JJ	YES
809	922	years	NNS	NNS	YES
810	924	One	CD	CD	YES
811	925	of	IN	IN	YES
812	926	them	PRP	PRP	YES
813	927	is	VBZ	VBZ	YES
814	928	the	DT	DT	YES
815	930	gravity	NN	NN	YES
816	931	law	NN	NN	YES
817	933	in	IN	IN	YES
818	934	which	WDT	WDT	YES
819	935	the	DT	DT	YES
820	936	number	NN	NN	YES
821	937	of	IN	IN	YES
822	938	trips	NNS	NNS	YES
823	939	is	VBZ	VBZ	YES
824	940	assumed	VBN	VBN	YES
825	941	to	TO	TO	YES
826	942	be	VB	VB	YES
827	943	related	VBN	VBN	YES
828	944	to	TO	TO	YES
829	945	the	DT	DT	YES
830	946	population	NN	NN	YES
831	947	at	IN	IN	YES
832	948	origin	NN	NN	YES
833	949	and	CC	CC	YES
834	950	destination	NN	NN	YES
835	951	and	CC	CC	YES
836	952	to	TO	TO	YES
837	953	decrease	VB	VB	YES
838	954	with	IN	IN	YES
