indexInDoc	indexInText	token	taggerPOS	goldPOS	correct?
299	340	octet	JJ	NN	NO
300	341	mechanism	NN	NN	YES
301	343	1	CD	??	NO
302	345	for	IN	IN	YES
303	346	heavy	JJ	JJ	YES
304	347	quarkonium	NN	NN	YES
305	348	production	NN	NN	YES
306	349	has	VBZ	VBZ	YES
307	350	been	VBN	VBN	YES
308	351	very	RB	RB	YES
309	352	successful	JJ	JJ	YES
310	353	in	IN	IN	YES
311	354	explaining	VBG	VBG	YES
312	355	experimental	JJ	JJ	YES
313	356	data	NNS	NNS	YES
314	357	at	IN	IN	YES
315	358	high	JJ	JJ	YES
316	359	energy	NN	NN	YES
317	360	colliders	NNS	NNS	YES
318	361	such	JJ	JJ	YES
319	362	as	IN	IN	YES
320	363	at	IN	IN	YES
321	364	Tevatron	NNP	NNP	YES
322	366	2	CD	CD	YES
323	368	and	CC	CC	YES
324	369	at	IN	IN	YES
325	370	LHC	NNP	NNP	YES
326	372	3	CD	??	NO
327	375	In	IN	IN	YES
328	376	its	PRP$	PRP$	YES
329	377	original	JJ	JJ	YES
330	378	formulation	NN	NN	YES
331	380	1	CD	??	NO
332	382	the	DT	DT	YES
333	383	proof	NN	NN	YES
334	384	of	IN	IN	YES
335	385	factorization	NN	NN	YES
336	386	in	IN	IN	YES
337	387	heavy	JJ	JJ	YES
338	388	quarkonium	NN	NN	YES
339	389	production	NN	NN	YES
340	390	in	IN	IN	YES
341	391	NRQCD	NNP	NNP	YES
342	392	color	NN	NN	YES
343	393	octet	NN	NN	YES
344	394	mechanism	NN	NN	YES
345	395	was	VBD	VBD	YES
346	396	lacking	VBG	VBG	YES
347	398	The	DT	DT	YES
348	399	proof	NN	NN	YES
349	400	of	IN	IN	YES
350	401	factorization	NN	NN	YES
351	402	is	VBZ	VBZ	YES
352	403	an	DT	DT	YES
353	404	essential	JJ	JJ	YES
354	405	requirement	NN	NN	YES
355	406	to	TO	TO	YES
356	407	study	VB	VB	YES
357	408	heavy	JJ	JJ	YES
358	409	quarkonium	NN	NN	YES
359	410	production	NN	NN	YES
360	411	at	IN	IN	YES
361	412	high	JJ	JJ	YES
362	413	energy	NN	NN	YES
363	414	colliders	NNS	NNS	YES
364	416	Factorization	NN	NN	YES
365	417	refers	VBZ	VBZ	YES
366	418	to	IN	TO	NO
367	419	separation	NN	NN	YES
368	420	of	IN	IN	YES
369	424	effects	NNS	NNS	YES
370	425	from	IN	IN	YES
371	429	effects	NNS	NNS	YES
372	430	in	IN	IN	YES
373	431	quantum	JJ	JJ	YES
374	432	field	NN	NN	YES
375	433	theory	NN	NN	YES
376	435	We	CD	PRP	NO
377	436	propose	VB	VBP	NO
378	437	algorithms	NN	NNS	NO
379	438	to	TO	TO	YES
380	439	approximate	VB	VB	YES
381	440	directed	VBN	VBN	YES
382	441	information	NN	NN	YES
383	442	graphs	NNS	NNS	YES
384	444	Directed	JJ	JJ	YES
385	445	information	NN	NN	YES
386	446	graphs	NNS	NNS	YES
387	447	are	VBP	VBP	YES
388	448	probabilistic	JJ	JJ	YES
389	449	graphical	JJ	JJ	YES
390	450	models	NNS	NNS	YES
391	451	that	WDT	WDT	YES
392	452	depict	VBP	VBP	YES
393	453	causal	JJ	JJ	YES
394	454	dependencies	NNS	NNS	YES
395	455	between	IN	IN	YES
396	456	stochastic	JJ	JJ	YES
397	457	processes	NNS	NNS	YES
398	458	in	IN	IN	YES
399	459	a	DT	DT	YES
400	460	network	NN	NN	YES
401	462	The	DT	DT	YES
402	463	proposed	VBN	VBN	YES
403	464	algorithms	NNS	NNS	YES
404	465	identify	VBP	VBP	YES
405	466	optimal	JJ	JJ	YES
406	467	and	CC	CC	YES
407	471	approximations	NNS	NNS	YES
408	472	in	IN	IN	YES
409	473	terms	NNS	NNS	YES
410	474	of	IN	IN	YES
411	478	divergence	NN	NN	YES
412	480	The	DT	DT	YES
413	484	sparsity	NN	NN	YES
414	485	trades	NNS	NNS	YES
415	486	off	IN	IN	YES
416	487	the	DT	DT	YES
417	488	quality	NN	NN	YES
418	489	of	IN	IN	YES
419	490	the	DT	DT	YES
420	491	approximation	NN	NN	YES
421	492	against	IN	IN	YES
422	493	visual	JJ	JJ	YES
423	494	conciseness	NN	NN	YES
424	495	and	CC	CC	YES
425	496	computational	JJ	JJ	YES
426	497	tractability	NN	NN	YES
427	499	One	CD	CD	YES
428	500	class	NN	NN	YES
429	501	of	IN	IN	YES
430	502	approximations	NNS	NNS	YES
431	503	contains	VBZ	VBZ	YES
432	504	graphs	NNS	NNS	YES
433	505	with	IN	IN	YES
434	506	specified	VBN	VBN	YES
435	511	Another	DT	DT	YES
436	512	class	NN	NN	YES
437	513	additionally	RB	RB	YES
438	514	requires	VBZ	VBZ	YES
439	515	that	IN	IN	YES
440	516	the	DT	DT	YES
441	517	graph	NN	NN	YES
442	518	is	VBZ	VBZ	YES
443	519	connected	VBN	VBN	YES
444	521	For	IN	IN	YES
445	522	both	DT	DT	YES
446	523	classes	NNS	NNS	YES
447	525	we	PRP	PRP	YES
448	526	propose	VBP	VBP	YES
449	527	algorithms	NNS	NNS	YES
450	528	to	TO	TO	YES
451	529	identify	VB	VB	YES
452	530	the	DT	DT	YES
453	531	optimal	JJ	JJ	YES
454	532	approximations	NNS	NNS	YES
455	533	and	CC	CC	YES
456	534	also	RB	RB	YES
457	538	approximations	NNS	NNS	YES
458	540	using	VBG	VBG	YES
459	541	a	DT	DT	YES
460	542	novel	JJ	JJ	YES
461	543	relaxation	NN	NN	YES
462	544	of	IN	IN	YES
463	545	submodularity	NN	NN	YES
464	547	We	PRP	PRP	YES
465	548	also	RB	RB	YES
466	549	propose	VBP	VBP	YES
467	550	algorithms	NNS	NNS	YES
468	551	to	TO	TO	YES
469	552	identify	VB	VB	YES
470	553	the	DT	DT	YES
471	557	approximations	NNS	NNS	YES
472	558	among	IN	IN	YES
473	559	these	DT	DT	YES
474	560	classes	NNS	NNS	YES
475	562	enabling	VBG	VBG	YES
476	563	robust	JJ	JJ	YES
477	564	decision	NN	NN	YES
478	565	making	NN	NN	YES
479	567	Keywords	NNS	NNS	YES
480	569	probabilistic	JJ	JJ	YES
481	570	graphical	JJ	JJ	YES
482	571	models	NNS	NNS	YES
483	573	network	NN	NN	YES
484	574	inference	NN	NN	YES
485	576	causality	NN	NN	YES
486	578	submodularity	NN	NN	YES
487	580	approximation	NN	NN	YES
488	581	algorithms	NNS	NNS	YES
489	582	1	CD	CD	YES
490	584	Introduction	NN	??	NO
491	585	Many	JJ	JJ	YES
492	586	fields	NNS	NNS	YES
493	587	of	IN	IN	YES
494	588	the	DT	DT	YES
495	589	sciences	NNS	NNS	YES
496	590	and	CC	CC	YES
497	591	engineering	NN	NN	YES
498	592	require	VB	VBP	NO
499	593	analysis	NN	NN	YES
500	595	modeling	NN	NN	YES
501	597	and	CC	CC	YES
502	598	decision	NN	NN	YES
503	599	making	VBG	NN	NO
504	600	using	VBG	VBG	YES
505	601	networks	NNS	NNS	YES
506	603	typically	RB	RB	YES
507	604	represented	VBN	VBN	YES
508	605	by	IN	IN	YES
509	606	graphs	NNS	NNS	YES
510	608	Social	JJ	JJ	YES
511	609	networks	NNS	NNS	YES
512	611	financial	JJ	JJ	YES
513	612	networks	NNS	NNS	YES
514	614	and	CC	CC	YES
515	615	biological	JJ	JJ	YES
516	616	networks	NNS	NNS	YES
517	617	are	VBP	VBP	YES
518	618	a	DT	DT	YES
519	619	few	JJ	JJ	YES
520	620	categories	NNS	NNS	YES
521	621	that	WDT	WDT	YES
522	622	are	VBP	VBP	YES
523	623	relevant	JJ	JJ	YES
524	624	not	RB	RB	YES
525	625	only	RB	RB	YES
526	626	academically	RB	RB	YES
527	627	but	CC	CC	YES
528	628	also	RB	RB	YES
529	629	in	IN	IN	YES
530	630	daily	JJ	JJ	YES
531	631	life	NN	NN	YES
532	633	A	DT	DT	YES
533	634	major	JJ	JJ	YES
534	635	challenge	NN	NN	YES
535	636	for	IN	IN	YES
536	637	studying	VBG	VBG	YES
537	638	networks	NNS	NNS	YES
538	639	is	VBZ	VBZ	YES
539	640	identifying	VBG	VBG	YES
540	641	a	DT	DT	YES
541	642	concise	JJ	JJ	YES
542	643	topology	NN	NN	YES
543	645	such	JJ	JJ	YES
544	646	as	IN	IN	YES
545	647	who	WP	WP	YES
546	648	strongly	RB	RB	YES
547	649	influences	VBZ	VBZ	YES
548	650	whom	WP	WP	YES
549	651	in	IN	IN	YES
550	652	a	DT	DT	YES
551	653	social	JJ	JJ	YES
552	654	network	NN	NN	YES
553	656	Real	JJ	JJ	YES
554	657	world	NN	NN	YES
555	658	networks	NNS	NNS	YES
556	659	are	VBP	VBP	YES
557	660	often	RB	RB	YES
558	661	large	JJS	JJ	NO
559	662	there	EX	EX	YES
560	663	are	VBP	VBP	YES
561	664	tens	NNS	NNS	YES
562	665	of	IN	IN	YES
563	666	thousands	NNS	NNS	YES
564	667	of	IN	IN	YES
565	668	human	JJ	JJ	YES
566	669	genes	NNS	NNS	YES
567	670	and	CC	CC	YES
568	671	trillions	NNS	NNS	YES
569	672	of	IN	IN	YES
570	673	connections	NNS	NNS	YES
571	674	in	IN	IN	YES
572	675	the	DT	DT	YES
573	676	human	JJ	JJ	YES
574	677	brain	NN	NN	YES
575	679	Based	VBN	VBN	YES
576	680	on	IN	IN	YES
577	681	the	DT	DT	YES
578	682	concept	NN	NN	YES
579	683	of	IN	IN	YES
580	684	DNA	NN	NN	YES
581	685	strand	NN	NN	YES
582	686	displacement	NN	NN	YES
583	687	and	CC	CC	YES
584	688	DNA	NN	NN	YES
585	689	strand	NN	NN	YES
586	690	algebra	NN	NN	YES
587	691	we	PRP	PRP	YES
588	692	have	VBP	VBP	YES
589	693	developed	VBN	VBN	YES
590	694	a	DT	DT	YES
591	695	method	NN	NN	YES
592	696	for	IN	IN	YES
593	697	logical	JJ	JJ	YES
594	698	inference	NN	NN	YES
595	699	which	WDT	WDT	YES
596	700	is	VBZ	VBZ	YES
597	701	not	RB	RB	YES
598	702	based	VBN	VBN	YES
599	703	on	IN	IN	YES
600	704	silicon	NN	NN	YES
601	705	based	VBN	VBN	YES
602	706	computing	NN	NN	YES
603	708	Essentially	RB	RB	YES
604	710	it	PRP	PRP	YES
605	711	is	VBZ	VBZ	YES
606	712	a	DT	DT	YES
607	713	paradigm	NN	NN	YES
608	714	shift	NN	NN	YES
609	715	from	IN	IN	YES
610	716	silicon	NN	NN	YES
611	717	to	IN	TO	NO
612	718	carbon	NN	NN	YES
613	720	In	IN	IN	YES
614	721	this	DT	DT	YES
615	722	paper	NN	NN	YES
616	723	we	PRP	PRP	YES
617	724	have	VBP	VBP	YES
618	725	considered	VBN	VBN	YES
619	726	the	DT	DT	YES
620	727	inference	NN	NN	YES
621	728	mechanism	NN	NN	YES
622	730	viz	NN	NN	YES
623	732	modus	NN	NN	YES
624	733	ponens	NNS	NNS	YES
625	735	to	TO	TO	YES
626	736	draw	VB	VB	YES
627	737	conclusion	NN	NN	YES
628	738	from	IN	IN	YES
629	739	any	DT	DT	YES
630	740	observed	JJ	VBN	NO
631	741	fact	NN	NN	YES
632	743	Thus	RB	RB	YES
633	745	the	DT	DT	YES
634	746	present	JJ	JJ	YES
635	747	approach	NN	NN	YES
636	748	to	IN	TO	NO
637	749	logical	JJ	JJ	YES
638	750	inference	NN	NN	YES
639	751	based	VBN	VBN	YES
640	752	on	IN	IN	YES
641	753	DNA	NN	NN	YES
642	754	strand	NN	NN	YES
643	755	algebra	NN	NN	YES
644	756	is	VBZ	VBZ	YES
645	757	basically	RB	RB	YES
646	758	an	DT	DT	YES
647	759	attempt	NN	NN	YES
648	760	to	TO	TO	YES
649	761	develop	VB	VB	YES
650	762	expert	NN	JJ	NO
651	763	system	NN	NN	YES
652	764	design	NN	NN	YES
653	765	in	IN	IN	YES
654	766	the	DT	DT	YES
655	767	domain	NN	NN	YES
656	768	of	IN	IN	YES
657	769	DNA	NN	NN	YES
658	770	computing	NN	NN	YES
659	772	We	PRP	PRP	YES
660	773	have	VBP	VBP	YES
661	774	illustrated	VBN	VBN	YES
662	775	our	PRP$	PRP$	YES
663	776	methodology	NN	NN	YES
664	777	with	IN	IN	YES
665	778	respect	NN	NN	YES
666	779	to	TO	TO	YES
667	780	worked	VB	VBN	NO
668	781	out	RP	??	NO
669	782	example	NN	NN	YES
670	784	Our	PRP$	PRP$	YES
671	785	methodology	NN	NN	YES
672	786	is	VBZ	VBZ	YES
673	787	very	RB	RB	YES
674	788	flexible	JJ	JJ	YES
675	789	for	IN	IN	YES
676	790	implementation	NN	NN	YES
677	791	of	IN	IN	YES
678	792	different	JJ	JJ	YES
679	793	expert	NN	NN	YES
680	794	system	NN	NN	YES
681	795	applications	NNS	NNS	YES
682	797	Keywords	NNS	NNS	YES
683	799	logical	JJ	JJ	YES
684	800	inference	NN	NN	YES
685	802	DNA	NNP	NN	NO
686	803	strand	NN	NN	YES
687	804	algebra	NN	NN	YES
688	806	DNA	NNP	NN	NO
689	807	gate	NN	NN	YES
690	809	DNA	NNP	NN	NO
691	810	signal	NN	NN	YES
692	812	process	NN	NN	YES
693	813	algebra	NN	NN	YES
694	815	DNA	NNP	NN	NO
695	816	computing	NN	NN	YES
696	818	modus	NN	NN	YES
697	819	ponens	VBZ	FW	NO
698	821	strand	NN	NN	YES
699	822	displacement	NN	NN	YES
700	824	molecular	JJ	JJ	YES
701	825	computing	NN	NN	YES
702	827	expert	NN	JJ	NO
703	828	system	NN	NN	YES
704	829	approach	NN	NN	YES
705	831	1	LS	LS	YES
706	833	Introduction	VB	??	NO
707	834	Conventional	JJ	JJ	YES
708	835	silicon	NN	NN	YES
709	836	based	VBN	VBN	YES
710	837	computing	NN	NN	YES
711	838	has	VBZ	VBZ	YES
712	839	been	VBN	VBN	YES
713	840	successful	JJ	JJ	YES
714	841	over	IN	IN	YES
715	842	the	DT	DT	YES
716	843	past	JJ	JJ	YES
717	844	several	JJ	JJ	YES
718	845	decades	NNS	NNS	YES
719	847	It	PRP	PRP	YES
720	848	is	VBZ	VBZ	YES
721	849	fast	RB	RB	YES
722	851	flexible	JJ	JJ	YES
723	853	and	CC	CC	YES
724	854	well	RB	RB	YES
725	855	understood	VBN	VBN	YES
726	857	But	CC	CC	YES
727	858	it	PRP	PRP	YES
728	859	has	VBZ	VBZ	YES
729	860	reached	VBN	VBN	YES
730	861	its	PRP$	PRP$	YES
731	862	limitations	NNS	NNS	YES
732	863	of	IN	IN	YES
733	864	design	NN	NN	YES
734	865	complexity	NN	NN	YES
735	867	processing	NN	NN	YES
736	868	power	NN	NN	YES
737	870	memory	NN	NN	YES
738	872	energy	NN	NN	YES
739	873	consumption	NN	NN	YES
740	875	density	NN	NN	YES
741	876	and	CC	CC	YES
742	877	heat	NN	NN	YES
743	878	dissipation	NN	NN	YES
744	880	Alternatives	NNS	NNS	YES
745	881	to	IN	TO	NO
746	882	these	DT	DT	YES
747	883	traditional	JJ	JJ	YES
748	884	methods	NNS	NNS	YES
749	885	of	IN	IN	YES
750	886	building	VBG	VBG	YES
751	887	computers	NNS	NNS	YES
752	888	have	VBP	VBP	YES
753	889	been	VBN	VBN	YES
754	890	proposed	VBN	VBN	YES
755	891	and	CC	CC	YES
756	892	in	IN	IN	YES
757	893	recent	JJ	JJ	YES
758	894	past	IN	NN	NO
759	895	molecular	JJ	JJ	YES
760	896	computing	NN	NN	YES
761	897	has	VBZ	VBZ	YES
762	898	gained	VBN	VBN	YES
763	899	considerable	JJ	JJ	YES
764	900	attention	NN	NN	YES
765	901	for	IN	IN	YES
766	905	based	VBN	VBN	YES
767	906	computing	NN	NN	YES
768	907	which	WDT	WDT	YES
769	908	can	MD	MD	YES
770	909	overcome	VB	VB	YES
771	910	conventional	JJ	JJ	YES
772	911	computation	NN	NN	YES
773	912	problems	NNS	NNS	YES
774	914	The	DT	DT	YES
775	918	base	NN	NN	YES
776	919	pairing	NN	NN	YES
777	920	makes	VBZ	VBZ	YES
778	921	DNA	NNP	NN	NO
779	922	a	DT	DT	YES
780	923	powerful	JJ	JJ	YES
781	924	tool	NN	NN	YES
782	925	for	IN	IN	YES
783	926	engineering	VBG	VBG	YES
784	927	at	IN	IN	YES
785	932	Trip	JJ	JJ	YES
786	933	distribution	NN	NN	YES
787	934	laws	NNS	NNS	YES
788	935	are	VBP	VBP	YES
789	936	basic	JJ	JJ	YES
790	937	for	IN	IN	YES
791	938	the	DT	DT	YES
792	939	travel	NN	NN	YES
793	940	demand	NN	NN	YES
794	941	characterization	NN	NN	YES
795	942	needed	VBN	VBN	YES
796	943	in	IN	IN	YES
797	944	transport	NN	NN	YES
798	945	and	CC	CC	YES
799	946	urban	JJ	JJ	YES
800	947	planning	NN	NN	YES
801	949	Several	JJ	JJ	YES
802	950	approaches	NNS	NNS	YES
803	951	have	VBP	VBP	YES
804	952	been	VBN	VBN	YES
805	953	considered	VBN	VBN	YES
806	954	in	IN	IN	YES
807	955	the	DT	DT	YES
808	956	last	JJ	JJ	YES
809	957	years	NNS	NNS	YES
810	959	One	CD	CD	YES
811	960	of	IN	IN	YES
812	961	them	PRP	PRP	YES
813	962	is	VBZ	VBZ	YES
814	963	the	DT	DT	YES
815	967	gravity	NN	NN	YES
816	968	law	NN	NN	YES
817	970	in	IN	IN	YES
818	971	which	WDT	WDT	YES
819	972	the	DT	DT	YES
820	973	number	NN	NN	YES
821	974	of	IN	IN	YES
822	975	trips	NNS	NNS	YES
823	976	is	VBZ	VBZ	YES
824	977	assumed	VBN	VBN	YES
825	978	to	TO	TO	YES
826	979	be	VB	VB	YES
827	980	related	VBN	VBN	YES
828	981	to	IN	TO	NO
829	982	the	DT	DT	YES
830	983	population	NN	NN	YES
831	984	at	IN	IN	YES
832	985	origin	NN	NN	YES
833	986	and	CC	CC	YES
834	987	destination	NN	NN	YES
835	988	and	CC	CC	YES
836	989	to	TO	TO	YES
837	990	decrease	VB	VB	YES
