indexInDoc	token	posTag
409	terms	NN
410	of	OO
411	divergence	NN
412	The	OO
413	sparsity	NN
414	trades	NN
415	off	OO
416	the	OO
417	quality	NN
418	of	OO
419	the	OO
420	approximation	NN
421	against	OO
422	visual	JJ
423	conciseness	NN
424	and	OO
425	computational	JJ
426	tractability	NN
427	One	OO
428	class	NN
429	of	OO
430	approximations	NN
431	contains	VB
432	graphs	NN
433	with	OO
434	specified	JJ
435	Another	OO
436	class	NN
437	additionally	RB
438	requires	VB
439	that	OO
440	the	OO
441	graph	NN
442	is	VB
443	connected	VB
444	For	OO
445	both	OO
446	classes	NN
447	we	NN
448	propose	VB
449	algorithms	NN
450	to	OO
451	identify	VB
452	the	OO
453	optimal	JJ
454	approximations	NN
455	and	OO
456	also	RB
457	approximations	NN
458	using	VB
459	a	OO
460	novel	JJ
461	relaxation	NN
462	of	OO
463	submodularity	NN
464	We	NN
465	also	RB
466	propose	VB
467	algorithms	NN
468	to	OO
469	identify	VB
470	the	OO
471	approximations	NN
472	among	OO
473	these	OO
474	classes	NN
475	enabling	VB
476	robust	JJ
477	decision	NN
478	making	NN
479	Keywords	NN
480	probabilistic	JJ
481	graphical	JJ
482	models	NN
483	network	NN
484	inference	NN
485	causality	NN
486	submodularity	NN
487	approximation	NN
488	algorithms	NN
489	1	OO
490	Introduction	NN
491	Many	JJ
492	fields	NN
493	of	OO
494	the	OO
495	sciences	NN
496	and	OO
497	engineering	NN
498	require	VB
499	analysis	NN
500	modeling	NN
501	and	OO
502	decision	NN
503	making	NN
504	using	VB
505	networks	NN
506	typically	RB
507	represented	VB
508	by	OO
509	graphs	NN
510	Social	JJ
511	networks	NN
512	financial	JJ
513	networks	NN
514	and	OO
515	biological	JJ
516	networks	NN
517	are	VB
518	a	OO
519	few	JJ
520	categories	NN
521	that	OO
522	are	VB
523	relevant	JJ
524	not	RB
525	only	RB
526	academically	RB
527	but	OO
528	also	RB
529	in	OO
530	daily	JJ
531	life	NN
532	A	OO
533	major	JJ
534	challenge	NN
535	for	OO
536	studying	VB
537	networks	NN
538	is	VB
539	identifying	VB
540	a	OO
541	concise	JJ
542	topology	NN
543	such	JJ
544	as	OO
545	who	NN
546	strongly	RB
547	influences	VB
548	whom	NN
549	in	OO
550	a	OO
551	social	JJ
552	network	NN
553	Real	JJ
554	world	NN
555	networks	NN
556	are	VB
557	often	RB
558	large	JJ
559	there	OO
560	are	VB
561	tens	NN
562	of	OO
563	thousands	NN
564	of	OO
565	human	JJ
566	genes	NN
567	and	OO
568	trillions	NN
569	of	OO
570	connections	NN
571	in	OO
572	the	OO
573	human	JJ
574	brain	NN
575	Based	VB
576	on	OO
577	the	OO
578	concept	NN
579	of	OO
580	DNA	NN
581	strand	NN
582	displacement	NN
583	and	OO
584	DNA	NN
585	strand	NN
586	algebra	NN
587	we	NN
588	have	VB
589	developed	VB
590	a	OO
591	method	NN
592	for	OO
593	logical	JJ
594	inference	NN
595	which	OO
596	is	VB
597	not	RB
598	based	VB
599	on	OO
600	silicon	NN
601	based	VB
602	computing	NN
603	Essentially	RB
604	it	NN
605	is	VB
606	a	OO
607	paradigm	NN
608	shift	NN
609	from	OO
610	silicon	NN
611	to	OO
612	carbon	NN
613	In	OO
614	this	OO
615	paper	NN
616	we	NN
617	have	VB
618	considered	VB
619	the	OO
620	inference	NN
621	mechanism	NN
622	viz	NN
623	modus	NN
624	ponens	NN
625	to	OO
626	draw	VB
627	conclusion	NN
628	from	OO
629	any	OO
630	observed	JJ
631	fact	NN
632	Thus	RB
633	the	OO
634	present	JJ
635	approach	NN
636	to	OO
637	logical	JJ
638	inference	NN
639	based	VB
640	on	OO
641	DNA	NN
642	strand	NN
643	algebra	NN
644	is	VB
645	basically	RB
646	an	OO
647	attempt	NN
648	to	OO
649	develop	VB
650	expert	JJ
651	system	NN
652	design	NN
653	in	OO
654	the	OO
655	domain	NN
656	of	OO
657	DNA	NN
658	computing	NN
659	We	NN
660	have	VB
661	illustrated	VB
662	our	JJ
663	methodology	NN
664	with	OO
665	respect	NN
666	to	OO
667	worked	VB
668	out	OO
669	example	NN
670	Our	JJ
671	methodology	NN
672	is	VB
673	very	RB
674	flexible	JJ
675	for	OO
676	implementation	NN
677	of	OO
678	different	JJ
679	expert	NN
680	system	NN
681	applications	NN
682	Keywords	NN
683	logical	JJ
684	inference	NN
685	DNA	NN
686	strand	NN
687	algebra	NN
688	DNA	NN
689	gate	NN
690	DNA	NN
691	signal	NN
692	process	NN
693	algebra	NN
694	DNA	NN
695	computing	NN
696	modus	NN
697	ponens	NN
698	strand	NN
699	displacement	NN
700	molecular	JJ
701	computing	NN
702	expert	JJ
703	system	NN
704	approach	NN
705	1	OO
706	Introduction	NN
707	Conventional	JJ
708	silicon	NN
709	based	VB
710	computing	NN
711	has	VB
712	been	VB
713	successful	JJ
714	over	OO
715	the	OO
716	past	JJ
717	several	JJ
718	decades	NN
719	It	NN
720	is	VB
721	fast	JJ
722	flexible	JJ
723	and	OO
724	well	RB
725	understood	JJ
726	But	OO
727	it	NN
728	has	VB
729	reached	VB
730	its	JJ
731	limitations	NN
732	of	OO
733	design	NN
734	complexity	NN
735	processing	NN
736	power	NN
737	memory	NN
738	energy	NN
739	consumption	NN
740	density	NN
741	and	OO
742	heat	NN
743	dissipation	NN
744	Alternatives	NN
745	to	OO
746	these	OO
747	traditional	JJ
748	methods	NN
749	of	OO
750	building	NN
751	computers	NN
752	have	VB
753	been	VB
754	proposed	VB
755	and	OO
756	in	OO
757	recent	JJ
758	past	NN
759	molecular	JJ
760	computing	NN
761	has	VB
762	gained	VB
763	considerable	JJ
764	attention	NN
765	for	OO
766	based	VB
767	computing	NN
768	which	OO
769	can	VB
770	overcome	VB
771	conventional	JJ
772	computation	NN
773	problems	NN
774	The	OO
775	base	NN
776	pairing	NN
777	makes	VB
778	DNA	NN
779	a	OO
780	powerful	JJ
781	tool	NN
782	for	OO
783	engineering	NN
784	at	OO
785	Trip	NN
786	distribution	NN
787	laws	NN
788	are	VB
789	basic	JJ
790	for	OO
791	the	OO
792	travel	NN
793	demand	NN
794	characterization	NN
795	needed	VB
796	in	OO
797	transport	NN
798	and	OO
799	urban	JJ
800	planning	NN
801	Several	JJ
802	approaches	NN
803	have	VB
804	been	VB
805	considered	VB
806	in	OO
807	the	OO
808	last	JJ
809	years	NN
810	One	OO
811	of	OO
812	them	NN
813	is	VB
814	the	OO
815	gravity	NN
816	law	NN
817	in	OO
818	which	OO
819	the	OO
820	number	NN
821	of	OO
822	trips	NN
823	is	VB
824	assumed	VB
825	to	OO
826	be	VB
827	related	VB
828	to	OO
829	the	OO
830	population	NN
831	at	OO
832	origin	NN
833	and	OO
834	destination	NN
835	and	OO
836	to	OO
837	decrease	VB
838	with	OO
839	the	OO
840	distance	NN
841	The	OO
842	mathematical	JJ
843	expression	NN
844	of	OO
845	this	OO
846	law	NN
847	resembles	VB
848	??	??
849	law	NN
850	of	OO
851	gravity	NN
852	which	OO
853	explains	VB
854	its	JJ
855	name	NN
856	Another	OO
857	popular	JJ
858	approach	NN
859	is	VB
860	inspired	VB
861	by	OO
862	the	OO
863	theory	NN
864	of	OO
865	intervening	JJ
866	opportunities	NN
867	and	OO
868	it	NN
869	has	VB
870	been	VB
871	concreted	VB
872	into	OO
873	the	OO
874	radiation	NN
875	models	NN
876	Individuals	NN
877	are	VB
878	supposed	VB
879	to	OO
880	travel	VB
881	until	OO
882	they	NN
883	find	VB
884	a	OO
885	job	NN
886	opportunity	NN
887	so	OO
888	the	OO
889	population	NN
890	and	OO
891	jobs	NN
892	spatial	JJ
893	distributions	NN
894	naturally	RB
895	lead	VB
896	to	OO
897	a	OO
898	trip	NN
899	flow	NN
900	network	NN
901	In	OO
902	this	OO
903	paper	NN
904	we	NN
905	perform	VB
906	a	OO
907	thorough	JJ
908	comparison	NN
909	between	OO
910	the	OO
911	gravity	NN
912	and	OO
913	the	OO
914	radiation	NN
915	approaches	NN
916	in	OO
917	their	JJ
918	ability	NN
919	at	OO
920	estimating	VB
921	commuting	JJ
922	flows	NN
923	We	NN
924	test	VB
925	the	OO
926	gravity	NN
927	and	OO
928	the	OO
929	radiation	NN
930	laws	NN
931	against	OO
932	empirical	JJ
933	trip	NN
934	data	NN
935	at	OO
936	different	JJ
937	scales	NN
938	and	OO
939	coming	VB
940	from	OO
941	different	JJ
942	countries	NN
943	Different	JJ
944	versions	NN
945	of	OO
946	the	OO
947	gravity	NN
948	and	OO
949	the	OO
950	radiation	NN
951	laws	NN
952	are	VB
953	used	VB
954	to	OO
955	estimate	VB
956	the	OO
957	probability	NN
958	that	OO
959	an	OO
960	individual	NN
961	has	VB
962	to	OO
963	commute	VB
964	from	OO
965	one	JJ
966	unit	NN
967	to	OO
968	another	OO
969	called	VB
970	trip	NN
971	distribution	NN
972	law	NN
973	Based	VB
974	on	OO
975	these	OO
976	probability	NN
977	distribution	NN
978	the	OO
979	commuting	JJ
980	networks	NN
981	are	VB
982	simulated	VB
983	with	OO
984	different	JJ
985	trip	NN
986	distribution	NN
987	models	NN
988	We	NN
989	propose	VB
990	a	OO
991	simple	JJ
992	ansatz	NN
993	to	OO
994	study	VB
995	phase	JJ
996	transitions	NN
997	from	OO
998	a	OO
999	topological	JJ
1000	phase	NN
1001	to	OO
1002	a	OO
1003	trivial	JJ
1004	phase	NN
1005	We	NN
1006	probe	VB
1007	the	OO
1008	efficiency	NN
1009	of	OO
1010	this	OO
1011	approach	NN
1012	by	OO
1013	considering	VB
1014	the	OO
1015	model	NN
1016	in	OO
1017	the	OO
1018	presence	NN
1019	of	OO
1020	a	OO
1021	string	NN
1022	tension	NN
1023	for	OO
1024	any	OO
1025	anyon	JJ
1026	theory	NN
1027	Such	JJ
1028	a	OO
1029	perturbation	NN
1030	is	VB
1031	known	VB
1032	to	OO
1033	be	VB
1034	responsible	JJ
1035	for	OO
1036	a	OO
1037	phase	NN
1038	transition	NN
1039	which	OO
1040	is	VB
1041	well	RB
1042	described	VB
1043	by	OO
1044	the	OO
1045	present	JJ
1046	variational	JJ
1047	setup	NN
1048	We	NN
1049	argue	VB
1050	that	OO
1051	results	NN
1052	become	VB
1053	exact	JJ
1054	in	OO
1055	the	OO
1056	limit	NN
1057	of	OO
1058	large	JJ
1059	total	JJ
1060	quantum	JJ
1061	dimension	NN
1062	PACS	??
1063	numbers	NN
1064	The	OO
1065	blend	NN
1066	of	OO
1067	quantum	JJ
1068	computation	NN
1069	and	OO
1070	of	OO
1071	topological	JJ
1072	phases	NN
1073	of	OO
1074	matter	NN
1075	1	OO
1076	have	VB
1077	led	VB
1078	to	OO
1079	the	OO
1080	idea	NN
1081	of	OO
1082	topological	JJ
1083	quantum	JJ
1084	computation	NN
1085	In	OO
1086	this	OO
1087	field	NN
1088	the	OO
1089	essential	JJ
1090	ingredient	NN
1091	is	VB
1092	the	OO
1093	construction	NN
1094	of	OO
1095	physical	JJ
1096	systems	NN
1097	sustaining	VB
1098	exotic	JJ
1099	excitations	NN
1100	known	VB
1101	as	OO
1102	anyons	NN
1103	see	VB
1104	Ref	NN
1105	5	OO
1106	for	OO
1107	a	OO
1108	review	NN
1109	Being	VB
1110	genuinely	RB
1111	non	??
1112	local	JJ
1113	these	OO
1114	anyons	NN
1115	allow	VB
1116	for	OO
1117	efficient	JJ
1118	storage	NN
1119	and	OO
1120	manipulation	NN
1121	of	OO
1122	quantum	JJ
1123	information	NN
1124	Indeed	RB
1125	topologically	RB
1126	ordered	VB
1127	systems	NN
1128	1	OO
1129	are	VB
1130	stable	JJ
1131	under	OO
1132	local	JJ
1133	perturbations	NN
1134	6	OO
1135	and	OO
1136	hence	RB
1137	protected	VB
1138	against	OO
1139	undesirable	JJ
1140	effects	NN
1141	such	JJ
1142	as	OO
1143	decoherence	NN
1144	However	RB
1145	strong	JJ
1146	enough	JJ
1147	perturbations	NN
1148	may	VB
1149	drive	VB
1150	the	OO
1151	system	NN
1152	to	OO
1153	a	OO
1154	non	JJ
1155	topological	JJ
1156	phase	NN
1157	In	OO
1158	recent	JJ
1159	years	NN
1160	many	JJ
1161	works	NN
1162	have	VB
1163	been	VB
1164	devoted	VB
1165	to	OO
1166	the	OO
1167	study	NN
1168	of	OO
1169	this	OO
1170	robustness	NN
1171	in	OO
1172	microscopic	JJ
1173	models	NN
1174	Walking	VB
1175	animals	NN
1176	like	OO
1177	stick	JJ
1178	insects	NN
1179	cockroaches	NN
1180	or	OO
1181	ants	NN
1182	demonstrate	VB
1183	a	OO
1184	fascinating	JJ
1185	range	NN
1186	of	OO
1187	locomotive	JJ
1188	abilities	NN
1189	and	OO
1190	complex	JJ
1191	behaviors	NN
1192	The	OO
1193	locomotive	JJ
1194	behaviors	NN
1195	can	VB
1196	consist	VB
1197	of	OO
1198	a	OO
1199	variety	NN
1200	of	OO
1201	walking	VB
1202	patterns	NN
1203	along	OO
1204	with	OO
1205	adaptation	NN
1206	that	OO
1207	allow	VB
1208	the	OO
1209	animals	NN
1210	to	OO
1211	deal	VB
1212	with	OO
1213	changes	NN
1214	in	OO
1215	environmental	JJ
1216	conditions	NN
1217	like	OO
1218	uneven	JJ
1219	terrains	NN
1220	gaps	NN
1221	obstacles	NN
1222	etc	??
1223	Biological	JJ
1224	study	NN
1225	has	VB
1226	revealed	VB
1227	that	OO
1228	such	JJ
1229	complex	JJ
1230	behaviors	NN
1231	are	VB
1232	a	OO
1233	result	NN
1234	of	OO
1235	a	OO
1236	combination	NN
1237	of	OO
1238	biomechanics	NN
1239	and	OO
1240	neural	JJ
1241	mechanism	NN
1242	thus	RB
1243	representing	VB
1244	the	OO
1245	true	JJ
1246	nature	NN
1247	of	OO
1248	embodied	JJ
1249	interactions	NN
1250	While	OO
1251	the	OO
1252	biomechanics	NN
1253	helps	VB
1254	maintain	VB
1255	flexibility	NN
1256	and	OO
1257	sustain	VB
1258	a	OO
1259	variety	NN
1260	of	OO
1261	movements	NN
1262	the	OO
1263	neural	JJ
1264	mechanisms	NN
1265	generate	VB
1266	movements	NN
1267	while	OO
1268	making	VB
1269	appropriate	JJ
1270	predictions	NN
1271	crucial	JJ
1272	for	OO
1273	achieving	VB
1274	adaptation	NN
1275	Such	JJ
1276	predictions	NN
1277	or	OO
1278	planning	NN
1279	ahead	RB
1280	can	VB
1281	be	VB
1282	achieved	VB
1283	by	OO
1284	way	NN
1285	of	OO
1286	internal	JJ
1287	models	NN
1288	that	OO
1289	are	VB
1290	grounded	VB
1291	in	OO
1292	the	OO
1293	overall	JJ
1294	behavior	NN
1295	of	OO
1296	the	OO
1297	animal	NN
1298	Inspired	VB
1299	by	OO
1300	these	OO
1301	findings	NN
1302	we	NN
1303	present	VB
1304	here	RB
1305	an	OO
1306	artificial	JJ
1307	walking	NN
1308	system	NN
1309	which	OO
1310	effectively	RB
1311	combines	VB
1312	biomechanics	NN
1313	in	OO
1314	terms	NN
1315	of	OO
1316	the	OO
1317	body	NN
1318	and	OO
1319	leg	JJ
1320	structures	NN
1321	with	OO
1322	the	OO
1323	underlying	VB
1324	neural	JJ
1325	mechanisms	NN
1326	The	OO
1327	neural	JJ
1328	mechanisms	NN
1329	consist	VB
1330	of	OO
1331	1	OO
1332	central	JJ
1333	pattern	NN
1334	generator	NN
1335	based	VB
1336	control	NN
1337	for	OO
1338	generating	VB
1339	basic	JJ
1340	rhythmic	JJ
1341	patterns	NN
1342	and	OO
1343	coordinated	JJ
1344	movements	NN
1345	2	OO
1346	distributed	VB
1347	at	OO
1348	each	OO
1349	leg	NN
1350	recurrent	JJ
1351	neural	JJ
1352	network	NN
1353	based	VB
1354	adaptive	JJ
1355	forward	JJ
1356	models	NN
1357	with	OO
1358	efference	NN
1359	copies	NN
1360	as	OO
1361	internal	JJ
1362	models	NN
1363	for	OO
1364	sensory	JJ
1365	predictions	NN
1366	and	OO
1367	instantaneous	JJ
1368	state	NN
1369	estimations	NN
1370	and	OO
1371	3	OO
1372	searching	NN
1373	and	OO
1374	elevation	NN
1375	control	NN
1376	for	OO
1377	adapting	VB
1378	the	OO
1379	movement	NN
1380	of	OO
1381	an	OO
1382	individual	JJ
1383	leg	NN
1384	to	OO
1385	deal	VB
1386	with	OO
1387	different	JJ
1388	environmental	JJ
1389	conditions	NN
1390	Perceptual	JJ
1391	similarity	NN
1392	is	VB
1393	a	OO
1394	cognitive	JJ
1395	judgment	NN
1396	that	OO
1397	represents	VB
1398	the	OO
1399	of	OO
1400	a	OO
1401	complex	JJ
1402	cascade	NN
1403	of	OO
1404	hierarchical	JJ
1405	processing	NN
1406	throughout	OO
1407	visual	JJ
1408	cortex	NN
1409	Although	OO
1410	it	NN
1411	is	VB
1412	intuitive	JJ
1413	that	OO
1414	visual	JJ
1415	objects	NN
1416	that	OO
1417	appear	VB
1418	similar	JJ
1419	may	VB
1420	share	VB
1421	similar	JJ
1422	underlying	JJ
1423	patterns	NN
1424	of	OO
1425	neural	JJ
1426	activation	NN
1427	a	OO
1428	direct	JJ
1429	mapping	NN
1430	between	OO
1431	perceptual	JJ
1432	similarity	NN
1433	and	OO
1434	representational	JJ
1435	distance	NN
1436	has	VB
1437	not	RB
1438	been	VB
1439	demonstrated	VB
1440	Here	RB
1441	we	NN
1442	explore	VB
1443	the	OO
1444	relationship	NN
1445	between	OO
1446	the	OO
1447	human	JJ
1448	??	NN
1449	representation	NN
1450	of	OO
1451	visual	JJ
1452	patterns	NN
1453	and	OO
1454	behavioral	JJ
1455	judgments	NN
1456	of	OO
1457	perceptual	JJ
1458	similarity	NN
1459	The	OO
1460	visual	JJ
1461	stimuli	NN
1462	were	VB
1463	abstract	JJ
1464	patterns	NN
1465	constructed	VB
1466	from	OO
1467	identical	JJ
1468	perceptual	JJ
1469	units	NN
1470	oriented	VB
1471	Gabor	NN
1472	patches	NN
1473	so	OO
1474	that	OO
1475	each	OO
1476	pattern	NN
1477	had	VB
1478	a	OO
1479	unique	JJ
1480	global	JJ
1481	form	NN
1482	or	OO
1483	perceptual	JJ
1484	Gestalt	NN
1485	The	OO
1486	visual	JJ
1487	stimuli	NN
1488	were	VB
1489	decodable	JJ
1490	from	OO
1491	evoked	JJ
1492	neural	JJ
1493	activation	NN
1494	patterns	NN
1495	measured	VB
1496	with	OO
1497	magnetoencephalography	NN
1498	MEG	NN
1499	however	RB
1500	stimuli	NN
1501	differed	VB
1502	in	OO
1503	the	OO
1504	similarity	NN
1505	of	OO
1506	their	JJ
1507	neural	JJ
1508	representation	NN
1509	as	OO
1510	estimated	VB
1511	by	OO
1512	differences	NN
1513	in	OO
1514	decodability	NN
1515	Early	RB
1516	after	OO
1517	stimulus	NN
1518	onset	NN
1519	from	OO
1520	50ms	OO
1521	a	OO
1522	model	NN
1523	based	VB
1524	on	OO
1525	retinotopic	JJ
1526	organization	NN
1527	predicted	VB
1528	the	OO
1529	representational	JJ
1530	similarity	NN
1531	of	OO
1532	the	OO
1533	visual	JJ
1534	stimuli	NN
1535	Following	VB
1536	the	OO
1537	peak	JJ
1538	correlation	NN
1539	between	OO
1540	the	OO
1541	retinotopic	JJ
1542	model	NN
1543	and	OO
1544	neural	JJ
1545	data	NN
1546	at	OO
1547	80ms	OO
1548	the	OO
1549	neural	JJ
1550	representations	NN
1551	quickly	RB
1552	evolved	VB
1553	so	OO
1554	that	OO
1555	retinotopy	NN
1556	no	RB
1557	longer	RB
1558	provided	VB
1559	a	OO
1560	sufficient	JJ
1561	account	NN
1562	of	OO
1563	the	OO
1564	??	??
1565	representation	NN
1566	of	OO
1567	the	OO
1568	stimuli	NN
1569	Overall	RB
1570	the	OO
1571	strongest	JJ
1572	predictor	NN
1573	of	OO
1574	the	OO
1575	??	NN
1576	representation	NN
1577	was	VB
1578	a	OO
1579	model	NN
1580	based	VB
1581	on	OO
1582	human	JJ
1583	judgments	NN
1584	of	OO
1585	perceptual	JJ
1586	similarity	NN
1587	which	OO
1588	reached	VB
1589	the	OO
1590	theoretical	JJ
1591	limits	NN
1592	of	OO
1593	the	OO
1594	maximum	JJ
1595	correlation	NN
1596	with	OO
1597	the	OO
1598	neural	JJ
1599	data	NN
1600	defined	VB
1601	by	OO
1602	the	OO
1603	noise	NN
1604	ceiling	NN
1605	We	NN
1606	compare	VB
1607	in	OO
1608	this	OO
1609	paper	NN
1610	several	JJ
1611	feature	NN
1612	selection	NN
1613	methods	NN
1614	for	OO
1615	the	OO
1616	Naive	NN
1617	Bayes	NN
1618	Classifier	NN
1619	NBC	NN
1620	when	RB
1621	the	OO
1622	data	NN
1623	under	OO
1624	study	NN
1625	are	VB
1626	described	VB
1627	by	OO
1628	a	OO
1629	large	JJ
1630	number	NN
1631	of	OO
1632	redundant	JJ
1633	binary	JJ
1634	indicators	NN
1635	Wrapper	JJ
1636	approaches	NN
1637	guided	VB
1638	by	OO
1639	the	OO
1640	NBC	NN
1641	estimation	NN
1642	of	OO
1643	the	OO
1644	classification	NN
1645	error	NN
1646	probability	NN
1647	outperform	VB
1648	filter	NN
1649	approaches	NN
1650	while	OO
1651	retaining	VB
1652	a	OO
1653	reasonable	JJ
1654	computational	JJ
1655	cost	NN
1656	1	OO
1657	Introduction	NN
1658	We	NN
1659	consider	VB
1660	in	OO
1661	this	OO
1662	paper	NN
1663	application	NN
1664	contexts	NN
1665	in	OO
1666	which	OO
1667	a	OO
