indexInDoc	token	ssplit	posTag
123	northern	--	JJ
124	edge	--	NN
125	Monday	--	NN
126	night	SPLIT	NN
127	A	--	OO
128	wind	--	NN
129	shift	--	??
130	pushed	--	VB
131	flames	--	NN
132	from	--	OO
133	the	--	OO
134	next	--	JJ
135	road	--	NN
136	south	--	RB
137	West	--	??
138	Sockeye	--	NN
139	Avenue	--	NN
140	near	--	OO
141	where	--	RB
142	the	--	OO
143	fire	--	NN
144	started	--	VB
145	and	--	OO
146	toward	--	OO
147	the	--	OO
148	rural	--	JJ
149	West	--	NN
150	Sheep	--	NN
151	Creek	--	NN
152	Drive	--	NN
153	neighborhood	--	NN
154	where	--	RB
155	Walz	--	NN
156	lives	--	VB
157	amid	--	OO
158	a	--	OO
159	thick	--	JJ
160	canopy	--	NN
161	of	--	OO
162	the	--	OO
163	same	--	JJ
164	black	--	JJ
165	spruce	--	??
166	that	--	OO
167	this	--	OO
168	fire	--	NN
169	blows	--	??
170	through	--	OO
171	like	--	OO
172	standing	--	VB
173	tinder	SPLIT	NN
174	Alaska	--	NN
175	State	--	NN
176	Troopers	--	NN
177	told	--	VB
178	the	--	OO
179	scattered	--	??
180	residents	--	NN
181	along	--	OO
182	the	--	OO
183	gravel	--	NN
184	road	--	NN
185	to	--	OO
186	evacuate	SPLIT	VB
187	Walz	--	NN
188	lost	--	VB
189	her	--	JJ
190	home	--	NN
191	in	--	OO
192	the	--	OO
193	1996	--	OO
194	Miller	--	NN
195	s	--	OO
196	Reach	--	??
197	fire	--	NN
198	that	--	OO
199	destroyed	--	VB
200	more	--	JJ
201	than	--	OO
202	400	SPLIT	OO
203	I	--	NN
204	told	--	VB
205	him	--	NN
206	I	--	NN
207	was	--	VB
208	nt	--	RB
209	leaving	--	VB
210	she	--	NN
211	said	SPLIT	VB
212	They	--	NN
213	said	--	VB
214	it	--	NN
215	was	--	VB
216	voluntary	--	JJ
217	anyway	SPLIT	RB
218	This	--	OO
219	fire	--	NN
220	however	--	RB
221	is	--	VB
222	expected	--	VB
223	to	--	OO
224	turn	--	VB
225	ugly	--	JJ
226	again	SPLIT	RB
227	Forecasts	--	NN
228	called	--	VB
229	for	--	OO
230	extreme	--	JJ
231	behavior	--	NN
232	Tuesday	--	NN
233	night	--	NN
234	due	--	JJ
235	to	--	OO
236	thunderstorms	--	NN
237	and	--	OO
238	erratic	--	JJ
239	winds	SPLIT	NN
240	The	--	OO
241	crews	--	NN
242	fighting	--	VB
243	the	--	OO
244	fire	--	NN
245	acknowledge	--	VB
246	the	--	OO
247	state	--	NN
248	s	--	OO
249	general	--	JJ
250	policy	--	NN
251	against	--	OO
252	mandatory	--	JJ
253	evacuations	SPLIT	NN
254	But	--	OO
255	they	--	NN
256	do	--	VB
257	nt	--	RB
258	like	--	VB
259	it	--	NN
260	officials	--	NN
261	say	--	VB
262	because	--	OO
263	homeowners	--	NN
264	may	--	VB
265	misjudge	--	VB
266	the	--	OO
267	danger	SPLIT	NN
268	The	--	OO
269	troopers	--	NN
270	are	--	VB
271	very	--	RB
272	cautious	--	JJ
273	in	--	OO
274	advising	--	VB
275	us	--	NN
276	that	--	OO
277	evacuations	--	NN
278	are	--	VB
279	voluntary	--	JJ
280	Tom	--	NN
281	Kurth	--	NN
282	incident	--	NN
283	commander	--	NN
284	on	--	OO
285	the	--	OO
286	fire	--	NN
287	said	--	VB
288	during	--	OO
289	a	--	OO
290	press	--	NN
291	conference	--	NN
292	Tuesday	SPLIT	NN
293	Now	--	??
294	that	--	OO
295	s	--	VB
296	not	--	RB
297	our	--	JJ
298	advice	SPLIT	NN
299	Approaching	--	VB
300	fires	--	NN
301	throw	--	VB
302	off	--	OO
303	voluminous	--	JJ
304	smoke	--	NN
305	and	--	OO
306	then	--	RB
307	turbulence	--	NN
308	starts	--	VB
309	Kurth	--	NN
310	said	SPLIT	VB
311	when	--	RB
312	some	--	OO
313	holdouts	--	NN
314	decide	--	VB
315	to	--	OO
316	leave	--	VB
317	home	--	NN
318	Out	--	OO
319	they	--	NN
320	come	--	VB
321	he	--	NN
322	said	SPLIT	VB
323	in	--	OO
324	the	--	OO
325	smoke	SPLIT	NN
326	in	--	OO
327	the	--	OO
328	smoke	SPLIT	NN
329	a	--	OO
330	very	--	RB
331	dangerous	--	JJ
332	environment	--	NN
333	to	--	OO
334	operate	--	VB
335	in	SPLIT	OO
336	Alaska	--	NN
337	Wildlife	--	NN
338	Trooper	--	NN
339	Thomas	--	NN
340	Akelkok	--	NN
341	spent	--	VB
342	Tuesday	--	NN
343	guarding	--	VB
344	against	--	OO
345	looters	--	NN
346	and	--	OO
347	checking	--	VB
348	on	--	OO
349	people	--	NN
350	who	--	NN
351	stayed	--	VB
352	behind	--	OO
353	despite	--	OO
354	an	--	OO
355	evacuation	--	NN
356	advisory	--	NN
357	that	--	OO
358	now	--	RB
359	covers	--	VB
360	a	--	OO
361	15mile	--	JJ
362	corridor	--	NN
363	along	--	OO
364	the	--	OO
365	Parks	--	NN
366	Highway	SPLIT	NN
367	Akelkok	--	NN
368	a	--	OO
369	Ekwok	--	NN
370	native	--	NN
371	who	--	NN
372	brings	--	VB
373	a	--	OO
374	goodnatured	--	JJ
375	personality	--	NN
376	to	--	OO
377	the	--	OO
378	job	--	NN
379	drove	--	VB
380	down	--	OO
381	a	--	OO
382	long	--	JJ
383	driveway	--	NN
384	near	--	OO
385	Capitol	--	NN
386	Speedway	--	NN
387	to	--	OO
388	check	--	VB
389	on	--	OO
390	a	--	OO
391	home	SPLIT	NN
392	Skeletal	--	??
393	charred	--	VB
394	spruce	--	??
395	trees	--	NN
396	stood	--	VB
397	like	--	OO
398	spikes	--	NN
399	in	--	OO
400	a	--	OO
401	moonscape	--	NN
402	of	--	OO
403	gray	SPLIT	JJ
404	Occasional	--	JJ
405	whiffs	--	NN
406	of	--	OO
407	smoke	--	NN
408	emerged	--	VB
409	from	--	OO
410	the	--	OO
411	incinerated	--	??
412	duff	SPLIT	NN
413	The	--	OO
414	trooper	--	NN
415	came	--	VB
416	to	--	OO
417	the	--	OO
418	house	--	NN
419	Sunday	--	NN
420	as	--	OO
421	the	--	OO
422	fire	--	NN
423	bore	--	VB
424	down	--	??
425	to	--	OO
426	warn	--	VB
427	the	--	OO
428	family	--	NN
429	inside	SPLIT	??
430	Behind	--	??
431	me	--	NN
432	I	--	NN
433	could	--	VB
434	see	--	VB
435	it	--	NN
436	in	--	OO
437	the	--	OO
438	rearview	--	NN
439	mirror	--	NN
440	Akelkok	--	NN
441	said	--	VB
442	as	--	OO
443	his	--	JJ
444	pickup	--	NN
445	bounced	--	VB
446	down	--	OO
447	the	--	OO
448	driveway	SPLIT	NN
449	It	--	NN
450	looked	--	VB
451	like	--	OO
452	the	--	OO
453	road	--	NN
454	was	--	VB
455	catching	--	VB
456	on	--	OO
457	fire	SPLIT	NN
458	He	--	NN
459	drove	--	VB
460	through	--	OO
461	flames	--	NN
462	to	--	OO
463	get	--	VB
464	back	--	RB
465	out	--	??
466	then	--	RB
467	learned	--	VB
468	that	--	OO
469	a	--	OO
470	woman	--	NN
471	remained	--	VB
472	at	--	OO
473	the	--	OO
474	house	SPLIT	NN
475	Akelkok	--	NN
476	turned	--	VB
477	around	--	RB
478	got	--	VB
479	the	--	OO
480	woman	--	NN
481	out	--	??
482	and	--	OO
483	escaped	--	VB
484	down	--	OO
485	a	--	OO
486	fourwheeler	--	JJ
487	trail	SPLIT	NN
488	That	--	??
489	was	--	VB
490	cutting	--	VB
491	it	--	NN
492	really	--	RB
493	close	--	RB
494	he	--	NN
495	said	SPLIT	VB
496	The	--	OO
497	house	--	NN
498	still	--	RB
499	stood	--	VB
500	unscathed	--	JJ
501	as	--	OO
502	of	--	OO
503	Tuesday	SPLIT	NN
504	Chickens	--	NN
505	clucked	--	VB
506	and	--	OO
507	pecked	--	VB
508	at	--	OO
509	some	--	OO
510	weeds	SPLIT	NN
511	One	--	OO
512	had	--	VB
513	char	--	??
514	marks	--	NN
515	on	--	OO
516	its	--	JJ
517	tail	SPLIT	NN
518	The	--	OO
519	day	--	NN
520	the	--	OO
521	fire	--	NN
522	started	--	VB
523	officials	--	NN
524	say	--	VB
525	it	--	NN
526	torched	--	VB
527	through	--	OO
528	beetlekilled	--	JJ
529	black	--	JJ
530	spruce	--	??
531	like	--	OO
532	a	--	OO
533	freight	--	NN
534	train	--	NN
535	running	--	VB
536	20	--	OO
537	to	--	OO
538	30	--	OO
539	mph	SPLIT	NN
540	Flames	--	NN
541	took	--	VB
542	off	--	OO
543	again	--	RB
544	during	--	OO
545	??	--	NN
546	wind	--	NN
547	shift	SPLIT	NN
548	Fire	--	NN
549	burned	--	VB
550	so	--	RB
551	hot	--	JJ
552	in	--	OO
553	places	--	NN
554	that	--	OO
555	metal	--	NN
556	turned	--	VB
557	molten	--	??
558	and	--	OO
559	houses	--	NN
560	nearly	--	RB
561	crumbled	--	VB
562	into	--	OO
563	ash	SPLIT	??
564	Superheated	--	??
565	rocks	--	NN
566	stuck	--	VB
567	to	--	OO
568	tires	--	NN
569	on	--	OO
570	back	--	JJ
571	roads	SPLIT	NN
572	But	--	OO
573	other	--	JJ
574	homes	--	NN
575	survived	--	VB
576	unscathed	SPLIT	JJ
577	The	--	OO
578	lawn	--	NN
579	looked	--	VB
580	freshly	--	RB
581	mowed	--	VB
582	at	--	OO
583	one	--	OO
584	neat	--	JJ
585	green	--	JJ
586	home	--	NN
587	with	--	OO
588	17	--	OO
589	gas	--	NN
590	cans	--	NN
591	several	--	JJ
592	propane	--	NN
593	canisters	--	NN
594	and	--	OO
595	a	--	OO
596	generator	--	NN
597	left	--	VB
598	a	--	OO
599	distance	--	NN
600	away	SPLIT	RB
601	Municipal	--	JJ
602	fire	--	NN
603	crews	--	NN
604	spent	--	VB
605	long	--	JJ
606	hours	--	NN
607	protecting	--	VB
608	many	--	JJ
609	homes	--	NN
610	officials	--	NN
611	say	SPLIT	VB
612	weird	--	JJ
613	Akelkok	--	NN
614	said	SPLIT	VB
615	see	--	VB
616	a	--	OO
617	house	--	NN
618	burned	--	VB
619	down	--	RB
620	and	--	OO
621	right	--	RB
622	next	--	JJ
623	to	--	OO
624	it	--	NN
625	is	--	VB
626	one	--	OO
627	still	--	RB
628	standing	SPLIT	??
629	People	--	NN
630	who	--	NN
631	did	--	VB
632	evacuate	--	??
633	post	--	NN
634	desperate	--	JJ
635	messages	--	NN
636	on	--	OO
637	social	--	JJ
638	media	--	NN
639	asking	--	VB
640	if	--	OO
641	their	--	JJ
642	houses	--	NN
643	are	--	VB
644	still	--	RB
645	standing	--	VB
646	or	--	OO
647	ask	--	VB
648	neighbors	--	NN
649	making	--	VB
650	trips	--	NN
651	inside	--	OO
652	the	--	OO
653	evacuation	--	NN
654	zone	--	NN
655	to	--	OO
656	check	--	VB
657	for	--	OO
658	them	SPLIT	NN
659	Akelkok	--	NN
660	snaps	--	VB
661	photos	--	NN
662	for	--	OO
663	evacuees	SPLIT	NN
664	Sometimes	--	RB
665	the	--	OO
666	snapshots	--	NN
667	show	--	VB
668	only	--	??
669	wreckage	SPLIT	NN
670	Back	--	RB
671	at	--	OO
672	West	--	NN
673	Sheep	--	NN
674	Creek	--	NN
675	Drive	--	NN
676	Elizabeth	--	NN
677	Walraven	--	NN
678	and	--	OO
679	her	--	JJ
680	grandfather	--	NN
681	pulled	--	VB
682	up	--	OO
683	on	--	OO
684	fourwheelers	SPLIT	NN
685	Neighbor	--	NN
686	Robert	--	NN
687	Byrd	--	NN
688	followed	--	VB
689	a	--	OO
690	few	--	JJ
691	minutes	--	NN
692	later	SPLIT	RB
693	All	--	OO
694	three	--	OO
695	are	--	VB
696	waiting	--	VB
697	out	--	OO
698	the	--	OO
699	fire	--	NN
700	or	--	OO
701	hope	--	VB
702	to	SPLIT	OO
703	Byrd	--	NN
704	built	--	VB
705	a	--	OO
706	fire	--	NN
707	break	--	NN
708	at	--	OO
709	his	--	JJ
710	property	--	NN
711	years	--	NN
712	ago	SPLIT	RB
713	Walraven	--	NN
714	said	--	VB
715	her	--	JJ
716	family	--	NN
717	cleared	--	VB
718	an	--	OO
719	escape	--	NN
720	route	--	NN
721	toward	--	OO
722	the	--	OO
723	north	--	NN
724	in	--	OO
725	case	--	NN
726	they	--	NN
727	need	--	VB
728	to	--	OO
729	get	--	VB
730	out	--	OO
731	fast	SPLIT	RB
732	Monday	--	NN
733	night	--	NN
734	she	--	NN
735	said	--	VB
736	heavy	--	JJ
737	smoke	--	NN
738	made	--	VB
739	it	--	NN
740	hard	--	JJ
741	to	--	OO
742	sleep	SPLIT	VB
743	The	--	OO
744	truck	--	NN
745	is	--	VB
746	loaded	--	VB
747	she	--	NN
748	said	SPLIT	VB
749	ready	SPLIT	JJ
