indexInDoc	token	ssplit	posTag
379	suppressed	SPLIT	VB
380	The	--	OO
381	production	--	NN
382	cross	--	NN
383	section	--	NN
384	for	--	OO
385	heavy	--	JJ
386	quarkonium	--	NN
387	H	--	NN
388	at	--	OO
389	transverse	--	JJ
390	momentum	--	NN
391	PT	--	NN
392	in	--	OO
393	NRQCD	--	NN
394	factorizes	--	VB
395	into	--	OO
396	a	--	OO
397	sum	--	NN
398	of	--	OO
399	perturbative	--	JJ
400	functions	--	NN
401	times	--	NN
402	universal	--	JJ
403	matrix	--	NN
404	elements	--	NN
405	X	--	NN
406	n	--	??
407	On	--	OO
408	2	--	OO
409	where	--	RB
410	each	--	OO
411	NRQCD	--	NN
412	nonperturbative	--	JJ
413	matrix	--	NN
414	element	--	NN
415	On	--	OO
416	represents	--	VB
417	the	--	OO
418	probability	--	NN
419	of	--	OO
420	a	--	OO
421	heavy	--	JJ
422	quarkantiquark	--	NN
423	pair	--	NN
424	in	--	OO
425	state	--	NN
426	n	--	NN
427	such	--	JJ
428	as	--	OO
429	color	--	NN
430	singlet	--	??
431	or	--	OO
432	color	--	NN
433	octet	--	NN
434	etc	--	NN
435	to	--	OO
436	produce	--	VB
437	heavy	--	JJ
438	quarkonium	--	NN
439	state	--	NN
440	H	--	NN
441	2	--	OO
442	The	--	OO
443	fragmentation	--	NN
444	function	--	NN
445	for	--	OO
446	parton	--	NN
447	i	--	??
448	to	--	OO
449	evolve	--	VB
450	into	--	OO
451	a	--	OO
452	heavy	--	JJ
453	quarkonium	--	NN
454	at	--	OO
455	large	--	JJ
456	PT	--	NN
457	is	--	VB
458	factorized	--	VB
459	according	--	VB
460	to	--	OO
461	5	--	??
462	mc	--	NN
463	X	--	NN
464	n	--	??
465	z	--	??
466	mc	--	NN
467	On	--	OO
468	3	--	OO
469	in	--	OO
470	terms	--	NN
471	of	--	OO
472	same	--	JJ
473	NRQCD	--	NN
474	nonperturbative	--	JJ
475	matrix	--	NN
476	elements	--	NN
477	along	--	OO
478	with	--	OO
479	perturbative	--	JJ
480	functions	--	NN
481	z	--	??
482	mc	--	NN
483	that	--	OO
484	describe	--	VB
485	the	--	OO
486	evolution	--	NN
487	of	--	OO
488	an	--	OO
489	offshell	--	JJ
490	parton	--	NN
491	into	--	OO
492	a	--	OO
493	heavy	--	JJ
494	quarkantiquark	--	NN
495	pair	--	NN
496	in	--	OO
497	state	--	NN
498	n	--	NN
499	such	--	JJ
500	as	--	OO
501	color	--	NN
502	singlet	--	??
503	or	--	OO
504	color	--	NN
505	octet	--	NN
506	etc	SPLIT	NN
507	At	--	OO
508	a	--	OO
509	first	--	JJ
510	glance	--	NN
511	it	--	NN
512	can	--	VB
513	be	--	VB
514	easily	--	RB
515	seen	--	VB
516	that	--	OO
517	the	--	OO
518	nonperturbative	--	JJ
519	NRQCD	--	NN
520	matrix	--	NN
521	element	--	NN
522	in	--	OO
523	eq	SPLIT	NN
524	1	--	OO
525	is	--	VB
526	not	--	RB
527	gauge	--	VB
528	invariant	--	??
529	unless	--	OO
530	it	--	NN
531	is	--	VB
532	a	--	OO
533	color	--	NN
534	singlet	--	NN
535	Swave	--	NN
536	nonperturbative	--	JJ
537	matrix	--	NN
538	element	SPLIT	NN
539	Hence	--	RB
540	one	--	OO
541	expects	--	VB
542	that	--	OO
543	any	--	OO
544	noncanceling	--	JJ
545	infrared	--	JJ
546	divergences	--	NN
547	in	--	OO
548	the	--	OO
549	perturbative	--	JJ
550	Feynman	--	NN
551	diagrams	--	NN
552	of	--	OO
553	heavy	--	JJ
554	quarkantiquark	--	NN
555	production	--	NN
556	shortdistance	--	NN
557	coefficient	--	NN
558	can	--	VB
559	not	--	RB
560	be	--	VB
561	factorized	--	VB
562	in	--	OO
563	to	--	OO
564	the	--	OO
565	definition	--	NN
566	of	--	OO
567	the	--	OO
568	nonperturbative	--	JJ
569	NRQCD	--	NN
570	matrix	--	NN
571	element	--	NN
572	in	--	OO
573	eq	SPLIT	NN
574	1	--	OO
575	to	--	OO
576	study	--	VB
577	heavy	--	JJ
578	quarkonium	--	NN
579	production	--	NN
580	at	--	OO
581	high	--	JJ
582	energy	--	NN
583	colliders	--	NN
584	in	--	OO
585	the	--	OO
586	NRQCD	--	NN
587	color	--	NN
588	octet	--	NN
589	mechanism	SPLIT	NN
590	This	--	OO
591	is	--	VB
592	explicitly	--	RB
593	shown	--	VB
594	in	--	OO
595	4	--	OO
596	where	--	RB
597	the	--	OO
598	NNLO	--	NN
599	coupling	--	NN
600	constant	--	JJ
601	calculation	--	NN
602	shows	--	VB
603	that	--	OO
604	the	--	OO
605	above	--	JJ
606	nonperturbative	--	JJ
607	NRQCD	--	NN
608	matrix	--	NN
609	element	--	NN
610	in	--	OO
611	eq	SPLIT	NN
612	1	--	OO
613	is	--	VB
614	not	--	RB
615	consistent	--	JJ
616	with	--	OO
617	factorization	--	NN
618	of	--	OO
619	infrared	--	JJ
620	divergences	--	NN
621	unless	--	OO
622	it	--	NN
623	is	--	VB
624	a	--	OO
625	color	--	NN
626	singlet	--	NN
627	Swave	--	NN
628	nonperturbative	--	JJ
629	matrix	--	NN
630	element	SPLIT	NN
631	By	--	OO
632	using	--	VB
633	the	--	OO
634	calculation	--	NN
635	at	--	OO
636	NNLO	--	NN
637	in	--	OO
638	coupling	--	??
639	constant	--	JJ
640	and	--	OO
641	to	--	OO
642	all	--	OO
643	powers	--	NN
644	in	--	OO
645	the	--	OO
646	heavy	--	JJ
647	quark	--	NN
648	relative	--	JJ
649	velocity	--	NN
650	it	--	NN
651	was	--	VB
652	shown	--	VB
653	in	--	OO
654	4	--	OO
655	that	--	OO
656	the	--	OO
657	octet	--	NN
658	Swave	--	NN
659	nonperturbative	--	JJ
660	NRQCD	--	NN
661	matrix	--	NN
662	element	--	NN
663	which	--	OO
664	is	--	VB
665	gauge	--	NN
666	invariant	--	??
667	and	--	OO
668	is	--	VB
669	consistent	--	JJ
670	with	--	OO
671	the	--	OO
672	factorization	--	NN
673	of	--	OO
674	infrared	--	JJ
675	divergences	--	NN
676	is	--	VB
677	given	--	VB
678	by	SPLIT	OO
