indexInDoc	indexInText	indexInSentence	sentenceNumber	token	posTag	lemma	nerTag
97	97	4	4	generates	VB	generate	O
98	98	5	4	nlp4j.txt.nlp	NN	nlp4j.txt.nlp	O
99	99	6	4	.	OO	.	O
100	100	1	5	It	NN	it	O
101	101	2	5	uses	VB	use	O
102	102	3	5	config-decode-en.xml	NN	config-decode-en.xml	O
103	103	4	5	.	OO	.	O
104	104	1	6	Capital	NN	Capital	O
105	105	2	6	allocation	NN	allocation	O
106	106	3	6	is	VB	be	O
107	107	4	6	an	OO	a	O
108	108	5	6	internal	JJ	internal	O
109	109	6	6	exercise	NN	exercise	O
110	110	7	6	calculated	VB	calculate	O
111	111	8	6	by	OO	by	O
112	112	9	6	class	NN	class	O
113	113	10	6	method	NN	method	O
114	114	11	6	scr.capital	NN	scr.capital	O
115	115	12	6	(	OO	-lrb-	O
116	116	13	6	)	OO	-rrb-	O
117	117	14	6	,	OO	,	O
118	118	15	6	certainly	RB	certainly	O
119	119	16	6	not	RB	not	O
120	120	17	6	controlled	VB	control	O
121	121	18	6	by	OO	by	O
122	122	19	6	the	OO	the	O
123	123	20	6	first	JJ	first	ORDINAL
124	124	21	6	pillar	NN	pillar	O
125	125	22	6	.	OO	.	O
126	126	1	7	Several	JJ	several	O
127	127	2	7	allocation	NN	allocation	O
128	128	3	7	methods	NN	method	O
129	129	4	7	in	OO	in	O
130	130	5	7	the	OO	the	O
131	131	6	7	literature	NN	literature	O
132	132	7	7	use	NN	use	O
133	133	8	7	w	NN	w	O
134	134	9	7	=	JJ	=	O
135	135	10	7	(	OO	-lrb-	O
136	136	11	7	l1	NN	l1	O
137	137	12	7	[	OO	-lsb-	O
138	138	13	7	i	OO	i	O
139	139	14	7	]	OO	-rsb-	O
140	140	15	7	,	OO	,	O
141	141	16	7	p1	NN	p1	O
142	142	17	7	[	OO	-lsb-	O
143	143	18	7	j	NN	j	O
144	144	19	7	]	OO	-rsb-	O
145	145	20	7	)	OO	-rrb-	O
146	146	21	7	to	OO	to	O
147	147	22	7	initialize	VB	initialize	O
148	148	23	7	the	OO	the	O
149	149	24	7	choice	NN	choice	O
150	150	25	7	of	OO	of	O
151	151	26	7	a	OO	a	O
152	152	27	7	univariate	JJ	univariate	O
153	153	28	7	risk	NN	risk	O
154	154	29	7	measure	NN	measure	O
155	155	30	7	.	OO	.	O
156	156	1	8	The	OO	the	O
157	157	2	8	univeriate	JJ	univeriate	O
158	158	3	8	risk	NN	risk	O
159	159	4	8	measure	NN	measure	O
160	160	5	8	|	OO	|	NUMBER
161	161	6	8	<w>	NN	<w>	O
162	162	7	8	|	NN	|	O
163	163	8	8	can	VB	can	O
164	164	9	8	also	RB	also	O
165	165	10	8	be	VB	be	O
166	166	11	8	used	VB	use	O
167	167	12	8	as	OO	as	O
168	168	13	8	an	OO	a	O
169	169	14	8	allocation	NN	allocation	O
170	170	15	8	principle	NN	principle	O
171	171	16	8	.	OO	.	O
172	172	1	9	The	OO	the	O
173	173	2	9	Shapley	NN	Shapley	PERSON
174	174	3	9	method	NN	method	O
175	175	4	9	of	OO	of	O
176	176	5	9	both	OO	both	O
177	177	6	9	sides	NN	side	O
178	178	7	9	of	OO	of	O
179	179	8	9	Eqs	NN	eq	O
180	180	9	9	.	OO	.	O
181	181	1	10	(	OO	-lrb-	O
182	182	2	10	6	OO	6	NUMBER
183	183	3	10	)	OO	-rrb-	O
184	184	4	10	--	OO	--	O
185	185	5	10	(	OO	-lrb-	O
186	186	6	10	14	OO	14	NUMBER
187	187	7	10	)	OO	-rrb-	O
188	188	8	10	is	VB	be	O
189	189	9	10	based	VB	base	O
190	190	10	10	on	OO	on	O
191	191	11	10	cooperative	JJ	cooperative	O
192	192	12	10	game	NN	game	O
193	193	13	10	theory	NN	theory	O
194	194	14	10	.	OO	.	O
195	195	1	11	We	NN	we	O
196	196	2	11	found	VB	find	O
197	197	3	11	that	OO	that	O
198	198	4	11	the	OO	the	O
199	199	5	11	model	NN	model	O
200	200	6	11	Mw	NN	mw	O
201	201	7	11	,	OO	,	O
202	202	8	11	x	NN	x	O
203	203	9	11	=	JJ	=	O
204	204	10	11	wx	NN	wx	O
205	205	11	11	^	NN	^	O
206	206	12	11	1.2	OO	1.2	NUMBER
207	207	13	11	approximated	VB	approximate	O
208	208	14	11	the	OO	the	O
209	209	15	11	system	NN	system	O
210	210	16	11	's	OO	's	O
211	211	17	11	behavior	NN	behavior	O
212	212	18	11	adequately	RB	adequately	O
213	213	19	11	.	OO	.	O
214	214	1	12	Dr.	NN	Dr.	O
215	215	2	12	Denault	NN	Denault	PERSON
216	216	3	12	proved	VB	prove	O
217	217	4	12	that	OO	that	O
218	218	5	12	this	OO	this	O
219	219	6	12	method	NN	method	O
220	220	7	12	,	OO	,	O
221	221	8	12	originally	RB	originally	O
222	222	9	12	used	VB	use	O
223	223	10	12	to	OO	to	O
224	224	11	12	allocate	VB	allocate	O
225	225	12	12	the	OO	the	O
226	226	13	12	total	JJ	total	O
227	227	14	12	cost	NN	cost	O
228	228	15	12	between	OO	between	O
229	229	16	12	players	NN	player	O
230	230	17	12	in	OO	in	O
231	231	18	12	coalitional	JJ	coalitional	O
232	232	19	12	games	NN	game	O
233	233	20	12	context	NN	context	O
234	234	21	12	,	OO	,	O
235	235	22	12	can	VB	can	O
236	236	23	12	be	VB	be	O
237	237	24	12	easily	RB	easily	O
238	238	25	12	adapted	VB	adapt	O
239	239	26	12	.	OO	.	O
240	240	1	13	The	OO	the	O
241	241	2	13	case	NN	case	O
242	242	3	13	of	OO	of	O
243	243	4	13	insurance	NN	insurance	O
244	244	5	13	groups	NN	group	O
245	245	6	13	,	OO	,	O
246	246	7	13	stated	VB	state	O
247	247	8	13	in	OO	in	O
248	248	9	13	Tab	NN	Tab	O
249	249	10	13	.	OO	.	O
250	250	1	14	2	OO	2	NUMBER
251	251	2	14	,	OO	,	O
252	252	3	14	requires	VB	require	O
253	253	4	14	special	JJ	special	O
254	254	5	14	treatment	NN	treatment	O
255	255	6	14	.	OO	.	O
256	256	1	15	The	OO	the	O
257	257	2	15	literature	NN	literature	O
258	258	3	15	on	OO	on	O
259	259	4	15	the	OO	the	O
260	260	5	15	subject	NN	subject	O
261	261	6	15	of	OO	of	O
262	262	7	15	capital	NN	capital	O
263	263	8	15	allocation	NN	allocation	O
264	264	9	15	methods	NN	method	O
265	265	10	15	is	VB	be	O
266	266	11	15	very	RB	very	O
267	267	12	15	rich	JJ	rich	O
268	268	13	15	for	OO	for	O
269	269	14	15	every	OO	every	O
270	270	15	15	even	RB	even	O
271	271	16	15	publication	NN	publication	O
272	272	17	15	year	NN	year	DATE
273	273	18	15	2008	OO	2008	DATE
274	274	19	15	,	OO	,	O
275	275	20	15	2010	OO	2010	DATE
276	276	21	15	,	OO	,	O
277	277	22	15	2012	OO	2012	DATE
278	278	23	15	,	OO	,	O
279	279	24	15	2014	OO	2014	DATE
280	280	25	15	etc.	NN	etc.	O
281	281	26	15	.	OO	.	O
282	282	1	16	Several	JJ	several	O
283	283	2	16	principles	NN	principle	O
284	284	3	16	have	VB	have	O
285	285	4	16	been	VB	be	O
286	286	5	16	proposed	VB	propose	O
287	287	6	16	later	RB	later	O
288	288	7	16	than	OO	than	O
289	289	8	16	the	OO	the	O
290	290	9	16	deadline	NN	deadline	O
291	291	10	16	of	OO	of	O
292	292	11	16	6	OO	6	TIME
293	293	12	16	p.m.	RB	p.m.	TIME
294	294	13	16	over	OO	over	DATE
295	295	14	16	the	OO	the	DATE
296	296	15	16	last	JJ	last	DATE
297	297	16	16	twenty	OO	twenty	DATE
298	298	17	16	years	NN	year	DATE
299	299	18	16	.	OO	.	O
300	300	1	17	In	OO	in	O
301	301	2	17	this	OO	this	O
302	302	3	17	context	NN	context	O
303	303	4	17	,	OO	,	O
304	304	5	17	i.e.	OO	i.e.	O
305	305	6	17	SCR	OO	scr	O
306	306	7	17	calculations	NN	calculation	O
307	307	8	17	,	OO	,	O
308	308	9	17	a	OO	a	O
309	309	10	17	multi-variate	JJ	multi-variate	O
310	310	11	17	analysis	NN	analysis	O
311	311	12	17	was	VB	be	O
312	312	13	17	defined	VB	define	O
313	313	14	17	.	OO	.	O
314	314	1	18	They	NN	they	O
315	315	2	18	are	VB	be	O
316	316	3	18	based	VB	base	O
317	317	4	18	on	OO	on	O
318	318	5	18	a	OO	a	O
319	319	6	18	strengthening	NN	strengthening	O
320	320	7	18	of	OO	of	O
321	321	8	18	risk	NN	risk	O
322	322	9	18	control	NN	control	O
323	323	10	18	and	OO	and	O
324	324	11	18	minimization	NN	minimization	O
325	325	12	18	of	OO	of	O
326	326	13	18	a	OO	a	O
327	327	14	18	ruin	VB	ruin	O
328	328	15	18	probability	NN	probability	O
329	329	16	18	,	OO	,	O
330	330	17	18	Boolean	NN	Boolean	O
331	331	18	18	et	OO	et	O
332	332	19	18	al.	OO	al.	O
333	333	20	18	first	RB	first	ORDINAL
334	334	21	18	introduced	VB	introduce	O
335	335	22	18	this	OO	this	O
336	336	23	18	method	NN	method	O
337	337	24	18	.	OO	.	O
338	338	1	19	St.	NN	St.	O
339	339	2	19	Francis	NN	Francis	PERSON
340	340	3	19	began	VB	begin	O
341	341	4	19	selling	VB	sell	O
342	342	5	19	commodities	NN	commodity	O
343	343	6	19	on	OO	on	O
344	344	7	19	three	OO	three	NUMBER
345	345	8	19	different	JJ	different	O
346	346	9	19	exchanges	NN	exchange	O
347	347	10	19	in	OO	in	O
348	348	11	19	the	OO	the	DATE
349	349	12	19	same	JJ	same	DATE
350	350	13	19	year	NN	year	DATE
351	351	14	19	.	OO	.	O
352	352	1	20	However	RB	however	O
353	353	2	20	,	OO	,	O
354	354	3	20	we	NN	we	O
355	355	4	20	were	VB	be	O
356	356	5	20	n't	RB	not	O
357	357	6	20	able	JJ	able	O
358	358	7	20	to	OO	to	O
359	359	8	20	reach	VB	reach	O
360	360	9	20	Profs.	NN	Profs.	O
361	361	10	20	Kowalski	NN	Kowalski	PERSON
362	362	11	20	or	OO	or	O
363	363	12	20	Gambel	NN	Gambel	O
364	364	13	20	for	OO	for	O
365	365	14	20	comment	NN	comment	O
366	366	15	20	.	OO	.	O
367	367	1	21	The	OO	the	O
368	368	2	21	rusty	JJ	rusty	O
369	369	3	21	vehicle	NN	vehicle	O
370	370	4	21	sped	VB	speed	O
371	371	5	21	around	OO	around	O
372	372	6	21	the	OO	the	O
373	373	7	21	corner	NN	corner	O
374	374	8	21	on	OO	on	O
375	375	9	21	Bragg	NN	Bragg	LOCATION
376	376	10	21	Blvd.	NN	Blvd.	LOCATION
377	377	11	21	,	OO	,	O
378	378	12	21	followed	VB	follow	O
379	379	13	21	closely	RB	closely	O
380	380	14	21	by	OO	by	O
381	381	15	21	a	OO	a	O
382	382	16	21	squad	NN	squad	O
383	383	17	21	of	OO	of	O
384	384	18	21	paratroopers	NN	paratrooper	O
385	385	19	21	.	OO	.	O
386	386	1	22	On	OO	on	O
387	387	2	22	Jan.	NN	Jan.	DATE
388	388	3	22	25th	JJ	25th	DATE
389	389	4	22	,	OO	,	DATE
390	390	5	22	2016	OO	2016	DATE
391	391	6	22	,	OO	,	O
392	392	7	22	the	OO	the	O
393	393	8	22	deputy	NN	deputy	O
394	394	9	22	commander	NN	commander	O
395	395	10	22	of	OO	of	O
396	396	11	22	USFK	NN	usfk	ORGANIZATION
397	397	12	22	made	VB	make	O
398	398	13	22	a	OO	a	O
399	399	14	22	statement	NN	statement	O
400	400	15	22	pertaining	VB	pertain	O
401	401	16	22	to	OO	to	O
402	402	17	22	aerial	JJ	aerial	O
403	403	18	22	shows	NN	show	O
404	404	19	22	of	OO	of	O
405	405	20	22	force	NN	force	O
406	406	21	22	.	OO	.	O
407	407	1	23	``	OO	``	O
408	408	2	23	The	OO	the	O
409	409	3	23	1st	JJ	1st	ORDINAL
410	410	4	23	Gen.	NN	Gen.	O
411	411	5	23	Dreamcast	NN	Dreamcast	PERSON
412	412	6	23	was	VB	be	O
413	413	7	23	a	OO	a	O
414	414	8	23	pinnacle	JJ	pinnacle	O
415	415	9	23	achievement	NN	achievement	O
416	416	10	23	in	OO	in	O
417	417	11	23	computer	NN	computer	O
418	418	12	23	engineering	NN	engineering	O
419	419	13	23	,	OO	,	O
420	420	14	23	''	OO	''	O
421	421	15	23	said	VB	say	O
422	422	16	23	John	NN	John	PERSON
423	423	17	23	Stevens	NN	Stevens	PERSON
424	424	18	23	.	OO	.	O
425	425	1	24	To	OO	to	O
426	426	2	24	be	VB	be	O
427	427	3	24	clear	JJ	clear	O
428	428	4	24	,	OO	,	O
429	429	5	24	that	OO	that	O
430	430	6	24	's	VB	be	O
431	431	7	24	John	NN	John	PERSON
432	432	8	24	M.	NN	M.	PERSON
433	433	9	24	Stevens	NN	Stevens	PERSON
434	434	10	24	.	OO	.	O
435	435	1	25	The	OO	the	O
436	436	2	25	coherence	NN	coherence	O
437	437	3	25	of	OO	of	O
438	438	4	25	the	OO	the	O
439	439	5	25	allocation	NN	allocation	O
440	440	6	25	method	NN	method	O
441	441	7	25	for	OO	for	O
442	442	8	25	Pickens	NN	Pickens	LOCATION
443	443	9	25	County	NN	County	LOCATION
444	444	10	25	,	OO	,	O
445	445	11	25	S.C.	NN	S.C.	LOCATION
446	446	12	25	depends	VB	depend	O
447	447	13	25	on	OO	on	O
448	448	14	25	the	OO	the	O
449	449	15	25	properties	NN	property	O
450	450	16	25	of	OO	of	O
451	451	17	25	the	OO	the	O
452	452	18	25	selected	VB	select	O
453	453	19	25	risk	NN	risk	O
454	454	20	25	measure	NN	measure	O
455	455	21	25	.	OO	.	O
456	456	1	26	Star	NN	Star	O
457	457	2	26	Wars	NN	Wars	O
458	458	3	26	:	OO	:	O
459	459	4	26	Episode	NN	Episode	O
460	460	5	26	VII	NN	VII	O
461	461	6	26	-	OO	-	O
462	462	7	26	The	NN	The	O
463	463	8	26	Force	NN	Force	O
464	464	9	26	Awakens	NN	Awakens	O
465	465	10	26	is	VB	be	O
466	466	11	26	a	OO	a	O
467	467	12	26	2015	OO	2015	DATE
468	468	13	26	American	JJ	american	MISC
469	469	14	26	epic	NN	epic	O
470	470	15	26	space	NN	space	O
471	471	16	26	opera	NN	opera	O
472	472	17	26	film	NN	film	O
473	473	18	26	directed	VB	direct	O
474	474	19	26	,	OO	,	O
475	475	20	26	co-produced	JJ	co-produced	O
476	476	21	26	,	OO	,	O
477	477	22	26	and	OO	and	O
478	478	23	26	co-written	NN	co-written	O
479	479	24	26	by	OO	by	O
480	480	25	26	J.	NN	J.	PERSON
481	481	26	26	J.	NN	J.	PERSON
482	482	27	26	Abrams	NN	Abrams	PERSON
483	483	28	26	.	OO	.	O
484	484	1	27	Did	VB	do	O
485	485	2	27	you	NN	you	O
486	486	3	27	enjoy	VB	enjoy	O
487	487	4	27	living	VB	live	O
488	488	5	27	in	OO	in	O
489	489	6	27	Washington	NN	Washington	LOCATION
490	490	7	27	,	OO	,	O
491	491	8	27	D.C.	NN	D.C.	LOCATION
492	492	9	27	?	OO	?	O
493	493	1	28	Substituting	VB	substitute	O
494	494	2	28	w/o	NN	w/o	O
495	495	3	28	for	OO	for	O
496	496	4	28	without	OO	without	O
497	497	5	28	,	OO	,	O
498	498	6	28	for	OO	for	O
499	499	7	28	example	NN	example	O
500	500	8	28	,	OO	,	O
501	501	9	28	can	VB	can	O
502	502	10	28	save	VB	save	O
503	503	11	28	valuable	JJ	valuable	O
504	504	12	28	time	NN	time	O
505	505	13	28	and	OO	and	O
506	506	14	28	space	NN	space	O
507	507	15	28	.	OO	.	O
508	508	1	29	A	OO	a	O
509	509	2	29	choices	NN	choice	O
510	510	3	29	of	OO	of	O
511	511	4	29	a	OO	a	O
512	512	5	29	dependence	NN	dependence	O
513	513	6	29	model	NN	model	O
514	514	7	29	(	OO	-lrb-	O
515	515	8	29	for	OO	for	O
516	516	9	29	more	JJ	more	O
517	517	10	29	details	NN	detail	O
518	518	11	29	see	VB	see	O
519	519	12	29	Fig.	NN	fig.	O
520	520	13	29	4	OO	4	NUMBER
521	521	14	29	)	OO	-rrb-	O
522	522	15	29	between	OO	between	O
523	523	16	29	different	JJ	different	O
524	524	17	29	risks	NN	risk	O
525	525	18	29	and	OO	and	O
526	526	19	29	of	OO	of	O
527	527	20	29	an	OO	a	O
528	528	21	29	aggregation	NN	aggregation	O
529	529	22	29	methodology	NN	methodology	O
530	530	23	29	are	VB	be	O
531	531	24	29	both	OO	both	O
532	532	25	29	required	VB	require	O
533	533	26	29	.	OO	.	O
534	534	1	30	Two	OO	two	NUMBER
535	535	2	30	papers	NN	papers	O
536	536	3	30	by	OO	by	O
537	537	4	30	Mr.	NN	Mr.	O
538	538	5	30	Tasche	NN	Tasche	PERSON
539	539	6	30	and	OO	and	O
540	540	7	30	Mrs.	NN	Mrs.	O
541	541	8	30	deWry	NN	deWry	O
542	542	9	30	followed	VB	follow	O
543	543	10	30	by	OO	by	O
544	544	11	30	Drs.	NN	Drs.	O
545	545	12	30	dePaul	NN	dePaul	ORGANIZATION
546	546	13	30	&	OO	&	ORGANIZATION
547	547	14	30	Jones	NN	Jones	ORGANIZATION
548	548	15	30	co.	NN	co.	ORGANIZATION
549	549	16	30	devoted	JJ	devoted	O
550	550	17	30	two	OO	two	NUMBER
551	551	18	30	papers	NN	papers	O
552	552	19	30	to	OO	to	O
553	553	20	30	describe	VB	describe	O
554	554	21	30	Euler-MacIntosh	NN	Euler-MacIntosh	PERSON
555	555	22	30	's	OO	's	O
556	556	23	30	method	NN	method	O
557	557	24	30	.	OO	.	O
558	558	1	31	Please	VB	please	O
559	559	2	31	send	VB	send	O
560	560	3	31	a	OO	a	O
561	561	4	31	bar	NN	bar	O
562	562	5	31	of	OO	of	O
563	563	6	31	pure	JJ	pure	O
564	564	7	31	chocolate	NN	chocolate	O
565	565	8	31	to	OO	to	O
566	566	9	31	100	OO	100	NUMBER
567	567	10	31	Springview	NN	Springview	LOCATION
568	568	11	31	Drive	NN	Drive	LOCATION
569	569	12	31	by	OO	by	O
570	570	13	31	Mar.	NN	Mar.	DATE
571	571	14	31	.	OO	.	O
572	572	1	32	It	NN	it	O
573	573	2	32	is	VB	be	O
574	574	3	32	used	VB	use	O
575	575	4	32	as	OO	as	O
576	576	5	32	a	OO	a	O
577	577	6	32	designation	NN	designation	O
578	578	7	32	for	OO	for	O
579	579	8	32	a	OO	a	O
580	580	9	32	person	NN	person	O
581	581	10	32	who	NN	who	O
582	582	11	32	has	VB	have	O
583	583	12	32	obtained	VB	obtain	O
584	584	13	32	a	OO	a	O
585	585	14	32	Research	NN	research	O
586	586	15	32	Doctorate	NN	doctorate	O
587	587	16	32	(	OO	-lrb-	O
588	588	17	32	i.e.	OO	i.e.	O
589	589	18	32	Ph.D.	NN	ph.d.	O
590	590	19	32	,	OO	,	O
591	591	20	32	Ed.D	NN	ed.d	O
592	592	21	32	)	OO	-rrb-	O
593	593	22	32	.	OO	.	O
594	594	1	33	He	NN	he	O
595	595	2	33	tweeted	VB	tweet	O
596	596	3	33	from	OO	from	O
597	597	4	33	near	OO	near	O
598	598	5	33	the	OO	the	O
599	599	6	33	U.S.-Mexican	JJ	u.s.-mexican	MISC
600	600	7	33	border	NN	border	O
601	601	8	33	.	OO	.	O
602	602	1	34	Netwhatevers	NN	Netwhatevers	ORGANIZATION
603	603	2	34	,	OO	,	ORGANIZATION
604	604	3	34	Inc.	NN	Inc.	ORGANIZATION
605	605	4	34	stocks	NN	stock	O
606	606	5	34	are	VB	be	O
607	607	6	34	in	OO	in	O
608	608	7	34	a	OO	a	O
609	609	8	34	drastic	JJ	drastic	O
610	610	9	34	slump	NN	slump	O
611	611	10	34	according	VB	accord	O
612	612	11	34	to	OO	to	O
613	613	12	34	recent	JJ	recent	O
614	614	13	34	reportings	NN	reporting	O
615	615	14	34	.	OO	.	O
616	616	1	35	West	NN	West	O
617	617	2	35	's	OO	's	O
618	618	3	35	``	OO	``	O
619	619	4	35	Father	NN	Father	O
620	620	5	35	Stretch	NN	Stretch	O
621	621	6	35	My	JJ	my	O
622	622	7	35	Hands	NN	hand	O
623	623	8	35	(	OO	-lrb-	O
624	624	9	35	Pt	NN	pt	O
625	625	10	35	.	OO	.	O
626	626	1	36	1	OO	1	NUMBER
627	627	2	36	)	OO	-rrb-	O
628	628	3	36	''	OO	''	O
629	629	4	36	inspired	VB	inspire	O
630	630	5	36	the	OO	the	O
631	631	6	36	best	JJ	best	O
632	632	7	36	meme	NN	meme	O
633	633	8	36	of	OO	of	O
634	634	9	36	the	OO	the	DATE
635	635	10	36	year	NN	year	DATE
636	636	11	36	so	RB	so	O
637	637	12	36	far	RB	far	O
638	638	13	36	.	OO	.	O
639	639	1	37	The	OO	the	O
640	640	2	37	Millennials	NN	Millennials	O
641	641	3	37	(	OO	-lrb-	O
642	642	4	37	born	VB	bear	O
643	643	5	37	c.	NN	c.	O
644	644	6	37	1981-2000	OO	1981-2000	DURATION
645	645	7	37	)	OO	-rrb-	O
646	646	8	37	having	VB	have	O
647	647	9	37	been	VB	be	O
648	648	10	37	born	VB	bear	O
649	649	11	37	before	OO	before	O
650	650	12	37	the	OO	the	O
651	651	13	37	turn	NN	turn	O
652	652	14	37	of	OO	of	O
653	653	15	37	the	OO	the	DATE
654	654	16	37	century	NN	century	DATE
655	655	17	37	give	VB	give	O
656	656	18	37	way	NN	way	O
657	657	19	37	to	OO	to	O
658	658	20	37	the	OO	the	O
659	659	21	37	rise	NN	rise	O
660	660	22	37	of	OO	of	O
661	661	23	37	Generation	NN	Generation	ORGANIZATION
662	662	24	37	Y	NN	y	ORGANIZATION
663	663	25	37	&	OO	&	ORGANIZATION
664	664	26	37	Generation	NN	Generation	ORGANIZATION
665	665	27	37	Z	NN	z	ORGANIZATION
666	666	28	37	in	OO	in	O
667	667	29	37	Western	JJ	western	MISC
668	668	30	37	countries	NN	country	O
669	669	31	37	.	OO	.	O
670	670	1	38	The	OO	the	O
671	671	2	38	Journal	NN	Journal	O
672	672	3	38	of	OO	of	O
673	673	4	38	Asian	NN	Asian	O
674	674	5	38	and	OO	and	O
675	675	6	38	African	NN	African	O
676	676	7	38	Studies	NN	study	O
677	677	8	38	(	OO	-lrb-	O
678	678	9	38	J.	NN	J.	O
679	679	10	38	Asian	NN	Asian	O
680	680	11	38	Afr	NN	Afr	O
681	681	12	38	.	OO	.	O
682	682	1	39	Std	NN	Std	O
683	683	2	39	.	OO	.	O
684	684	3	39	)	OO	-rrb-	O
685	685	1	40	is	VB	be	O
686	686	2	40	a	OO	a	O
687	687	3	40	bimonthly	JJ	bimonthly	SET
688	688	4	40	peer-reviewed	JJ	peer-reviewed	O
689	689	5	40	academic	JJ	academic	O
690	690	6	40	journal	NN	journal	O
691	691	7	40	that	OO	that	O
692	692	8	40	covers	VB	cover	O
693	693	9	40	research	NN	research	O
694	694	10	40	in	OO	in	O
695	695	11	40	the	OO	the	O
696	696	12	40	fields	NN	field	O
697	697	13	40	of	OO	of	O
698	698	14	40	Asian	JJ	asian	MISC
699	699	15	40	and	OO	and	O
700	700	16	40	African	JJ	african	MISC
701	701	17	40	studies	NN	study	O
702	702	18	40	.	OO	.	O
703	703	1	41	The	OO	the	O
704	704	2	41	same	JJ	same	O
705	705	3	41	goes	VB	go	O
706	706	4	41	for	OO	for	O
707	707	5	41	eə	NN	eə	O
708	708	6	41	vs.	OO	vs.	O
709	709	7	41	ɛə	NN	ɛə	O
710	710	8	41	.	OO	.	O
711	711	1	42	This	OO	this	O
712	712	2	42	displaced	VB	displace	O
713	713	3	42	the	OO	the	O
714	714	4	42	existing	VB	exist	O
715	715	5	42	Doctor	NN	doctor	O
716	716	6	42	of	OO	of	O
717	717	7	42	Philosophy	NN	philosophy	O
718	718	8	42	degree	NN	degree	O
719	719	9	42	in	OO	in	O
720	720	10	42	some	OO	some	O
721	721	11	42	Universities	NN	university	O
722	722	12	42	;	OO	;	O
723	723	13	42	for	OO	for	O
724	724	14	42	instance	NN	instance	O
725	725	15	42	,	OO	,	O
726	726	16	42	the	OO	the	O
727	727	17	42	higher	JJ	higher	O
728	728	18	42	doctorate	NN	doctorate	O
729	729	19	42	in	OO	in	O
