indexInText	indexInSentence	sentenceNumber	token	posTag	lemma
136	13	7	]	VBP	]
137	14	7	,	,	,
138	15	7	p1	JJ	p1
139	16	7	[	NNP	[
140	17	7	j	NN	j
141	18	7	]	NN	]
142	19	7	)	)	)
143	20	7	to	TO	to
144	21	7	initialize	VB	initialize
145	22	7	the	DT	the
146	23	7	choice	NN	choice
147	24	7	of	IN	of
148	25	7	a	DT	a
149	26	7	univariate	JJ	univariate
150	27	7	risk	NN	risk
151	28	7	measure	NN	measure
152	29	7	.	.	.
153	1	8	The	DT	The
154	2	8	univeriate	NN	univeriate
155	3	8	risk	NN	risk
156	4	8	measure	NN	measure
157	5	8	|	NNP	|
158	6	8	<	NNP	<
159	7	8	w	VBD	w
160	8	8	>	NNP	>
161	9	8	|	NNP	|
162	10	8	can	MD	can
163	11	8	also	RB	also
164	12	8	be	VB	be
165	13	8	used	VBN	use
166	14	8	as	IN	a
167	15	8	an	DT	an
168	16	8	allocation	NN	allocation
169	17	8	principle	NN	principle
170	18	8	.	.	.
171	1	9	The	DT	The
172	2	9	Shapley	NNP	Shapley
173	3	9	method	NN	method
174	4	9	of	IN	of
175	5	9	both	DT	both
176	6	9	sides	NNS	side
177	7	9	of	IN	of
178	8	9	Eqs	NNP	Eqs
179	9	9	.	.	.
180	1	10	(	(	(
181	2	10	6	CD	6
182	3	10	)	)	)
183	4	10	–	NN	–
184	5	10	(	(	(
185	6	10	14	CD	14
186	7	10	)	)	)
187	8	10	is	VBZ	be
188	9	10	based	VBN	base
189	10	10	on	IN	on
190	11	10	cooperative	JJ	cooperative
191	12	10	game	NN	game
192	13	10	theory	NN	theory
193	14	10	.	.	.
194	1	11	We	PRP	We
195	2	11	found	VBD	find
196	3	11	that	IN	that
197	4	11	the	DT	the
198	5	11	model	NN	model
199	6	11	Mw	NNP	Mw
200	7	11	,	,	,
201	8	11	x	NNP	x
202	9	11	=	NNP	=
203	10	11	wx^1.2	WDT	wx^1.2
204	11	11	approximated	VBD	approximate
205	12	11	the	DT	the
206	13	11	system	NN	system
207	14	11	's	POS	's
208	15	11	behavior	NN	behavior
209	16	11	adequately	RB	adequately
210	17	11	.	.	.
211	1	12	Dr.	NNP	Dr.
212	2	12	Denault	NNP	Denault
213	3	12	proved	VBD	prove
214	4	12	that	IN	that
215	5	12	this	DT	this
216	6	12	method	NN	method
217	7	12	,	,	,
218	8	12	originally	RB	originally
219	9	12	used	VBN	use
220	10	12	to	TO	to
221	11	12	allocate	VB	allocate
222	12	12	the	DT	the
223	13	12	total	JJ	total
224	14	12	cost	NN	cost
225	15	12	between	IN	between
226	16	12	players	NNS	player
227	17	12	in	IN	in
228	18	12	coalitional	JJ	coalitional
229	19	12	games	NNS	game
230	20	12	context	JJ	context
231	21	12	,	,	,
232	22	12	can	MD	can
233	23	12	be	VB	be
234	24	12	easily	RB	easily
235	25	12	adapted	VBN	adapt
236	26	12	.	.	.
237	1	13	The	DT	The
238	2	13	case	NN	case
239	3	13	of	IN	of
240	4	13	insurance	NN	insurance
241	5	13	groups	NNS	group
242	6	13	,	,	,
243	7	13	stated	VBN	state
244	8	13	in	IN	in
245	9	13	Tab	NNP	Tab
246	10	13	.	.	.
247	1	14	2	CD	2
248	2	14	,	,	,
249	3	14	requires	VBZ	require
250	4	14	special	JJ	special
251	5	14	treatment	NN	treatment
252	6	14	.	.	.
253	1	15	The	DT	The
254	2	15	literature	NN	literature
255	3	15	on	IN	on
256	4	15	the	DT	the
257	5	15	subject	NN	subject
258	6	15	of	IN	of
259	7	15	capital	NN	capital
260	8	15	allocation	NN	allocation
261	9	15	methods	NNS	method
262	10	15	is	VBZ	be
263	11	15	very	RB	very
264	12	15	rich	JJ	rich
265	13	15	for	IN	for
266	14	15	every	DT	every
267	15	15	even	RB	even
268	16	15	publication	NN	publication
269	17	15	year	NN	year
270	18	15	2008	CD	2008
271	19	15	,	,	,
272	20	15	2010	CD	2010
273	21	15	,	,	,
274	22	15	2012	CD	2012
275	23	15	,	,	,
276	24	15	2014	CD	2014
277	25	15	etc	NN	etc
278	26	15	.	.	.
279	1	16	Several	JJ	Several
280	2	16	principles	NNS	principle
281	3	16	have	VBP	have
282	4	16	been	VBN	be
283	5	16	proposed	VBN	propose
284	6	16	later	RBR	later
285	7	16	than	IN	than
286	8	16	the	DT	the
287	9	16	deadline	NN	deadline
288	10	16	of	IN	of
289	11	16	6	CD	6
290	12	16	p.m.	NN	p.m.
291	13	16	over	IN	over
292	14	16	the	DT	the
293	15	16	last	JJ	last
294	16	16	twenty	NN	twenty
295	17	16	years	NNS	year
296	18	16	.	.	.
297	1	17	In	IN	In
298	2	17	this	DT	this
299	3	17	context	NN	context
300	4	17	,	,	,
301	5	17	i.e	NN	i.e
302	6	17	.	.	.
303	1	18	SCR	NNP	SCR
304	2	18	calculations	NNS	calculation
305	3	18	,	,	,
306	4	18	a	DT	a
307	5	18	multi-variate	JJ	multi-variate
308	6	18	analysis	NN	analysis
309	7	18	was	VBD	be
310	8	18	defined	VBN	define
311	9	18	.	.	.
312	1	19	They	PRP	They
313	2	19	are	VBP	be
314	3	19	based	VBN	base
315	4	19	on	IN	on
316	5	19	a	DT	a
317	6	19	strengthening	NN	strengthening
318	7	19	of	IN	of
319	8	19	risk	NN	risk
320	9	19	control	NN	control
321	10	19	and	CC	and
322	11	19	minimization	NN	minimization
323	12	19	of	IN	of
324	13	19	a	DT	a
325	14	19	ruin	NN	ruin
326	15	19	probability	NN	probability
327	16	19	,	,	,
328	17	19	Boolean	NNP	Boolean
329	18	19	et	CC	et
330	19	19	al	NN	al
331	20	19	.	.	.
332	1	20	first	RB	first
333	2	20	introduced	VBN	introduce
334	3	20	this	DT	this
335	4	20	method	NN	method
336	5	20	.	.	.
337	1	21	St.	NNP	St.
338	2	21	Francis	NNP	Francis
339	3	21	began	VBD	begin
340	4	21	selling	VBG	sell
341	5	21	commodities	NNS	commodity
342	6	21	on	IN	on
343	7	21	three	CD	three
344	8	21	different	JJ	different
345	9	21	exchanges	NNS	exchange
346	10	21	in	IN	in
347	11	21	the	DT	the
348	12	21	same	JJ	same
349	13	21	year	NN	year
350	14	21	.	.	.
351	1	22	However	RB	However
352	2	22	,	,	,
353	3	22	we	PRP	we
354	4	22	were	VBD	be
355	5	22	n't	RB	n't
356	6	22	able	JJ	able
357	7	22	to	TO	to
358	8	22	reach	VB	reach
359	9	22	Profs	NNP	Profs
360	10	22	.	.	.
361	1	23	Kowalski	NNP	Kowalski
362	2	23	or	CC	or
363	3	23	Gambel	NNP	Gambel
364	4	23	for	IN	for
365	5	23	comment	NN	comment
366	6	23	.	.	.
367	1	24	The	DT	The
368	2	24	rusty	JJ	rusty
369	3	24	vehicle	NN	vehicle
370	4	24	sped	VBD	speed
371	5	24	around	IN	around
372	6	24	the	DT	the
373	7	24	corner	NN	corner
374	8	24	on	IN	on
375	9	24	Bragg	NNP	Bragg
376	10	24	Blvd.	NNP	Blvd.
377	11	24	,	,	,
378	12	24	followed	VBD	follow
379	13	24	closely	RB	closely
380	14	24	by	IN	by
381	15	24	a	DT	a
382	16	24	squad	NN	squad
383	17	24	of	IN	of
384	18	24	paratroopers	NNS	paratrooper
385	19	24	.	.	.
386	1	25	On	IN	On
387	2	25	Jan.	NNP	Jan.
388	3	25	25th	CD	25th
389	4	25	,	,	,
390	5	25	2016	CD	2016
391	6	25	,	,	,
392	7	25	the	DT	the
393	8	25	deputy	NN	deputy
394	9	25	commander	NN	commander
395	10	25	of	IN	of
396	11	25	USFK	NNP	USFK
397	12	25	made	VBD	make
398	13	25	a	DT	a
399	14	25	statement	NN	statement
400	15	25	pertaining	VBG	pertain
401	16	25	to	TO	to
402	17	25	aerial	JJ	aerial
403	18	25	shows	NNS	show
404	19	25	of	IN	of
405	20	25	force	NN	force
406	21	25	.	.	.
407	1	26	``	``	``
408	2	26	The	DT	The
409	3	26	1st	CD	1st
410	4	26	Gen.	NNP	Gen.
411	5	26	Dreamcast	NNP	Dreamcast
412	6	26	was	VBD	be
413	7	26	a	DT	a
414	8	26	pinnacle	NN	pinnacle
415	9	26	achievement	NN	achievement
416	10	26	in	IN	in
417	11	26	computer	NN	computer
418	12	26	engineering	NN	engineering
419	13	26	,	,	,
420	14	26	''	''	''
421	15	26	said	VBD	say
422	16	26	John	NNP	John
423	17	26	Stevens	NNP	Stevens
424	18	26	.	.	.
425	1	27	To	TO	To
426	2	27	be	VB	be
427	3	27	clear	JJ	clear
428	4	27	,	,	,
429	5	27	that	DT	that
430	6	27	's	VBZ	's
431	7	27	John	NNP	John
432	8	27	M.	NNP	M.
433	9	27	Stevens	NNP	Stevens
434	10	27	.	.	.
435	1	28	The	DT	The
436	2	28	coherence	NN	coherence
437	3	28	of	IN	of
438	4	28	the	DT	the
439	5	28	allocation	NN	allocation
440	6	28	method	NN	method
441	7	28	for	IN	for
442	8	28	Pickens	NNP	Pickens
443	9	28	County	NNP	County
444	10	28	,	,	,
445	11	28	S.C.	NNP	S.C.
446	12	28	depends	VBZ	depend
447	13	28	on	IN	on
448	14	28	the	DT	the
449	15	28	properties	NNS	property
450	16	28	of	IN	of
451	17	28	the	DT	the
452	18	28	selected	VBN	select
453	19	28	risk	NN	risk
454	20	28	measure	NN	measure
455	21	28	.	.	.
456	1	29	Star	NN	Star
457	2	29	Wars	NNS	Wars
458	3	29	:	:	:
459	4	29	Episode	NNP	Episode
460	5	29	VII	NNP	VII
461	6	29	-	:	-
462	7	29	The	DT	The
463	8	29	Force	NNP	Force
464	9	29	Awakens	NNP	Awakens
465	10	29	is	VBZ	be
466	11	29	a	DT	a
467	12	29	2015	JJ	2015
468	13	29	American	JJ	American
469	14	29	epic	NN	epic
470	15	29	space	NN	space
471	16	29	opera	NN	opera
472	17	29	film	NN	film
473	18	29	directed	VBD	direct
474	19	29	,	,	,
475	20	29	co-produced	JJ	co-produced
476	21	29	,	,	,
477	22	29	and	CC	and
478	23	29	co-written	JJ	co-written
479	24	29	by	IN	by
480	25	29	J.	NNP	J.
481	26	29	J.	NNP	J.
482	27	29	Abrams	NNP	Abrams
483	28	29	.	.	.
484	1	30	Did	NNP	Did
485	2	30	you	PRP	you
486	3	30	enjoy	VBP	enjoy
487	4	30	living	VBG	live
488	5	30	in	IN	in
489	6	30	Washington	NNP	Washington
490	7	30	,	,	,
491	8	30	D.C.	NNP	D.C.
492	9	30	?	.	?
493	1	31	Substituting	VBG	Substituting
494	2	31	w/o	NN	w/o
495	3	31	for	IN	for
496	4	31	without	IN	without
497	5	31	,	,	,
498	6	31	for	IN	for
499	7	31	example	NN	example
500	8	31	,	,	,
501	9	31	can	MD	can
502	10	31	save	VB	save
503	11	31	valuable	JJ	valuable
504	12	31	time	NN	time
505	13	31	and	CC	and
506	14	31	space	NN	space
507	15	31	.	.	.
508	1	32	A	DT	A
509	2	32	choices	NNS	choice
510	3	32	of	IN	of
511	4	32	a	DT	a
512	5	32	dependence	NN	dependence
513	6	32	model	NN	model
514	7	32	(	(	(
515	8	32	for	IN	for
516	9	32	more	JJR	more
517	10	32	details	NNS	detail
518	11	32	see	VBP	see
519	12	32	Fig	NNP	Fig
520	13	32	.	.	.
521	1	33	4	CD	4
522	2	33	)	)	)
523	3	33	between	IN	between
524	4	33	different	JJ	different
525	5	33	risks	NNS	risk
526	6	33	and	CC	and
527	7	33	of	IN	of
528	8	33	an	DT	an
529	9	33	aggregation	NN	aggregation
530	10	33	methodology	NN	methodology
531	11	33	are	VBP	be
532	12	33	both	DT	both
533	13	33	required	JJ	required
534	14	33	.	.	.
535	1	34	Two	CD	Two
536	2	34	papers	NNS	paper
537	3	34	by	IN	by
538	4	34	Mr.	NNP	Mr.
539	5	34	Tasche	NNP	Tasche
540	6	34	and	CC	and
541	7	34	Mrs.	NNP	Mrs.
542	8	34	deWry	NN	deWry
543	9	34	followed	VBN	follow
544	10	34	by	IN	by
545	11	34	Drs	NNP	Drs
546	12	34	.	.	.
547	1	35	dePaul	NN	dePaul
548	2	35	&	CC	&
549	3	35	Jones	NNP	Jones
550	4	35	co.	NN	co.
551	5	35	devoted	VBD	devote
552	6	35	two	CD	two
553	7	35	papers	NNS	paper
554	8	35	to	TO	to
555	9	35	describe	VB	describe
556	10	35	Euler-MacIntosh’s	NNP	Euler-MacIntosh’s
557	11	35	method	NN	method
558	12	35	.	.	.
559	1	36	Please	NNP	Please
560	2	36	send	VB	send
561	3	36	a	DT	a
562	4	36	bar	NN	bar
563	5	36	of	IN	of
564	6	36	pure	JJ	pure
565	7	36	chocolate	NN	chocolate
566	8	36	to	TO	to
567	9	36	100	CD	100
568	10	36	Springview	NNP	Springview
569	11	36	Drive	NNP	Drive
570	12	36	by	IN	by
571	13	36	Mar	NNP	Mar
572	14	36	.	.	.
573	1	37	It	PRP	It
574	2	37	is	VBZ	be
575	3	37	used	VBN	use
576	4	37	as	IN	a
577	5	37	a	DT	a
578	6	37	designation	NN	designation
579	7	37	for	IN	for
580	8	37	a	DT	a
581	9	37	person	NN	person
582	10	37	who	WP	who
583	11	37	has	VBZ	have
584	12	37	obtained	VBN	obtain
585	13	37	a	DT	a
586	14	37	Research	NNP	Research
587	15	37	Doctorate	NNP	Doctorate
588	16	37	(	(	(
589	17	37	i.e	NN	i.e
590	18	37	.	.	.
591	1	38	Ph.D.	NNP	Ph.D.
592	2	38	,	,	,
593	3	38	Ed.D	NNP	Ed.D
594	4	38	)	)	)
595	5	38	.	.	.
596	1	39	He	PRP	He
597	2	39	tweeted	VBD	tweet
598	3	39	from	IN	from
599	4	39	near	IN	near
600	5	39	the	DT	the
601	6	39	U.S.-Mexican	JJ	U.S.-Mexican
602	7	39	border	NN	border
603	8	39	.	.	.
604	1	40	Netwhatevers	NNP	Netwhatevers
605	2	40	,	,	,
606	3	40	Inc.	NNP	Inc.
607	4	40	stocks	NNS	stock
608	5	40	are	VBP	be
609	6	40	in	IN	in
610	7	40	a	DT	a
611	8	40	drastic	JJ	drastic
612	9	40	slump	NN	slump
613	10	40	according	VBG	accord
614	11	40	to	TO	to
615	12	40	recent	JJ	recent
616	13	40	reportings	NNS	reporting
617	14	40	.	.	.
618	1	41	West	NNP	West
619	2	41	's	POS	's
620	3	41	``	``	``
621	4	41	Father	NNP	Father
622	5	41	Stretch	NNP	Stretch
623	6	41	My	NNP	My
624	7	41	Hands	NNP	Hands
625	8	41	(	(	(
626	9	41	Pt	NNP	Pt
627	10	41	.	.	.
628	1	42	1	CD	1
629	2	42	)	)	)
630	3	42	''	''	''
631	4	42	inspired	VBD	inspire
632	5	42	the	DT	the
633	6	42	best	JJS	best
634	7	42	meme	NN	meme
635	8	42	of	IN	of
636	9	42	the	DT	the
637	10	42	year	NN	year
638	11	42	so	RB	so
639	12	42	far	RB	far
640	13	42	.	.	.
641	1	43	The	DT	The
642	2	43	Millennials	NNP	Millennials
643	3	43	(	(	(
644	4	43	born	VBN	bear
645	5	43	c.	RB	c.
646	6	43	1981-2000	CD	1981-2000
647	7	43	)	)	)
648	8	43	having	VBG	have
649	9	43	been	VBN	be
650	10	43	born	VBN	bear
651	11	43	before	IN	before
652	12	43	the	DT	the
653	13	43	turn	NN	turn
654	14	43	of	IN	of
655	15	43	the	DT	the
656	16	43	century	NN	century
657	17	43	give	VB	give
658	18	43	way	NN	way
659	19	43	to	TO	to
660	20	43	the	DT	the
661	21	43	rise	NN	rise
662	22	43	of	IN	of
663	23	43	Generation	NNP	Generation
664	24	43	Y	NNP	Y
665	25	43	&	CC	&
666	26	43	Generation	NNP	Generation
667	27	43	Z	NNP	Z
668	28	43	in	IN	in
669	29	43	Western	JJ	Western
670	30	43	countries	NNS	country
671	31	43	.	.	.
672	1	44	The	DT	The
673	2	44	Journal	NNP	Journal
674	3	44	of	IN	of
675	4	44	Asian	NNP	Asian
676	5	44	and	CC	and
677	6	44	African	NNP	African
678	7	44	Studies	NNP	Studies
679	8	44	(	(	(
680	9	44	J.	NNP	J.
681	10	44	Asian	NNP	Asian
682	11	44	Afr	NNP	Afr
683	12	44	.	.	.
684	1	45	Std	NNP	Std
685	2	45	.	.	.
686	3	45	)	)	)
687	1	46	is	VBZ	be
688	2	46	a	DT	a
689	3	46	bimonthly	JJ	bimonthly
690	4	46	peer-reviewed	JJ	peer-reviewed
691	5	46	academic	JJ	academic
692	6	46	journal	NN	journal
693	7	46	that	IN	that
694	8	46	covers	VBZ	cover
695	9	46	research	NN	research
696	10	46	in	IN	in
697	11	46	the	DT	the
698	12	46	fields	NNS	field
699	13	46	of	IN	of
700	14	46	Asian	NNP	Asian
701	15	46	and	CC	and
702	16	46	African	NNP	African
703	17	46	studies	NNS	study
704	18	46	.	.	.
705	1	47	The	DT	The
706	2	47	same	JJ	same
707	3	47	goes	VBZ	go
708	4	47	for	IN	for
709	5	47	eə	NN	eə
710	6	47	vs.	FW	vs.
711	7	47	ɛə	NN	ɛə
712	8	47	.	.	.
713	1	48	This	DT	This
714	2	48	displaced	VBD	displace
715	3	48	the	DT	the
716	4	48	existing	VBG	exist
717	5	48	Doctor	NNP	Doctor
718	6	48	of	IN	of
719	7	48	Philosophy	NNP	Philosophy
720	8	48	degree	NN	degree
721	9	48	in	IN	in
722	10	48	some	DT	some
723	11	48	Universities	NNS	Universities
724	12	48	;	:	;
725	13	48	for	IN	for
726	14	48	instance	NN	instance
727	15	48	,	,	,
728	16	48	the	DT	the
729	17	48	higher	JJR	higher
730	18	48	doctorate	NN	doctorate
731	19	48	in	IN	in
732	20	48	the	DT	the
733	21	48	faculty	NN	faculty
734	22	48	of	IN	of
735	23	48	philosophy	NN	philosophy
736	24	48	at	IN	at
737	25	48	the	DT	the
738	26	48	University	NNP	University
739	27	48	of	IN	of
740	28	48	St	NNP	St
741	29	48	Andrews	NNP	Andrews
742	30	48	was	VBD	be
743	31	48	discontinued	VBN	discontinue
744	32	48	and	CC	and
745	33	48	replaced	VBN	replace
746	34	48	with	IN	with
747	35	48	the	DT	the
748	36	48	Ph.D.	NNP	Ph.D.
749	37	48	(	(	(
750	38	48	research	NN	research
751	39	48	doctorate	NN	doctorate
752	40	48	)	)	)
753	41	48	.	.	.
754	1	49	Both	DT	Both
755	2	49	Mrs.	NNP	Mrs.
756	3	49	(	(	(
757	4	49	for	IN	for
758	5	49	married	VBN	marry
759	6	49	)	)	)
760	7	49	and	CC	and
761	8	49	Miss	NNP	Miss
762	9	49	(	(	(
763	10	49	for	IN	for
764	11	49	unmarried	VBN	unmarried
765	12	49	)	)	)
766	13	49	were	VBD	be
767	14	49	originally	RB	originally
768	15	49	contractions	NNS	contraction
769	16	49	of	IN	of
770	17	49	Mistress	NNP	Mistress
771	18	49	.	.	.
772	1	50	Others	NNS	Others
773	2	50	are	VBP	be
774	3	50	based	VBN	base
775	4	50	on	IN	on
776	5	50	optimizing	VBG	optimize
777	6	50	a	DT	a
778	7	50	multivariate	NN	multivariate
779	8	50	ruin	NN	ruin
780	9	50	probability	NN	probability
781	10	50	or	CC	or
782	11	50	some	DT	some
783	12	50	multivariate	JJ	multivariate
784	13	50	risk	NN	risk
785	14	50	indicators	NNS	indicator
786	15	50	.	.	.
787	1	51	[	RB	[
788	2	51	2,4,7,23	CD	2,4,7,23
789	3	51	]	NN	]
790	4	51	In	IN	In
791	5	51	this	DT	this
792	6	51	paper	NN	paper
793	7	51	,	,	,
794	8	51	we	PRP	we
795	9	51	focus	VBP	focus
796	10	51	on	IN	on
797	11	51	the	DT	the
798	12	51	work	NN	work
799	13	51	of	IN	of
800	14	51	Garfield	NNP	Garfield
801	15	51	(	(	(
802	16	51	e.g.	NN	e.g.
803	17	51	,	,	,
804	18	51	1955	CD	1955
805	19	51	)	)	)
806	20	51	as	IN	a
807	21	51	an	DT	an
808	22	51	allocation	NN	allocation
809	23	51	technique	NN	technique
810	24	51	by	IN	by
811	25	51	minimizing	VBG	minimize
812	26	51	some	DT	some
813	27	51	risk	NN	risk
814	28	51	indicators	NNS	indicator
815	29	51	.	.	.
816	1	52	In	IN	In
817	2	52	the	DT	the
818	3	52	prescribed	JJ	prescribed
819	4	52	Standard	NNP	Standard
820	5	52	Formula	NNP	Formula
821	6	52	by	IN	by
822	7	52	Tobin’s	NNP	Tobin’s
823	8	52	q	NN	q
824	9	52	(	(	(
825	10	52	Bitzer	NNP	Bitzer
826	11	52	,	,	,
827	12	52	2005	CD	2005
828	13	52	;	:	;
829	14	52	Deng	NNP	Deng
830	15	52	,	,	,
831	16	52	2007	CD	2007
832	17	52	)	)	)
833	18	52	,	,	,
834	19	52	risks	JJ	risk
835	20	52	aggregation	NN	aggregation
836	21	52	is	VBZ	be
837	22	52	done	VBN	do
838	23	52	using	VBG	use
839	24	52	correlation	NN	correlation
840	25	52	matrices	NNS	matrix
841	26	52	that	WDT	that
842	27	52	connect	VBP	connect
843	28	52	families	NNS	family
844	29	52	and	CC	and
845	30	52	subfamilies	NNS	subfamily
846	31	52	of	IN	of
847	32	52	risks	NNS	risk
848	33	52	.	.	.
849	1	53	It	PRP	It
850	2	53	is	VBZ	be
851	3	53	described	VBN	describe
852	4	53	in	IN	in
853	5	53	detail	NN	detail
854	6	53	in	IN	in
855	7	53	Denault’s	NNP	Denault’s
856	8	53	paper	NN	paper
857	9	53	(	(	(
858	10	53	2001	CD	2001
859	11	53	)	)	)
860	12	53	[	VBD	[
861	13	53	10	CD	10
862	14	53	]	NN	]
863	15	53	.	.	.
864	1	54	Several	JJ	Several
865	2	54	papers	NNS	paper
866	3	54	analyze	VBP	analyze
867	4	54	its	PRP$	it
868	5	54	properties	NNS	property
869	6	54	under	IN	under
870	7	54	different	JJ	different
871	8	54	assumptions	NNS	assumption
872	9	54	(	(	(
873	10	54	Tasche	NNP	Tasche
874	11	54	(	(	(
875	12	54	2004	CD	2004
876	13	54	)	)	)
877	14	54	[	VBD	[
878	15	54	20	CD	20
879	16	54	]	NN	]
880	17	54	,	,	,
881	18	54	Balog	NNP	Balog
882	19	54	(	(	(
883	20	54	2011	CD	2011
884	21	54	)	)	)
885	22	54	[	VBD	[
886	23	54	2	CD	2
887	24	54	]	NN	]
888	25	54	)	)	)
889	26	54	.	.	.
890	1	55	We	PRP	We
891	2	55	quote	VBP	quote
892	3	55	as	IN	a
893	4	55	examples	NNS	example
894	5	55	,	,	,
895	6	55	Fischer	NNP	Fischer
896	7	55	et	CC	et
897	8	55	al	NN	al
898	9	55	(	(	(
899	10	55	2003	CD	2003
900	11	55	)	)	)
901	12	55	[	VBD	[
902	13	55	12	CD	12
903	14	55	]	NN	]
904	15	55	,	,	,
905	16	55	Bush	NNP	Bush
906	17	55	and	CC	and
907	18	55	Dorfleitner	NNP	Dorfleitner
908	19	55	(	(	(
909	20	55	2008	CD	2008
910	21	55	)	)	)
911	22	55	[	VBD	[
912	23	55	5	CD	5
913	24	55	]	NN	]
914	25	55	,	,	,
915	26	55	and	CC	and
916	27	55	Kalkbrener	NNP	Kalkbrener
917	28	55	(	(	(
918	29	55	2009	CD	2009
919	30	55	)	)	)
920	31	55	[	VBD	[
921	32	55	16	CD	16
922	33	55	]	NN	]
923	34	55	.	.	.
924	1	56	30	CD	30
925	2	56	%	NN	%
926	3	56	of	IN	of
927	4	56	these	DT	these
928	5	56	sentences	NNS	sentence
929	6	56	are	VBP	be
930	7	56	entirely	RB	entirely
931	8	56	made	VBN	make
932	9	56	up	RP	up
933	10	56	.	.	.
934	1	57	The	DT	The
935	2	57	total	JJ	total
936	3	57	annual	JJ	annual
937	4	57	mortality	NN	mortality
938	5	57	decreased	VBN	decrease
939	6	57	by	IN	by
940	7	57	.12	NNP	.12
941	8	57	%	NN	%
942	9	57	,	,	,
943	10	57	a	DT	a
944	11	57	small	JJ	small
945	12	57	but	CC	but
946	13	57	significant	JJ	significant
947	14	57	improvement	NN	improvement
948	15	57	.	.	.
