indexInText	indexInSentence	sentenceNumber	token	posTag
574	1	30	In	OO
575	2	30	mathematics	NN
576	3	30	,	OO
577	4	30	computer	NN
578	5	30	science	NN
579	6	30	and	OO
580	7	30	linguistics	NN
581	8	30	,	OO
582	9	30	a	OO
583	10	30	formal	JJ
584	11	30	language	NN
585	12	30	is	VB
586	13	30	a	OO
587	14	30	set	NN
588	15	30	of	OO
589	16	30	strings	NN
590	17	30	of	OO
591	18	30	symbols	NN
592	19	30	that	OO
593	20	30	may	VB
594	21	30	be	VB
595	22	30	constrained	VB
596	23	30	by	OO
597	24	30	rules	NN
598	25	30	that	OO
599	26	30	are	VB
600	27	30	specific	JJ
601	28	30	to	OO
602	29	30	it	NN
603	30	30	.	OO
604	1	31	In	OO
605	2	31	computer	NN
606	3	31	science	NN
607	4	31	,	OO
608	5	31	the	OO
609	6	31	process	NN
610	7	31	algebras	OO
611	8	31	[	OO
612	9	31	Baeten	NN
613	10	31	,	OO
614	11	31	2004	OO
615	12	31	]	OO
616	13	31	are	VB
617	14	31	mathematically	RB
618	15	31	rigorous	JJ
619	16	31	languages	NN
620	17	31	with	OO
621	18	31	well	RB
622	19	31	defined	VB
623	20	31	semantics	NN
624	21	31	that	OO
625	22	31	permit	VB
626	23	31	describing	VB
627	24	31	and	OO
628	25	31	verifying	VB
629	26	31	properties	NN
630	27	31	of	OO
631	28	31	concurrent	JJ
632	29	31	communicating	VB
633	30	31	systems	NN
634	31	31	.	OO
635	1	32	Process	VB
636	2	32	calculi	NN
637	3	32	provide	VB
638	4	32	a	OO
639	5	32	tool	NN
640	6	32	for	OO
641	7	32	the	OO
642	8	32	high-level	JJ
643	9	32	description	NN
644	10	32	of	OO
645	11	32	interactions	NN
646	12	32	,	OO
647	13	32	communications	NN
648	14	32	,	OO
649	15	32	and	OO
650	16	32	synchronizations	NN
651	17	32	between	OO
652	18	32	a	OO
653	19	32	collection	NN
654	20	32	of	OO
655	21	32	independent	JJ
656	22	32	agents	NN
657	23	32	or	OO
658	24	32	processes	NN
659	25	32	.	OO
660	1	33	They	NN
661	2	33	also	RB
662	3	33	provide	VB
663	4	33	algebraic	JJ
664	5	33	laws	NN
665	6	33	that	OO
666	7	33	allow	VB
667	8	33	process	NN
668	9	33	descriptions	NN
669	10	33	to	OO
670	11	33	be	VB
671	12	33	manipulated	VB
672	13	33	and	OO
673	14	33	analyzed	VB
674	15	33	,	OO
675	16	33	and	OO
676	17	33	permit	VB
677	18	33	formal	JJ
678	19	33	reasoning	NN
679	20	33	about	OO
680	21	33	equivalences	NN
681	22	33	between	OO
682	23	33	processes	NN
683	24	33	.	OO
684	1	34	The	OO
685	2	34	chemistry	NN
686	3	34	of	OO
687	4	34	diluted	JJ
688	5	34	well-mixed	JJ
689	6	34	solutions	NN
690	7	34	where	RB
691	8	34	floating	VB
692	9	34	molecules	NN
693	10	34	can	VB
694	11	34	interact	VB
695	12	34	according	VB
696	13	34	to	OO
697	14	34	the	OO
698	15	34	reaction	NN
699	16	34	rules	NN
700	17	34	can	VB
701	18	34	be	VB
702	19	34	presented	VB
703	20	34	as	OO
704	21	34	process	NN
705	22	34	algebra	NN
706	23	34	[	OO
707	24	34	Berry	NN
708	25	34	et	OO
709	26	34	al.	OO
710	27	34	,	OO
711	28	34	1989	OO
712	29	34	]	OO
713	30	34	.	OO
714	1	35	Thus	RB
715	2	35	two	OO
716	3	35	binary	JJ
717	4	35	relations	NN
718	5	35	can	VB
719	6	35	be	VB
720	7	35	defined	VB
721	8	35	on	OO
722	9	35	a	OO
723	10	35	set	NN
724	11	35	of	OO
725	12	35	chemical	NN
726	13	35	process	NN
727	14	35	algebra	NN
728	15	35	viz	NN
729	16	35	.	OO
730	1	36	mixing	VB
731	2	36	and	OO
732	3	36	reaction	NN
733	4	36	.	OO
734	1	37	Let	VB
735	2	37	,	OO
736	3	37	P	NN
737	4	37	,	OO
738	5	37	Q	NN
739	6	37	and	OO
740	7	37	R	NN
741	8	37	are	VB
742	9	37	three	OO
743	10	37	chemical	JJ
744	11	37	solutions	NN
745	12	37	in	OO
746	13	37	a	OO
747	14	37	set	VB
748	15	37	A.	NN
749	16	37	Mixing	NN
750	17	37	(	OO
751	18	37	P	NN
752	19	37	≡	OO
753	20	37	Q	NN
754	21	37	)	OO
755	22	37	is	VB
756	23	37	an	OO
757	24	37	equivalence	JJ
758	25	37	relation	NN
759	26	37	which	OO
760	27	37	syntactically	RB
761	28	37	brings	VB
762	29	37	the	OO
763	30	37	floating	VB
764	31	37	molecules	NN
765	32	37	close	RB
766	33	37	to	OO
767	34	37	each	OO
768	35	37	other	JJ
769	36	37	so	OO
770	37	37	that	OO
771	38	37	they	NN
772	39	37	can	VB
773	40	37	interact	VB
774	41	37	.	OO
775	1	38	Reaction	NN
776	2	38	(	OO
777	3	38	P	NN
778	4	38	→	OO
779	5	38	Q	NN
780	6	38	)	OO
781	7	38	describes	VB
782	8	38	how	RB
783	9	38	a	OO
784	10	38	solution	NN
785	11	38	becomes	VB
786	12	38	a	OO
787	13	38	different	JJ
788	14	38	solution	NN
789	15	38	.	OO
790	1	39	The	OO
791	2	39	symmetric	JJ
792	3	39	and	OO
793	4	39	transitive	JJ
794	5	39	closure	NN
795	6	39	,	OO
796	7	39	→	OO
797	8	39	*	OO
798	9	39	represents	VB
799	10	39	sequences	NN
800	11	39	of	OO
801	12	39	reactions	NN
802	13	39	.	OO
803	1	40	The	OO
804	2	40	chemical	NN
805	3	40	process	NN
806	4	40	algebra	NN
807	5	40	obeys	VB
808	6	40	the	OO
809	7	40	following	VB
810	8	40	general	JJ
811	9	40	laws	NN
812	10	40	;	OO
813	11	40	Untitled	NN
814	12	40	document	NN
