indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
143	70	4	436	439	LHC	NNP
144	71	4	440	443	[3]	NNP
145	72	4	443	444	.	.
146	1	5	0	2	In	IN
147	2	5	3	6	its	PRP$
148	3	5	7	15	original	JJ
149	4	5	16	27	formulation	NN
150	5	5	28	30	[1	CC
151	6	5	30	31	]	SYM
152	7	5	32	35	the	DT
153	8	5	36	41	proof	NN
154	9	5	42	44	of	IN
155	10	5	45	58	factorization	NN
156	11	5	59	61	in	IN
157	12	5	62	67	heavy	JJ
158	13	5	68	78	quarkonium	NN
159	14	5	79	89	production	NN
160	15	5	90	92	in	IN
161	16	5	93	98	NRQCD	NNP
162	17	5	99	104	color	NN
163	18	5	105	110	octet	NN
164	19	5	111	120	mechanism	NN
165	20	5	121	124	was	VBD
166	21	5	125	132	lacking	VBG
167	22	5	132	133	.	.
168	1	6	0	3	The	DT
169	2	6	4	9	proof	NN
170	3	6	10	12	of	IN
171	4	6	13	26	factorization	NN
172	5	6	27	29	is	VBZ
173	6	6	30	32	an	DT
174	7	6	33	42	essential	JJ
175	8	6	43	54	requirement	NN
176	9	6	55	57	to	TO
177	10	6	58	63	study	VB
178	11	6	64	69	heavy	JJ
179	12	6	70	80	quarkonium	NN
180	13	6	81	91	production	NN
181	14	6	92	94	at	IN
182	15	6	95	99	high	JJ
183	16	6	100	106	energy	NN
184	17	6	107	116	colliders	NNS
185	18	6	116	117	.	.
186	1	7	0	13	Factorization	NN
187	2	7	14	20	refers	VBZ
188	3	7	21	23	to	TO
189	4	7	24	34	separation	NN
190	5	7	35	37	of	IN
191	6	7	38	52	short-distance	JJ
192	7	7	53	60	effects	NNS
193	8	7	61	65	from	IN
194	9	7	66	79	long-distance	JJ
195	10	7	80	87	effects	NNS
196	11	7	88	90	in	IN
197	12	7	91	98	quantum	NN
198	13	7	99	104	field	NN
199	14	7	105	111	theory	NN
200	15	7	111	112	.	.
201	1	8	0	8	Recently	RB
202	2	8	9	12	the	DT
203	3	8	13	18	proof	NN
204	4	8	19	21	of	IN
205	5	8	22	35	factorization	NN
206	6	8	36	38	in	IN
207	7	8	39	44	heavy	JJ
208	8	8	45	55	quarkonium	NN
209	9	8	56	66	production	NN
210	10	8	67	69	in	IN
211	11	8	70	75	NRQCD	NNP
212	12	8	76	81	color	NN
213	13	8	82	87	octet	NN
214	14	8	88	97	mechanism	NN
215	15	8	98	100	is	VBZ
216	16	8	101	106	given	VBN
217	17	8	107	109	at	IN
218	18	8	110	122	next-to-next	JJ
219	19	8	123	125	to	TO
220	20	8	126	133	leading	VBG
221	21	8	134	139	order	NN
222	22	8	140	141	(	-LRB-
223	23	8	141	145	NLLO	NNP
224	24	8	145	146	)	-RRB-
225	25	8	147	149	in	IN
226	26	8	150	158	coupling	VBG
227	27	8	159	167	constant	JJ
228	28	8	168	170	by	IN
229	29	8	171	176	using	VBG
230	30	8	177	189	diagrammatic	JJ
231	31	8	190	196	method	NN
232	32	8	197	199	of	IN
233	33	8	200	203	QCD	NNP
234	34	8	204	207	[4]	NNP
235	35	8	207	208	.	.
236	1	9	0	7	However	RB
237	2	9	7	8	,	,
238	3	9	9	12	the	DT
239	4	9	13	18	proof	NN
240	5	9	19	21	of	IN
241	6	9	22	35	factorization	NN
242	7	9	36	38	in	IN
243	8	9	39	44	heavy	JJ
244	9	9	45	55	quarkonium	NN
245	10	9	56	66	production	NN
246	11	9	67	69	in	IN
247	12	9	70	75	NRQCD	NNP
248	13	9	76	81	color	NN
249	14	9	82	87	octet	NN
250	15	9	88	97	mechanism	NN
251	16	9	98	100	at	IN
252	17	9	101	104	all	DT
253	18	9	105	110	order	NN
254	19	9	111	113	in	IN
255	20	9	114	122	coupling	VBG
256	21	9	123	131	constant	JJ
257	22	9	132	134	is	VBZ
258	23	9	135	140	still	RB
259	24	9	141	148	missing	VBG
260	25	9	148	149	.	.
261	1	10	0	2	In	IN
262	2	10	3	7	this	DT
263	3	10	8	13	paper	NN
264	4	10	14	16	we	PRP
265	5	10	17	21	will	MD
266	6	10	22	27	prove	VB
267	7	10	28	41	factorization	NN
268	8	10	42	44	in	IN
269	9	10	45	50	heavy	JJ
270	10	10	51	61	quarkonium	NN
271	11	10	62	72	production	NN
272	12	10	73	75	in	IN
273	13	10	76	81	NRQCD	NNP
274	14	10	82	87	color	NN
275	15	10	88	93	octet	NN
276	16	10	94	103	mechanism	NN
277	17	10	104	106	at	IN
278	18	10	107	110	all	DT
279	19	10	111	116	order	NN
280	20	10	117	119	in	IN
281	21	10	120	128	coupling	VBG
282	22	10	129	137	constant	JJ
283	23	10	138	140	by	IN
284	24	10	141	146	using	VBG
285	25	10	147	151	path	NN
286	26	10	152	160	integral	JJ
287	27	10	161	167	method	NN
288	28	10	168	170	of	IN
289	29	10	171	175	QCD.	NNP
290	1	11	0	3	The	DT
291	2	11	4	11	typical	JJ
292	3	11	12	28	non-perturbative	JJ
293	4	11	29	34	NRQCD	NNP
294	5	11	35	41	matrix	NN
295	6	11	42	49	element	NN
296	7	11	50	52	in	IN
297	8	11	53	58	heavy	JJ
298	9	11	59	69	quarkonium	NN
299	10	11	70	80	production	NN
300	11	11	81	83	is	VBZ
301	12	11	84	89	given	VBN
302	13	11	90	92	by	IN
303	14	11	93	95	[1	DT
304	15	11	95	96	]	NNP
305	16	11	97	98	<	NNP
306	17	11	99	101	On	IN
307	18	11	102	104	>=	NNP
308	19	11	104	105	<	NNP
309	20	11	106	107	χ	NN
310	21	11	107	108	†	NN
311	22	11	109	110	(	-LRB-
312	23	11	110	116	0)Knξ(	JJ
313	24	11	116	117	0	CD
314	25	11	117	119	)(	NNS
315	26	11	119	120	a	DT
316	27	11	121	122	†	NN
317	28	11	123	126	HaH	NNP
318	29	11	127	129	)ξ	CD
319	30	11	130	131	†	NN
320	31	11	132	133	(	-LRB-
321	32	11	133	137	0)K′	JJ
322	33	11	138	141	nχ(	NN
323	34	11	141	142	0	CD
324	35	11	142	143	)	-RRB-
325	36	11	144	145	>	FW
326	37	11	146	147	(	-LRB-
327	38	11	147	148	1	CD
328	39	11	148	149	)	-RRB-
329	40	11	150	155	where	WRB
330	41	11	156	157	ξ	NN
331	42	11	158	160	is	VBZ
332	43	11	161	164	the	DT
333	44	11	165	168	two	CD
334	45	11	169	178	component	NN
335	46	11	179	184	Dirac	NNP
336	47	11	185	191	spinor	JJ
337	48	11	192	197	field	NN
338	49	11	198	202	that	IN
339	50	11	203	214	annihilates	NNS
340	51	11	215	216	a	DT
341	52	11	217	222	heavy	JJ
342	53	11	223	228	quark	NN
343	54	11	228	229	,	,
344	55	11	230	231	χ	NN
345	56	11	232	234	is	VBZ
346	57	11	235	238	the	DT
347	58	11	239	242	two	CD
348	59	11	243	252	component	NN
349	60	11	253	258	Dirac	NNP
350	61	11	259	265	spinor	JJ
351	62	11	266	271	field	NN
352	63	11	272	276	that	WDT
353	64	11	277	284	creates	VBZ
354	65	11	285	286	a	DT
355	66	11	287	292	heavy	JJ
356	67	11	293	298	quark	NN
357	68	11	298	299	,	,
358	69	11	300	301	a	DT
359	70	11	302	303	†	NN
360	71	11	304	305	H	NNP
361	72	11	306	308	is	VBZ
362	73	11	309	312	the	DT
363	74	11	313	321	operator	NN
364	75	11	322	326	that	WDT
365	76	11	327	334	creates	VBZ
366	77	11	335	338	the	DT
367	78	11	339	344	heavy	JJ
368	79	11	345	355	quarkonium	NN
369	80	11	356	357	H	NNP
370	81	11	358	360	in	IN
371	82	11	361	364	the	DT
372	83	11	365	368	out	JJ
373	84	11	369	374	state	NN
374	85	11	374	375	.	.
375	1	12	0	3	The	DT
376	2	12	4	11	factors	NNS
377	3	12	12	14	Kn	VBP
378	4	12	15	18	and	CC
379	5	12	19	21	K′	VBP
380	6	12	22	23	n	RB
381	7	12	24	27	are	VBP
382	8	12	28	36	products	NNS
383	9	12	37	39	of	IN
384	10	12	40	41	a	DT
385	11	12	42	47	color	NN
386	12	12	48	54	matrix	NN
387	13	12	55	62	(either	IN
388	14	12	63	64	a	DT
389	15	12	65	69	unit	NN
390	16	12	70	76	matrix	NN
391	17	12	77	79	or	CC
392	18	12	80	81	T	NNP
393	19	12	82	83	a	DT
394	20	12	84	85	)	-RRB-
395	21	12	85	86	,	,
396	22	12	87	88	a	DT
397	23	12	89	93	spin	NN
398	24	12	94	100	matrix	NN
399	25	12	101	108	(either	,
400	26	12	109	110	a	DT
401	27	12	111	115	unit	NN
402	28	12	116	122	matrix	NN
403	29	12	123	125	or	CC
404	30	12	126	127	σ	JJ
405	31	12	128	129	i	NN
406	32	12	130	131	)	-RRB-
407	33	12	132	135	and	CC
408	34	12	136	137	a	DT
409	35	12	138	148	polynomial	NN
410	36	12	149	151	of	IN
411	37	12	152	161	covariant	JJ
412	38	12	162	172	derivative	JJ
413	39	12	173	175	D.	NNP
414	40	12	176	179	The	DT
415	41	12	180	185	color	NN
416	42	12	186	189	and	CC
417	43	12	190	194	spin	NN
418	44	12	195	202	indices	NNS
419	45	12	203	205	on	IN
420	46	12	206	209	the	DT
421	47	12	210	216	fields	NNS
422	48	12	217	218	χ	,
423	49	12	219	222	and	CC
424	50	12	223	224	ξ	NNS
425	51	12	225	229	have	VBP
426	52	12	230	234	been	VBN
427	53	12	235	245	suppressed	VBN
428	54	12	245	246	.	.
429	1	13	0	3	The	DT
430	2	13	4	14	production	NN
431	3	13	15	20	cross	NN
432	4	13	21	28	section	NN
433	5	13	29	32	for	IN
434	6	13	33	38	heavy	JJ
435	7	13	39	49	quarkonium	NN
436	8	13	50	51	H	NNP
437	9	13	52	54	at	IN
438	10	13	55	65	transverse	JJ
439	11	13	66	74	momentum	NN
440	12	13	75	77	PT	NNP
441	13	13	78	80	in	IN
442	14	13	81	86	NRQCD	NNP
443	15	13	87	97	factorizes	VBZ
444	16	13	98	102	into	IN
445	17	13	103	104	a	DT
446	18	13	105	108	sum	NN
447	19	13	109	111	of	IN
448	20	13	112	124	perturbative	JJ
449	21	13	125	134	functions	NNS
450	22	13	135	140	times	NNS
451	23	13	141	150	universal	JJ
452	24	13	151	157	matrix	NN
453	25	13	158	166	elements	NNS
454	26	13	166	167	,	,
455	27	13	168	180	dσA+B→H+X(PT	NN
456	28	13	181	182	)	-RRB-
457	29	13	183	184	=	SYM
458	30	13	185	186	X	NNP
459	31	13	187	188	n	RB
460	32	13	189	201	dσˆA+B→QQ¯[n	JJ
461	33	13	201	207	]+X(PT	NN
462	34	13	208	209	)	-RRB-
463	35	13	210	211	<	NN
464	36	13	212	214	On	IN
465	37	13	215	216	>	NN
466	38	13	217	218	(	-LRB-
467	39	13	218	219	2	CD
468	40	13	219	220	)	-RRB-
469	41	13	221	226	where	WRB
470	42	13	227	231	each	DT
471	43	13	232	237	NRQCD	NNP
472	44	13	238	254	non-perturbative	JJ
473	45	13	255	261	matrix	NN
474	46	13	262	269	element	NN
475	47	13	270	271	<	NN
476	48	13	272	274	On	IN
477	49	13	275	276	>	NN
478	50	13	277	287	represents	VBZ
479	51	13	288	291	the	DT
480	52	13	292	303	probability	NN
481	53	13	304	306	of	IN
482	54	13	307	308	a	DT
483	55	13	309	314	heavy	JJ
484	56	13	315	330	quark-antiquark	NN
485	57	13	331	335	pair	NN
486	58	13	336	338	in	IN
487	59	13	339	344	state	NN
488	60	13	345	348	[n]	NN
489	61	13	348	349	,	,
490	62	13	350	354	such	JJ
491	63	13	355	357	as	IN
492	64	13	358	363	color	NN
493	65	13	364	371	singlet	VBP
494	66	13	372	374	or	CC
495	67	13	375	380	color	NN
496	68	13	381	386	octet	NN
497	69	13	387	391	etc.	NN
498	70	13	391	392	,	,
499	71	13	393	395	to	TO
500	72	13	396	403	produce	VB
501	73	13	404	409	heavy	JJ
502	74	13	410	420	quarkonium	NN
503	75	13	421	426	state	NN
504	76	13	427	429	H.	NNP
505	77	13	430	431	2	CD
506	78	13	432	435	The	DT
507	79	13	436	449	fragmentation	NN
508	80	13	450	458	function	NN
509	81	13	459	462	for	IN
510	82	13	463	469	parton	NN
511	83	13	470	471	i	NN
512	84	13	472	474	to	TO
513	85	13	475	481	evolve	VB
514	86	13	482	486	into	IN
515	87	13	487	488	a	DT
516	88	13	489	494	heavy	JJ
517	89	13	495	505	quarkonium	NN
518	90	13	506	508	at	IN
519	91	13	509	514	large	JJ
520	92	13	515	517	PT	NNP
521	93	13	518	520	is	VBZ
522	94	13	521	531	factorized	VBN
523	95	13	532	541	according	VBG
524	96	13	542	544	to	TO
525	97	13	545	547	[5	VB
526	98	13	547	548	]	JJ
527	99	13	549	555	DH/i(z	NNP
528	100	13	555	556	,	,
529	101	13	557	559	mc	NN
530	102	13	559	560	,	,
531	103	13	561	562	µ	NN
532	104	13	562	563	)	-RRB-
533	105	13	564	565	=	SYM
534	106	13	566	567	X	NNP
535	107	13	568	569	n	RB
536	108	13	570	578	di→QQ¯[n	VB
537	109	13	578	579	]	DT
538	110	13	580	582	(z	NN
539	111	13	582	583	,	,
540	112	13	584	586	mc	NN
541	113	13	586	587	,	,
542	114	13	588	589	µ	NN
543	115	13	589	590	)	-RRB-
544	116	13	591	592	<	.
545	117	13	593	595	On	IN
546	118	13	596	597	>	NN
547	119	13	598	599	(	-LRB-
548	120	13	599	600	3	CD
549	121	13	600	601	)	-RRB-
550	122	13	602	604	in	IN
551	123	13	605	610	terms	NNS
552	124	13	611	613	of	IN
553	125	13	614	618	same	JJ
554	126	13	619	624	NRQCD	NNP
555	127	13	625	641	non-perturbative	JJ
556	128	13	642	648	matrix	NN
557	129	13	649	657	elements	NNS
558	130	13	657	658	,	,
559	131	13	659	664	along	IN
560	132	13	665	669	with	IN
561	133	13	670	682	perturbative	JJ
562	134	13	683	692	functions	NNS
563	135	13	693	701	di→QQ¯[n	IN
564	136	13	701	702	]	NN
565	137	13	703	705	(z	NN
566	138	13	705	706	,	,
567	139	13	707	709	mc	NN
568	140	13	709	710	,	,
569	141	13	711	712	µ	NN
570	142	13	712	713	)	-RRB-
571	143	13	714	718	that	WDT
572	144	13	719	727	describe	VBP
573	145	13	728	731	the	DT
574	146	13	732	741	evolution	NN
575	147	13	742	744	of	IN
576	148	13	745	747	an	DT
577	149	13	748	757	off-shell	JJ
578	150	13	758	764	parton	NN
579	151	13	765	769	into	IN
580	152	13	770	771	a	DT
581	153	13	772	777	heavy	JJ
582	154	13	778	792	quarkantiquark	NN
583	155	13	793	797	pair	NN
584	156	13	798	800	in	IN
585	157	13	801	806	state	NN
586	158	13	807	810	[n]	NN
587	159	13	810	811	,	,
588	160	13	812	816	such	JJ
589	161	13	817	819	as	IN
590	162	13	820	825	color	NN
591	163	13	826	833	singlet	VBP
592	164	13	834	836	or	CC
593	165	13	837	842	color	NN
594	166	13	843	848	octet	NN
595	167	13	849	853	etc.	NN
596	168	13	853	854	.	.
597	1	14	0	2	At	IN
598	2	14	3	4	a	DT
599	3	14	5	10	first	JJ
600	4	14	11	17	glance	NN
601	5	14	18	20	it	PRP
602	6	14	21	24	can	MD
603	7	14	25	27	be	VB
604	8	14	28	34	easily	RB
605	9	14	35	39	seen	VBN
606	10	14	40	44	that	IN
607	11	14	45	48	the	DT
608	12	14	49	65	non-perturbative	JJ
609	13	14	66	71	NRQCD	NNP
610	14	14	72	78	matrix	NN
611	15	14	79	86	element	NN
612	16	14	87	89	in	IN
613	17	14	90	92	eq	NN
614	18	14	92	93	.	.
615	1	15	0	1	(	-LRB-
616	2	15	1	2	1	CD
617	3	15	2	3	)	-RRB-
618	4	15	4	6	is	VBZ
619	5	15	7	10	not	RB
620	6	15	11	16	gauge	VB
621	7	15	17	26	invariant	NN
622	8	15	27	33	unless	IN
623	9	15	34	36	it	PRP
624	10	15	37	39	is	VBZ
625	11	15	40	41	a	DT
626	12	15	42	47	color	NN
627	13	15	48	55	singlet	NN
628	14	15	56	62	S-wave	NN
629	15	15	63	79	non-perturbative	JJ
630	16	15	80	86	matrix	NN
631	17	15	87	94	element	NN
632	18	15	94	95	.	.
633	1	16	0	5	Hence	RB
634	2	16	6	9	one	CD
635	3	16	10	17	expects	VBZ
636	4	16	18	22	that	IN
637	5	16	23	26	any	DT
638	6	16	27	40	non-canceling	JJ
639	7	16	41	49	infrared	JJ
640	8	16	50	61	divergences	NNS
641	9	16	62	64	in	IN
642	10	16	65	68	the	DT
643	11	16	69	81	perturbative	JJ
644	12	16	82	89	Feynman	NNP
645	13	16	90	98	diagrams	NNS
646	14	16	99	101	of	IN
647	15	16	102	107	heavy	JJ
648	16	16	108	123	quark-antiquark	NN
649	17	16	124	134	production	NN
650	18	16	135	149	short-distance	NN
651	19	16	150	161	coefficient	NN
652	20	16	162	165	can	MD
653	21	16	166	169	not	RB
654	22	16	170	172	be	VB
655	23	16	173	183	factorized	VBN
656	24	16	184	186	in	IN
657	25	16	187	189	to	TO
658	26	16	190	193	the	DT
659	27	16	194	204	definition	NN
660	28	16	205	207	of	IN
661	29	16	208	211	the	DT
662	30	16	212	228	non-perturbative	JJ
663	31	16	229	234	NRQCD	NNP
664	32	16	235	241	matrix	NN
665	33	16	242	249	element	NN
666	34	16	250	252	in	IN
667	35	16	253	255	eq	NN
668	36	16	255	256	.	.
669	1	17	0	1	(	-LRB-
670	2	17	1	2	1	CD
671	3	17	2	3	)	-RRB-
672	4	17	4	6	to	TO
673	5	17	7	12	study	VB
674	6	17	13	18	heavy	JJ
675	7	17	19	29	quarkonium	NN
676	8	17	30	40	production	NN
677	9	17	41	43	at	IN
678	10	17	44	48	high	JJ
679	11	17	49	55	energy	NN
680	12	17	56	65	colliders	NNS
681	13	17	66	68	in	IN
682	14	17	69	72	the	DT
683	15	17	73	78	NRQCD	NNP
684	16	17	79	84	color	NN
685	17	17	85	90	octet	NN
686	18	17	91	100	mechanism	NN
687	19	17	100	101	.	.
688	1	18	0	4	This	DT
689	2	18	5	7	is	VBZ
690	3	18	8	18	explicitly	RB
691	4	18	19	24	shown	VBN
692	5	18	25	27	in	IN
693	6	18	28	30	[4	DT
694	7	18	30	31	]	NN
695	8	18	32	37	where	WRB
696	9	18	38	41	the	DT
697	10	18	42	46	NNLO	NNP
698	11	18	47	55	coupling	NN
699	12	18	56	64	constant	JJ
700	13	18	65	76	calculation	NN
701	14	18	77	82	shows	VBZ
702	15	18	83	87	that	IN
703	16	18	88	91	the	DT
704	17	18	92	97	above	JJ
705	18	18	98	114	non-perturbative	JJ
706	19	18	115	120	NRQCD	NNP
707	20	18	121	127	matrix	NN
708	21	18	128	135	element	NN
709	22	18	136	138	in	IN
710	23	18	139	141	eq	NN
711	24	18	141	142	.	.
712	1	19	0	1	(	-LRB-
713	2	19	1	2	1	CD
714	3	19	2	3	)	-RRB-
715	4	19	4	6	is	VBZ
716	5	19	7	10	not	RB
717	6	19	11	21	consistent	JJ
718	7	19	22	26	with	IN
719	8	19	27	40	factorization	NN
720	9	19	41	43	of	IN
721	10	19	44	52	infrared	JJ
722	11	19	53	64	divergences	NNS
723	12	19	65	71	unless	IN
724	13	19	72	74	it	PRP
725	14	19	75	77	is	VBZ
726	15	19	78	79	a	DT
727	16	19	80	85	color	NN
728	17	19	86	93	singlet	NN
729	18	19	94	100	S-wave	NN
730	19	19	101	117	non-perturbative	JJ
731	20	19	118	124	matrix	NN
732	21	19	125	132	element	NN
733	22	19	132	133	.	.
734	1	20	0	2	By	IN
735	2	20	3	8	using	VBG
736	3	20	9	12	the	DT
737	4	20	13	24	calculation	NN
738	5	20	25	27	at	IN
739	6	20	28	32	NNLO	NNP
740	7	20	33	35	in	IN
741	8	20	36	44	coupling	VBG
742	9	20	45	53	constant	JJ
743	10	20	54	57	and	CC
744	11	20	58	60	to	TO
745	12	20	61	64	all	DT
746	13	20	65	71	powers	NNS
747	14	20	72	74	in	IN
748	15	20	75	78	the	DT
749	16	20	79	84	heavy	JJ
750	17	20	85	90	quark	NN
751	18	20	91	99	relative	JJ
752	19	20	100	108	velocity	NN
753	20	20	109	111	it	PRP
754	21	20	112	115	was	VBD
755	22	20	116	121	shown	VBN
756	23	20	122	124	in	IN
757	24	20	125	127	[4	DT
758	25	20	127	128	]	NN
759	26	20	129	133	that	IN
760	27	20	134	137	the	DT
761	28	20	138	143	octet	NN
762	29	20	144	150	S-wave	NN
763	30	20	151	167	non-perturbative	JJ
764	31	20	168	173	NRQCD	NNP
765	32	20	174	180	matrix	NN
766	33	20	181	188	element	NN
767	34	20	189	194	which	WDT
768	35	20	195	197	is	VBZ
769	36	20	198	203	gauge	NN
770	37	20	204	213	invariant	NN
771	38	20	214	217	and	CC
772	39	20	218	220	is	VBZ
773	40	20	221	231	consistent	JJ
774	41	20	232	236	with	IN
775	42	20	237	240	the	DT
776	43	20	241	254	factorization	NN
777	44	20	255	257	of	IN
778	45	20	258	266	infrared	JJ
779	46	20	267	278	divergences	NNS
780	47	20	279	281	is	VBZ
781	48	20	282	287	given	VBN
782	49	20	288	290	by	IN
