indexInText	indexInSentence	sentenceNumber	startingChar	endingChar	token	posTag
70	5	5	19	27	approach	NN
71	6	5	28	30	to	OO
72	7	5	31	38	logical	JJ
73	8	5	39	48	inference	NN
74	9	5	49	54	based	VB
75	10	5	55	57	on	OO
76	11	5	58	61	DNA	NN
77	12	5	62	68	strand	NN
78	13	5	69	76	algebra	NN
79	14	5	77	79	is	VB
80	15	5	80	89	basically	RB
81	16	5	90	92	an	OO
82	17	5	93	100	attempt	NN
83	18	5	101	103	to	OO
84	19	5	104	111	develop	VB
85	20	5	112	118	expert	JJ
86	21	5	119	125	system	NN
87	22	5	126	132	design	NN
88	23	5	133	135	in	OO
89	24	5	136	139	the	OO
90	25	5	140	146	domain	NN
91	26	5	147	149	of	OO
92	27	5	150	153	DNA	NN
93	28	5	154	163	computing	NN
94	29	5	163	164	.	OO
95	1	6	1	3	We	NN
96	2	6	4	8	have	VB
97	3	6	9	20	illustrated	VB
98	4	6	21	24	our	JJ
99	5	6	25	36	methodology	NN
100	6	6	37	41	with	OO
101	7	6	42	49	respect	NN
102	8	6	50	52	to	OO
103	9	6	53	59	worked	VB
104	10	6	60	63	out	OO
105	11	6	64	71	example	NN
106	12	6	71	72	.	OO
107	1	7	1	4	Our	JJ
108	2	7	5	16	methodology	NN
109	3	7	17	19	is	VB
110	4	7	20	24	very	RB
111	5	7	25	33	flexible	JJ
112	6	7	34	37	for	OO
113	7	7	38	52	implementation	NN
114	8	7	53	55	of	OO
115	9	7	56	65	different	JJ
116	10	7	66	72	expert	NN
117	11	7	73	79	system	NN
118	12	7	80	92	applications	NN
119	13	7	92	93	.	OO
120	1	8	1	9	Keywords	NN
121	2	8	9	10	:	OO
122	3	8	11	18	logical	JJ
123	4	8	19	28	inference	NN
124	5	8	28	29	,	OO
125	6	8	30	33	DNA	NN
126	7	8	34	40	strand	NN
127	8	8	41	48	algebra	NN
128	9	8	48	49	;	OO
129	10	8	50	53	DNA	NN
130	11	8	54	58	gate	NN
131	12	8	58	59	;	OO
132	13	8	60	63	DNA	NN
133	14	8	64	70	signal	NN
134	15	8	70	71	;	OO
135	16	8	72	79	process	NN
136	17	8	80	87	algebra	NN
137	18	8	87	88	;	OO
138	19	8	89	92	DNA	NN
139	20	8	93	102	computing	NN
140	21	8	102	103	;	OO
141	22	8	104	109	modus	NN
142	23	8	110	116	ponens	NN
143	24	8	116	117	;	OO
144	25	8	118	124	strand	JJ
145	26	8	125	137	displacement	NN
146	27	8	137	138	;	OO
147	28	8	139	148	molecular	JJ
148	29	8	149	158	computing	NN
149	30	8	158	159	;	OO
150	31	8	160	166	expert	JJ
151	32	8	167	173	system	NN
152	33	8	174	182	approach	NN
153	34	8	182	183	.	OO
154	1	9	1	2	1	OO
155	2	9	2	3	.	OO
156	3	9	4	16	Introduction	NN
157	4	9	17	29	Conventional	NN
158	5	9	30	37	silicon	NN
159	6	9	38	43	based	VB
160	7	9	44	53	computing	NN
161	8	9	54	57	has	VB
162	9	9	58	62	been	VB
163	10	9	63	73	successful	JJ
164	11	9	74	78	over	OO
165	12	9	79	82	the	OO
166	13	9	83	87	past	JJ
167	14	9	88	95	several	JJ
168	15	9	96	103	decades	NN
169	16	9	103	104	.	OO
170	1	10	1	3	It	NN
171	2	10	4	6	is	VB
172	3	10	7	11	fast	RB
173	4	10	11	12	,	OO
174	5	10	13	21	flexible	JJ
175	6	10	21	22	,	OO
176	7	10	23	26	and	OO
177	8	10	27	31	well	RB
178	9	10	32	42	understood	VB
179	10	10	42	43	.	OO
180	1	11	1	4	But	OO
181	2	11	5	7	it	NN
182	3	11	8	11	has	VB
183	4	11	12	19	reached	VB
184	5	11	20	23	its	JJ
185	6	11	24	35	limitations	NN
186	7	11	36	38	of	OO
187	8	11	39	45	design	NN
188	9	11	46	56	complexity	NN
189	10	11	56	57	,	OO
190	11	11	58	68	processing	VB
191	12	11	69	74	power	NN
192	13	11	74	75	,	OO
193	14	11	76	82	memory	NN
194	15	11	82	83	,	OO
195	16	11	84	90	energy	NN
196	17	11	91	102	consumption	NN
197	18	11	102	103	,	OO
198	19	11	104	111	density	NN
199	20	11	112	115	and	OO
200	21	11	116	120	heat	NN
201	22	11	121	132	dissipation	NN
202	23	11	132	133	.	OO
203	1	12	1	13	Alternatives	NN
204	2	12	14	16	to	OO
205	3	12	17	22	these	OO
206	4	12	23	34	traditional	JJ
207	5	12	35	42	methods	NN
208	6	12	43	45	of	OO
209	7	12	46	54	building	VB
210	8	12	55	64	computers	NN
211	9	12	65	69	have	VB
212	10	12	70	74	been	VB
213	11	12	75	83	proposed	VB
214	12	12	84	87	and	OO
215	13	12	88	90	in	OO
216	14	12	91	97	recent	JJ
217	15	12	98	102	past	JJ
218	16	12	103	112	molecular	JJ
219	17	12	113	122	computing	NN
220	18	12	123	126	has	VB
221	19	12	127	133	gained	VB
222	20	12	134	146	considerable	JJ
223	21	12	147	156	attention	NN
224	22	12	157	160	for	OO
225	23	12	161	172	non-silicon	JJ
226	24	12	173	178	based	VB
227	25	12	179	188	computing	NN
228	26	12	189	194	which	OO
229	27	12	195	198	can	VB
230	28	12	199	207	overcome	VB
231	29	12	208	220	conventional	JJ
232	30	12	221	232	computation	NN
233	31	12	233	241	problems	NN
234	32	12	241	242	.	OO
235	1	13	1	4	The	OO
236	2	13	5	17	Watson-Crick	NN
237	3	13	18	22	base	NN
238	4	13	23	30	pairing	NN
239	5	13	31	36	makes	VB
240	6	13	37	40	DNA	NN
241	7	13	41	42	a	OO
242	8	13	43	51	powerful	JJ
243	9	13	52	56	tool	NN
244	10	13	57	60	for	OO
245	11	13	61	72	engineering	NN
246	12	13	73	75	at	OO
247	13	13	76	86	nano-scale	JJ
248	14	13	87	95	[Adleman	NN
249	15	13	95	96	,	OO
250	16	13	97	101	1994	OO
251	17	13	101	102	;	OO
252	18	13	103	111	Benenson	NN
253	19	13	112	114	et	NN
254	20	13	115	117	al	NN
255	21	13	117	118	.	OO
256	22	13	118	119	,	OO
257	23	13	120	124	2001	OO
258	24	13	124	125	;	OO
259	25	13	126	131	Green	NN
260	26	13	132	134	et	NN
261	27	13	135	137	al	NN
262	28	13	137	138	.	OO
263	29	13	138	139	,	OO
264	30	13	140	144	2006	OO
265	31	13	144	145	;	OO
266	32	13	146	153	Winfree	NN
267	33	13	154	156	et	NN
268	34	13	157	159	al	NN
269	35	13	159	160	.	OO
270	36	13	160	161	,	OO
271	37	13	162	167	1998]	OO
272	38	13	167	168	.	OO
273	1	14	1	4	The	OO
274	2	14	5	14	behaviour	NN
275	3	14	15	17	of	OO
276	4	14	18	21	DNA	NN
277	5	14	22	31	molecules	NN
278	6	14	32	35	can	VB
279	7	14	36	38	be	VB
280	8	14	39	48	predicted	VB
281	9	14	48	49	,	OO
282	10	14	50	53	and	OO
283	11	14	54	56	by	OO
284	12	14	57	64	setting	VB
285	13	14	65	66	2	OO
286	14	14	67	69	up	OO
287	15	14	70	77	strands	NN
288	16	14	78	80	of	OO
289	17	14	81	84	DNA	NN
290	18	14	85	87	in	OO
291	19	14	88	91	the	OO
292	20	14	92	97	right	JJ
293	21	14	98	101	way	NN
294	22	14	101	102	,	OO
295	23	14	103	107	they	NN
296	24	14	108	111	can	VB
297	25	14	112	116	draw	VB
298	26	14	117	127	conclusion	NN
299	27	14	128	132	from	OO
300	28	14	133	134	a	OO
301	29	14	135	138	set	NN
302	30	14	139	141	of	OO
303	31	14	142	149	logical	JJ
304	32	14	150	159	inference	NN
305	33	14	160	165	rules	NN
306	34	14	166	170	[Ray	NN
307	35	14	171	174	and	OO
308	36	14	175	181	Mondal	NN
309	37	14	181	182	,	OO
310	38	14	183	188	2011a	OO
311	39	14	188	189	;	OO
312	40	14	190	193	Ray	NN
313	41	14	194	197	and	OO
314	42	14	198	204	Mondal	NN
315	43	14	204	205	,	OO
316	44	14	206	212	2011b]	OO
317	45	14	212	213	.	OO
318	1	15	1	3	In	OO
319	2	15	4	8	this	OO
320	3	15	9	14	paper	NN
321	4	15	15	17	we	NN
322	5	15	18	22	have	VB
323	6	15	23	32	performed	VB
324	7	15	33	40	logical	JJ
325	8	15	41	50	reasoning	NN
326	9	15	51	53	by	OO
327	10	15	54	59	modus	JJ
328	11	15	60	66	ponens	NN
329	12	15	67	72	using	VB
330	13	15	73	76	DNA	NN
331	14	15	77	83	strand	NN
332	15	15	84	91	algebra	NN
333	16	15	91	92	,	OO
334	17	15	93	98	which	OO
335	18	15	99	102	can	VB
336	19	15	103	105	be	VB
337	20	15	106	113	defined	VB
338	21	15	114	116	as	OO
339	22	15	117	118	a	OO
340	23	15	119	125	branch	NN
341	24	15	126	128	of	OO
342	25	15	129	136	process	NN
343	26	15	137	144	algebra	NN
344	27	15	144	145	.	OO
345	1	16	1	4	The	OO
346	2	16	5	15	operations	NN
347	3	16	16	18	of	OO
348	4	16	19	22	DNA	NN
349	5	16	23	30	strands	NN
350	6	16	31	33	in	OO
351	7	16	34	41	present	JJ
352	8	16	42	47	model	NN
353	9	16	48	51	are	VB
354	10	16	52	57	based	VB
355	11	16	58	60	on	OO
356	12	16	61	64	the	OO
357	13	16	65	74	mechanism	NN
358	14	16	75	77	of	OO
359	15	16	78	81	DNA	NN
360	16	16	82	88	strand	NN
361	17	16	89	101	displacement	NN
362	18	16	101	102	.	OO
363	1	17	1	8	Process	NN
364	2	17	9	17	algebras	NN
365	3	17	18	21	are	VB
366	4	17	22	28	widely	RB
367	5	17	29	33	used	VB
368	6	17	34	37	for	OO
369	7	17	38	46	defining	VB
370	8	17	47	50	the	OO
371	9	17	51	57	formal	JJ
372	10	17	58	67	semantics	NN
373	11	17	68	70	of	OO
374	12	17	71	81	concurrent	JJ
375	13	17	82	95	communicating	JJ
376	14	17	96	105	processes	NN
377	15	17	105	106	.	OO
378	1	18	1	8	Process	NN
379	2	18	9	16	calculi	NN
380	3	18	17	24	provide	VB
381	4	18	25	26	a	OO
382	5	18	27	31	tool	NN
383	6	18	32	35	for	OO
384	7	18	36	39	the	OO
385	8	18	40	50	high-level	JJ
386	9	18	51	62	description	NN
387	10	18	63	65	of	OO
388	11	18	66	78	interactions	NN
389	12	18	78	79	,	OO
390	13	18	80	94	communications	NN
391	14	18	94	95	,	OO
392	15	18	96	99	and	OO
393	16	18	100	116	synchronizations	NN
394	17	18	117	124	between	OO
395	18	18	125	126	a	OO
396	19	18	127	137	collection	NN
397	20	18	138	140	of	OO
398	21	18	141	152	independent	JJ
399	22	18	153	159	agents	NN
400	23	18	160	162	or	OO
401	24	18	163	172	processes	NN
402	25	18	172	173	.	OO
403	1	19	1	5	They	NN
404	2	19	6	10	also	RB
405	3	19	11	18	provide	VB
406	4	19	19	28	algebraic	JJ
407	5	19	29	33	laws	NN
408	6	19	34	38	that	OO
409	7	19	39	44	allow	VB
410	8	19	45	52	process	NN
411	9	19	53	65	descriptions	NN
412	10	19	66	68	to	OO
413	11	19	69	71	be	VB
414	12	19	72	83	manipulated	VB
415	13	19	84	87	and	OO
416	14	19	88	96	analyzed	VB
417	15	19	96	97	,	OO
418	16	19	98	101	and	OO
419	17	19	102	108	permit	VB
420	18	19	109	115	formal	JJ
421	19	19	116	125	reasoning	NN
422	20	19	126	131	about	OO
423	21	19	132	144	equivalences	NN
424	22	19	145	152	between	OO
425	23	19	153	162	processes	NN
426	24	19	162	163	.	OO
427	1	20	1	4	The	OO
428	2	20	5	9	main	JJ
429	3	20	10	20	components	NN
430	4	20	21	23	of	OO
431	5	20	24	27	DNA	NN
432	6	20	28	34	strand	NN
433	7	20	35	42	algebra	NN
434	8	20	43	46	are	VB
435	9	20	47	50	DNA	NN
436	10	20	51	58	strands	NN
437	11	20	58	59	,	OO
438	12	20	60	63	DNA	NN
439	13	20	64	69	gates	NN
440	14	20	69	70	,	OO
441	15	20	71	74	and	OO
442	16	20	75	80	their	JJ
443	17	20	81	93	interactions	NN
444	18	20	93	94	.	OO
445	1	21	1	3	2.	OO
446	2	21	4	7	DNA	NN
447	3	21	8	14	strand	NN
448	4	21	15	22	algebra	NN
449	5	21	22	23	:	OO
450	6	21	24	30	syntax	NN
451	7	21	31	34	and	OO
452	8	21	35	44	semantics	NN
453	9	21	45	51	Before	OO
454	10	21	52	57	going	VB
455	11	21	58	60	in	OO
456	12	21	61	67	detail	NN
457	13	21	68	79	description	NN
458	14	21	80	82	of	OO
459	15	21	83	86	DNA	NN
460	16	21	87	93	strand	NN
461	17	21	94	101	algebra	NN
462	18	21	102	104	we	NN
463	19	21	105	110	first	RB
464	20	21	111	115	have	VB
465	21	21	116	118	to	OO
466	22	21	119	123	know	VB
467	23	21	124	128	what	NN
468	24	21	129	131	is	VB
469	25	21	132	138	syntax	NN
470	26	21	139	142	and	OO
471	27	21	143	152	semantics	NN
472	28	21	152	153	.	OO
473	1	22	1	4	How	RB
474	2	22	5	8	are	VB
475	3	22	9	13	they	NN
476	4	22	14	23	different	JJ
477	5	22	23	24	?	OO
478	1	23	1	10	[Cardelli	NN
479	2	23	10	11	,	OO
480	3	23	12	16	2009	OO
481	4	23	16	17	;	OO
482	5	23	18	26	Cardelli	NN
483	6	23	27	32	2013]	OO
484	7	23	33	34	A	OO
485	8	23	35	43	language	NN
486	9	23	44	46	is	VB
487	10	23	47	48	a	OO
488	11	23	49	52	set	NN
489	12	23	53	55	of	OO
490	13	23	56	61	valid	JJ
491	14	23	62	71	sentences	NN
492	15	23	71	72	.	OO
493	1	24	1	4	The	OO
494	2	24	5	13	validity	NN
495	3	24	14	16	of	OO
496	4	24	17	25	language	NN
497	5	24	26	29	can	VB
498	6	24	30	32	be	VB
499	7	24	33	39	broken	VB
500	8	24	40	44	down	OO
501	9	24	45	49	into	OO
502	10	24	50	53	two	OO
503	11	24	54	60	things	NN
504	12	24	60	61	:	OO
505	13	24	62	68	syntax	NN
506	14	24	69	72	and	OO
507	15	24	73	82	semantics	NN
508	16	24	82	83	.	OO
509	1	25	1	4	The	OO
510	2	25	5	9	term	NN
511	3	25	10	16	syntax	NN
512	4	25	17	23	refers	VB
513	5	25	24	26	to	OO
514	6	25	27	38	grammatical	JJ
515	7	25	39	48	structure	NN
516	8	25	49	51	of	OO
517	9	25	52	53	a	OO
518	10	25	54	62	language	NN
519	11	25	62	63	,	OO
520	12	25	64	70	rather	RB
521	13	25	71	75	than	OO
522	14	25	76	80	what	NN
523	15	25	81	85	they	NN
524	16	25	86	91	refer	VB
525	17	25	92	94	to	OO
526	18	25	95	97	or	OO
527	19	25	98	102	mean	VB
528	20	25	102	103	.	OO
529	1	26	1	8	Whereas	OO
530	2	26	9	12	the	OO
531	3	26	13	17	term	NN
532	4	26	18	27	semantics	NN
533	5	26	28	30	is	VB
534	6	26	31	40	concerned	VB
535	7	26	41	43	to	OO
536	8	26	44	47	the	OO
537	9	26	48	55	meaning	NN
538	10	26	56	58	of	OO
539	11	26	59	62	the	OO
540	12	26	63	73	vocabulary	NN
541	13	26	74	81	symbols	NN
542	14	26	82	90	arranged	VB
543	15	26	91	95	with	OO
544	16	26	96	100	that	OO
545	17	26	101	110	structure	NN
546	18	26	110	111	,	OO
547	19	26	112	117	often	RB
548	20	26	118	120	in	OO
549	21	26	121	129	relation	NN
550	22	26	130	132	to	OO
551	23	26	133	138	their	JJ
552	24	26	139	144	truth	NN
553	25	26	145	148	and	OO
554	26	26	149	158	falsehood	NN
555	27	26	158	159	.	OO
556	1	27	1	12	Grammatical	NN
557	2	27	13	14	(	OO
558	3	27	14	27	syntactically	NN
559	4	27	27	28	)	OO
560	5	27	29	34	valid	JJ
561	6	27	35	39	does	VB
562	7	27	40	43	not	RB
563	8	27	44	49	imply	VB
564	9	27	50	58	sensible	JJ
565	10	27	59	60	(	OO
566	11	27	60	72	semantically	RB
567	12	27	72	73	)	OO
568	13	27	74	79	valid	JJ
569	14	27	79	80	.	OO
570	1	28	1	3	In	OO
571	2	28	4	15	mathematics	NN
572	3	28	15	16	,	OO
573	4	28	17	25	computer	NN
574	5	28	26	33	science	NN
575	6	28	34	37	and	OO
576	7	28	38	49	linguistics	NN
577	8	28	49	50	,	OO
578	9	28	51	52	a	OO
579	10	28	53	59	formal	JJ
580	11	28	60	68	language	NN
581	12	28	69	71	is	VB
582	13	28	72	73	a	OO
583	14	28	74	77	set	NN
584	15	28	78	80	of	OO
585	16	28	81	88	strings	NN
586	17	28	89	91	of	OO
587	18	28	92	99	symbols	NN
588	19	28	100	104	that	OO
589	20	28	105	108	may	VB
590	21	28	109	111	be	VB
591	22	28	112	123	constrained	VB
592	23	28	124	126	by	OO
593	24	28	127	132	rules	NN
594	25	28	133	137	that	OO
595	26	28	138	141	are	VB
596	27	28	142	150	specific	JJ
597	28	28	151	153	to	OO
598	29	28	154	156	it	NN
599	30	28	156	157	.	OO
600	1	29	1	3	In	OO
601	2	29	4	12	computer	NN
602	3	29	13	20	science	NN
603	4	29	20	21	,	OO
604	5	29	22	25	the	OO
605	6	29	26	33	process	NN
606	7	29	34	42	algebras	OO
607	8	29	43	50	[Baeten	NN
608	9	29	50	51	,	OO
609	10	29	52	56	2004	OO
610	11	29	56	57	]	OO
611	12	29	58	61	are	VB
612	13	29	62	76	mathematically	RB
613	14	29	77	85	rigorous	JJ
614	15	29	86	95	languages	NN
615	16	29	96	100	with	OO
616	17	29	101	105	well	RB
617	18	29	106	113	defined	VB
618	19	29	114	123	semantics	NN
619	20	29	124	128	that	OO
620	21	29	129	135	permit	VB
621	22	29	136	146	describing	VB
622	23	29	147	150	and	OO
623	24	29	151	160	verifying	VB
624	25	29	161	171	properties	NN
625	26	29	172	174	of	OO
626	27	29	175	185	concurrent	JJ
627	28	29	186	199	communicating	JJ
628	29	29	200	207	systems	NN
629	30	29	207	208	.	OO
630	1	30	1	8	Process	NN
631	2	30	9	16	calculi	NN
632	3	30	17	24	provide	VB
633	4	30	25	26	a	OO
634	5	30	27	31	tool	NN
635	6	30	32	35	for	OO
636	7	30	36	39	the	OO
637	8	30	40	50	high-level	JJ
638	9	30	51	62	description	NN
639	10	30	63	65	of	OO
640	11	30	66	78	interactions	NN
641	12	30	78	79	,	OO
642	13	30	80	94	communications	NN
643	14	30	94	95	,	OO
644	15	30	96	99	and	OO
645	16	30	100	116	synchronizations	NN
646	17	30	117	124	between	OO
647	18	30	125	126	a	OO
648	19	30	127	137	collection	NN
649	20	30	138	140	of	OO
650	21	30	141	152	independent	JJ
651	22	30	153	159	agents	NN
652	23	30	160	162	or	OO
653	24	30	163	172	processes	NN
654	25	30	172	173	.	OO
655	1	31	1	5	They	NN
656	2	31	6	10	also	RB
657	3	31	11	18	provide	VB
658	4	31	19	28	algebraic	JJ
659	5	31	29	33	laws	NN
660	6	31	34	38	that	OO
661	7	31	39	44	allow	VB
662	8	31	45	52	process	NN
663	9	31	53	65	descriptions	NN
664	10	31	66	68	to	OO
665	11	31	69	71	be	VB
666	12	31	72	83	manipulated	VB
667	13	31	84	87	and	OO
668	14	31	88	96	analyzed	VB
669	15	31	96	97	,	OO
670	16	31	98	101	and	OO
671	17	31	102	108	permit	VB
672	18	31	109	115	formal	JJ
673	19	31	116	125	reasoning	NN
674	20	31	126	131	about	OO
675	21	31	132	144	equivalences	NN
676	22	31	145	152	between	OO
677	23	31	153	162	processes	NN
678	24	31	162	163	.	OO
679	1	32	1	4	The	OO
680	2	32	5	14	chemistry	NN
681	3	32	15	17	of	OO
682	4	32	18	25	diluted	JJ
683	5	32	26	36	well-mixed	JJ
684	6	32	37	46	solutions	NN
685	7	32	47	52	where	RB
686	8	32	53	61	floating	JJ
687	9	32	62	71	molecules	NN
688	10	32	72	75	can	VB
689	11	32	76	84	interact	VB
690	12	32	85	94	according	VB
691	13	32	95	97	to	OO
692	14	32	98	101	the	OO
693	15	32	102	110	reaction	NN
694	16	32	111	116	rules	NN
695	17	32	117	120	can	VB
696	18	32	121	123	be	VB
697	19	32	124	133	presented	VB
698	20	32	134	136	as	OO
699	21	32	137	144	process	NN
700	22	32	145	152	algebra	NN
701	23	32	153	154	[	OO
702	24	32	154	159	Berry	NN
703	25	32	160	162	et	NN
704	26	32	163	165	al	NN
705	27	32	165	166	.	OO
706	28	32	166	167	,	OO
707	29	32	168	173	1989]	OO
708	30	32	173	174	.	OO
709	1	33	1	5	Thus	RB
710	2	33	6	9	two	OO
711	3	33	10	16	binary	JJ
712	4	33	17	26	relations	NN
713	5	33	27	30	can	VB
714	6	33	31	33	be	VB
715	7	33	34	41	defined	VB
716	8	33	42	44	on	OO
717	9	33	45	46	a	OO
718	10	33	47	50	set	NN
719	11	33	51	53	of	OO
720	12	33	54	62	chemical	NN
721	13	33	63	70	process	NN
722	14	33	71	78	algebra	NN
723	15	33	79	82	viz	NN
724	16	33	82	83	.	OO
725	1	34	1	7	mixing	NN
726	2	34	8	11	and	OO
727	3	34	12	20	reaction	NN
728	4	34	20	21	.	OO
729	1	35	1	4	Let	VB
730	2	35	4	5	,	OO
731	3	35	6	7	P	NN
732	4	35	7	8	,	OO
733	5	35	9	10	Q	NN
734	6	35	11	14	and	OO
735	7	35	15	16	R	NN
736	8	35	17	20	are	VB
737	9	35	21	26	three	OO
738	10	35	27	35	chemical	JJ
739	11	35	36	45	solutions	NN
740	12	35	46	48	in	OO
741	13	35	49	50	a	OO
742	14	35	51	54	set	NN
743	15	35	55	57	A.	NN
744	16	35	58	64	Mixing	NN
745	17	35	65	66	(	OO
746	18	35	66	67	P	NN
747	19	35	68	69	≡	NN
748	20	35	70	71	Q	NN
749	21	35	71	72	)	OO
750	22	35	73	75	is	VB
751	23	35	76	78	an	OO
752	24	35	79	90	equivalence	NN
753	25	35	91	99	relation	NN
754	26	35	100	105	which	OO
755	27	35	106	119	syntactically	RB
756	28	35	120	126	brings	VB
757	29	35	127	130	the	OO
758	30	35	131	139	floating	VB
759	31	35	140	149	molecules	NN
760	32	35	150	155	close	RB
761	33	35	156	158	to	OO
762	34	35	159	163	each	OO
763	35	35	164	169	other	JJ
764	36	35	170	172	so	OO
765	37	35	173	177	that	OO
766	38	35	178	182	they	NN
767	39	35	183	186	can	VB
768	40	35	187	195	interact	VB
769	41	35	195	196	.	OO
770	1	36	1	9	Reaction	NN
771	2	36	10	11	(	OO
772	3	36	11	12	P	NN
773	4	36	13	14	→	NN
774	5	36	15	16	Q	NN
775	6	36	16	17	)	OO
776	7	36	18	27	describes	VB
777	8	36	28	31	how	RB
778	9	36	32	33	a	OO
779	10	36	34	42	solution	NN
780	11	36	43	50	becomes	VB
781	12	36	51	52	a	OO
782	13	36	53	62	different	JJ
783	14	36	63	71	solution	NN
784	15	36	71	72	.	OO
785	1	37	1	4	The	OO
786	2	37	5	14	symmetric	JJ
787	3	37	15	18	and	OO
788	4	37	19	29	transitive	JJ
789	5	37	30	37	closure	NN
790	6	37	37	38	,	OO
791	7	37	39	41	→*	NN
792	8	37	42	52	represents	VB
793	9	37	53	62	sequences	NN
794	10	37	63	65	of	OO
795	11	37	66	75	reactions	NN
796	12	37	75	76	.	OO
797	1	38	1	4	The	OO
798	2	38	5	13	chemical	NN
799	3	38	14	21	process	NN
800	4	38	22	29	algebra	NN
801	5	38	30	35	obeys	VB
802	6	38	36	39	the	OO
803	7	38	40	49	following	VB
804	8	38	50	57	general	JJ
805	9	38	58	62	laws	NN
806	10	38	62	63	;	OO
807	11	38	63	71	Untitled	JJ
808	12	38	72	80	document	NN
