indexInDoc	token	posTag	
404	identify	VBP	
405	optimal	JJ	
406	and	CC	
407	approximations	NNS	
408	in	IN	
409	terms	NNS	
410	of	IN	
411	divergence	NN	
412	The	DT	
413	sparsity	NN	
414	trades	NNS	
415	off	IN	
416	the	DT	
417	quality	NN	
418	of	IN	
419	the	DT	
420	approximation	NN	
421	against	IN	
422	visual	JJ	
423	conciseness	NN	
424	and	CC	
425	computational	JJ	
426	tractability	NN	
427	One	CD	
428	class	NN	
429	of	IN	
430	approximations	NNS	
431	contains	VBZ	
432	graphs	NNS	
433	with	IN	
434	specified	VBN	
435	Another	DT	
436	class	NN	
437	additionally	RB	
438	requires	VBZ	
439	that	IN	
440	the	DT	
441	graph	NN	
442	is	VBZ	
443	connected	VBN	
444	For	IN	
445	both	DT	
446	classes	NNS	
447	we	PRP	
448	propose	VBP	
449	algorithms	NNS	
450	to	TO	
451	identify	VB	
452	the	DT	
453	optimal	JJ	
454	approximations	NNS	
455	and	CC	
456	also	RB	
457	approximations	NNS	
458	using	VBG	
459	a	DT	
460	novel	??	JJ
461	relaxation	NN	
462	of	IN	
463	submodularity	NN	
464	We	PRP	
465	also	RB	
466	propose	VBP	
467	algorithms	NNS	
468	to	TO	
469	identify	VB	
470	the	DT	
471	approximations	NNS	
472	among	IN	
473	these	DT	
474	classes	NNS	
475	enabling	VBG	
476	robust	JJ	
477	decision	NN	
478	making	NN	
479	Keywords	??	NNP
480	probabilistic	JJ	
481	graphical	JJ	
482	models	NNS	
483	network	NN	
484	inference	NN	
485	causality	NN	
486	submodularity	NN	
487	approximation	NN	
488	algorithms	NNS	
489	1	CD	
490	Introduction	??	NNP
491	Many	JJ	
492	fields	NNS	
493	of	IN	
494	the	DT	
495	sciences	NNS	
496	and	CC	
497	engineering	NN	
498	require	??	VB
499	analysis	NN	
500	modeling	??	VBG
501	and	CC	
502	decision	NN	
503	making	??	VBG
504	using	VBG	
505	networks	NNS	
506	typically	RB	
507	represented	VBN	
508	by	IN	
509	graphs	NNS	
510	Social	??	JJ
511	networks	NNS	
512	financial	JJ	
513	networks	NNS	
514	and	CC	
515	biological	JJ	
516	networks	NNS	
517	are	VBP	
518	a	DT	
519	few	JJ	
520	categories	NNS	
521	that	WDT	
522	are	VBP	
523	relevant	JJ	
524	not	RB	
525	only	RB	
526	academically	RB	
527	but	CC	
528	also	RB	
529	in	IN	
530	daily	JJ	
531	life	NN	
532	A	DT	
533	major	JJ	
534	challenge	NN	
535	for	IN	
536	studying	VBG	
537	networks	NNS	
538	is	VBZ	
539	identifying	VBG	
540	a	DT	
541	concise	??	JJ
542	topology	NN	
543	such	JJ	
544	as	IN	
545	who	WP	
546	strongly	RB	
547	influences	VBZ	
548	whom	WP	
549	in	IN	
550	a	DT	
551	social	JJ	
552	network	NN	
553	Real	JJ	
554	world	NN	
555	networks	NNS	
556	are	VBP	
557	often	RB	
558	large	??	JJ
559	there	??	EX
560	are	VBP	
561	tens	NNS	
562	of	IN	
563	thousands	NNS	
564	of	IN	
565	human	JJ	
566	genes	NNS	
567	and	CC	
568	trillions	NNS	
569	of	IN	
570	connections	NNS	
571	in	IN	
572	the	DT	
573	human	JJ	
574	brain	NN	
575	Based	VBN	
576	on	IN	
577	the	DT	
578	concept	NN	
579	of	IN	
580	DNA	NN	
581	strand	NN	
582	displacement	NN	
583	and	CC	
584	DNA	??	JJ
585	strand	NN	
586	algebra	NN	
587	we	PRP	
588	have	VBP	
589	developed	VBN	
590	a	DT	
591	method	NN	
592	for	IN	
593	logical	JJ	
594	inference	NN	
595	which	WDT	
596	is	VBZ	
597	not	RB	
598	based	VBN	
599	on	IN	
600	silicon	NN	
601	based	VBN	
602	computing	NN	
603	Essentially	RB	
604	it	PRP	
605	is	VBZ	
606	a	DT	
607	paradigm	NN	
608	shift	NN	
609	from	IN	
610	silicon	NN	
611	to	??	TO
612	carbon	NN	
613	In	IN	
614	this	DT	
615	paper	NN	
616	we	PRP	
617	have	VBP	
618	considered	VBN	
619	the	DT	
620	inference	NN	
621	mechanism	NN	
622	viz	NN	
623	modus	NN	
624	ponens	NNS	
625	to	TO	
626	draw	VB	
627	conclusion	NN	
628	from	IN	
629	any	DT	
630	observed	??	VBN
631	fact	NN	
632	Thus	RB	
633	the	DT	
634	present	JJ	
635	approach	NN	
636	to	??	TO
637	logical	JJ	
638	inference	NN	
639	based	VBN	
640	on	IN	
641	DNA	??	JJ
642	strand	NN	
643	algebra	NN	
644	is	VBZ	
645	basically	RB	
646	an	DT	
647	attempt	NN	
648	to	TO	
649	develop	VB	
650	expert	??	JJ
651	system	NN	
652	design	NN	
653	in	IN	
654	the	DT	
655	domain	NN	
656	of	IN	
657	DNA	??	JJ
658	computing	NN	
659	We	PRP	
660	have	VBP	
661	illustrated	VBN	
662	our	PRP$	
663	methodology	NN	
664	with	IN	
665	respect	NN	
666	to	TO	
667	worked	??	VBN
668	out	??	VBN
669	example	NN	
670	Our	PRP$	
671	methodology	NN	
672	is	VBZ	
673	very	RB	
674	flexible	JJ	
675	for	IN	
676	implementation	NN	
677	of	IN	
678	different	JJ	
679	expert	NN	
680	system	NN	
681	applications	NNS	
682	Keywords	NNS	
683	logical	JJ	
684	inference	NN	
685	DNA	??	JJ
686	strand	NN	
687	algebra	NN	
688	DNA	??	JJ
689	gate	NN	
690	DNA	??	JJ
691	signal	NN	
692	process	NN	
693	algebra	NN	
694	DNA	??	JJ
695	computing	NN	
696	modus	NN	
697	ponens	??	FW
698	strand	??	JJ
699	displacement	NN	
700	molecular	JJ	
701	computing	NN	
702	expert	??	JJ
703	system	NN	
704	approach	NN	
705	1	LS	
706	Introduction	??	NNP
707	Conventional	??	JJ
708	silicon	NN	
709	based	VBN	
710	computing	NN	
711	has	VBZ	
712	been	VBN	
713	successful	JJ	
714	over	IN	
715	the	DT	
716	past	JJ	
717	several	JJ	
718	decades	NNS	
719	It	PRP	
720	is	VBZ	
721	fast	RB	
722	flexible	JJ	
723	and	CC	
724	well	RB	
725	understood	VBN	
726	But	CC	
727	it	PRP	
728	has	VBZ	
729	reached	VBN	
730	its	PRP$	
731	limitations	NNS	
732	of	IN	
733	design	NN	
734	complexity	NN	
735	processing	??	VBG
736	power	NN	
737	memory	NN	
738	energy	NN	
739	consumption	NN	
740	density	NN	
741	and	CC	
742	heat	NN	
743	dissipation	NN	
744	Alternatives	??	NNS
745	to	??	TO
746	these	DT	
747	traditional	JJ	
748	methods	NNS	
749	of	IN	
750	building	??	VBG
751	computers	NNS	
752	have	VBP	
753	been	VBN	
754	proposed	VBN	
755	and	CC	
756	in	IN	
757	recent	JJ	
758	past	??	NNS
759	molecular	JJ	
760	computing	NN	
761	has	VBZ	
762	gained	VBN	
763	considerable	JJ	
764	attention	NN	
765	for	IN	
766	based	VBN	
767	computing	NN	
768	which	WDT	
769	can	MD	
770	overcome	VB	
771	conventional	JJ	
772	computation	NN	
773	problems	NNS	
774	The	DT	
775	base	NN	
776	pairing	NN	
777	makes	VBZ	
778	DNA	??	NN
779	a	DT	
780	powerful	JJ	
781	tool	NN	
782	for	IN	
783	engineering	??	NN
784	at	IN	
785	Trip	??	JJ
786	distribution	NN	
787	laws	NNS	
788	are	VBP	
789	basic	JJ	
790	for	IN	
791	the	DT	
792	travel	NN	
793	demand	NN	
794	characterization	NN	
795	needed	VBN	
796	in	IN	
797	transport	NN	
798	and	CC	
799	urban	JJ	
800	planning	NN	
801	Several	JJ	
802	approaches	NNS	
803	have	VBP	
804	been	VBN	
805	considered	VBN	
806	in	IN	
807	the	DT	
808	last	JJ	
809	years	NNS	
810	One	CD	
811	of	IN	
812	them	PRP	
813	is	VBZ	
814	the	DT	
815	gravity	NN	
816	law	NN	
817	in	IN	
818	which	WDT	
819	the	DT	
820	number	NN	
821	of	IN	
822	trips	NNS	
823	is	VBZ	
824	assumed	VBN	
825	to	TO	
826	be	VB	
827	related	VBN	
828	to	??	TO
829	the	DT	
830	population	NN	
831	at	IN	
832	origin	NN	
833	and	CC	
834	destination	NN	
835	and	CC	
836	to	TO	
837	decrease	VB	
838	with	IN	
839	the	DT	
840	distance	NN	
841	The	DT	
842	mathematical	JJ	
843	expression	NN	
844	of	IN	
845	this	DT	
846	law	NN	
847	resembles	VBZ	
848	?? Newton's	??	NNP/POS
849	law	NN	
850	of	IN	
851	gravity	NN	
852	which	WDT	
853	explains	VBZ	
854	its	PRP$	
855	name	NN	
856	Another	DT	
857	popular	JJ	
858	approach	NN	
859	is	VBZ	
860	inspired	VBN	
861	by	IN	
862	the	DT	
863	theory	NN	
864	of	IN	
865	intervening	??	VBG
866	opportunities	NNS	
867	and	CC	
868	it	PRP	
869	has	VBZ	
870	been	VBN	
871	concreted	VBN	
872	into	IN	
873	the	DT	
874	radiation	NN	
875	models	NNS	
876	Individuals	NNS	
877	are	VBP	
878	supposed	VBN	
879	to	TO	
880	travel	VB	
881	until	IN	
882	they	PRP	
883	find	VBP	
884	a	DT	
885	job	NN	
886	opportunity	NN	
887	so	IN	
888	the	DT	
889	population	NN	
890	and	CC	
891	jobs	NNS	
892	spatial	JJ	
893	distributions	NNS	
894	naturally	RB	
895	lead	VBP	
896	to	??	TO
897	a	DT	
898	trip	NN	
899	flow	NN	
900	network	NN	
901	In	IN	
902	this	DT	
903	paper	NN	
904	we	PRP	
905	perform	VBP	
906	a	DT	
907	thorough	JJ	
908	comparison	NN	
909	between	IN	
910	the	DT	
911	gravity	NN	
912	and	CC	
913	the	DT	
914	radiation	NN	
915	approaches	??	NNS
916	in	IN	
917	their	PRP$	
918	ability	NN	
919	at	IN	
920	estimating	VBG	
921	commuting	??	JJ
922	flows	NNS	
923	We	PRP	
924	test	VBP	
925	the	DT	
926	gravity	NN	
927	and	CC	
928	the	DT	
929	radiation	NN	
930	laws	NNS	
931	against	IN	
932	empirical	JJ	
933	trip	NN	
934	data	NNS	
935	at	IN	
936	different	JJ	
937	scales	NNS	
938	and	CC	
939	coming	VBG	
940	from	IN	
941	different	JJ	
942	countries	NNS	
943	Different	JJ	
944	versions	NNS	
945	of	IN	
946	the	DT	
947	gravity	NN	
948	and	CC	
949	the	DT	
950	radiation	NN	
951	laws	NNS	
952	are	VBP	
953	used	VBN	
954	to	TO	
955	estimate	VB	
956	the	DT	
957	probability	NN	
958	that	IN	
959	an	DT	
960	individual	NN	
961	has	VBZ	
962	to	TO	
963	commute	??	VB
964	from	IN	
965	one	??	NN
966	unit	NN	
967	to	??	TO
968	another	DT	
969	called	VBN	
970	trip	NN	
971	distribution	NN	
972	law	NN	
973	Based	VBN	
974	on	IN	
975	these	DT	
976	probability	NN	
977	distribution	NN	
978	the	DT	
979	commuting	??	JJ
980	networks	NNS	
981	are	VBP	
982	simulated	??	VBP
983	with	IN	
984	different	JJ	
985	trip	NN	
986	distribution	NN	
987	models	NNS	
988	We	??	PRP
989	propose	??	VBP
990	a	DT	
991	simple	JJ	
992	ansatz	NN	
993	to	TO	
994	study	VB	
995	phase	NN	
996	transitions	NNS	
997	from	IN	
998	a	DT	
999	topological	JJ	
1000	phase	NN	
1001	to	??	TO
1002	a	DT	
1003	trivial	JJ	
1004	phase	NN	
1005	We	PRP	
1006	probe	??	VBP
1007	the	DT	
1008	efficiency	NN	
1009	of	IN	
1010	this	DT	
1011	approach	NN	
1012	by	IN	
1013	considering	VBG	
1014	the	DT	
1015	model	NN	
1016	in	IN	
1017	the	DT	
1018	presence	NN	
1019	of	IN	
1020	a	DT	
1021	string	NN	
1022	tension	NN	
1023	for	IN	
1024	any	DT	
1025	anyon	NN	
1026	theory	NN	
1027	Such	??	PDT
1028	a	DT	
1029	perturbation	NN	
1030	is	VBZ	
1031	known	VBN	
1032	to	TO	
1033	be	VB	
1034	responsible	JJ	
1035	for	IN	
1036	a	DT	
1037	phase	NN	
1038	transition	NN	
1039	which	WDT	
1040	is	VBZ	
1041	well	RB	
1042	described	VBN	
1043	by	IN	
1044	the	DT	
1045	present	JJ	
1046	variational	JJ	
1047	setup	NN	
1048	We	PRP	
1049	argue	VBP	
1050	that	IN	
1051	results	NNS	
1052	become	VBP	
1053	exact	JJ	
1054	in	IN	
1055	the	DT	
1056	limit	NN	
1057	of	IN	
1058	large	JJ	
1059	total	JJ	
1060	quantum	??	JJ
1061	dimension	NN	
1062	PACS	??	NN
1063	numbers	NNS	
1064	The	DT	
1065	blend	??	NN
1066	of	IN	
1067	quantum	??	JJ
1068	computation	NN	
1069	and	CC	
1070	of	IN	
1071	topological	JJ	
1072	phases	NNS	
1073	of	IN	
1074	matter	NN	
1075	1	??	CD
1076	have	VBP	
1077	led	VBN	
1078	to	??	TO
1079	the	DT	
1080	idea	NN	
1081	of	IN	
1082	topological	JJ	
1083	quantum	??	JJ
1084	computation	NN	
1085	In	IN	
1086	this	DT	
1087	field	NN	
1088	the	DT	
1089	essential	JJ	
1090	ingredient	NN	
1091	is	VBZ	
1092	the	DT	
1093	construction	NN	
1094	of	IN	
1095	physical	JJ	
1096	systems	NNS	
1097	sustaining	VBG	
1098	exotic	JJ	
1099	excitations	NNS	
1100	known	VBN	
1101	as	IN	
1102	anyons	NNS	
1103	see	VB	
1104	Ref	NNP	
1105	5	CD	
1106	for	IN	
1107	a	DT	
1108	review	NN	
1109	Being	VBG	
1110	genuinely	RB	
1111	non	??	JJ
1112	local	JJ	
1113	these	DT	
1114	anyons	NNS	
1115	allow	VBP	
1116	for	IN	
1117	efficient	JJ	
1118	storage	NN	
1119	and	CC	
1120	manipulation	NN	
1121	of	IN	
1122	quantum	??	JJ
1123	information	NN	
1124	Indeed	RB	
1125	topologically	RB	
1126	ordered	??	VBN
1127	systems	NNS	
1128	1	??	CD
1129	are	VBP	
1130	stable	JJ	
1131	under	IN	
1132	local	JJ	
1133	perturbations	NNS	
1134	6	??	CD
1135	and	CC	
1136	hence	RB	
1137	protected	VBN	
1138	against	IN	
1139	undesirable	JJ	
1140	effects	NNS	
1141	such	JJ	
1142	as	IN	
1143	decoherence	NN	
1144	However	RB	
1145	strong	JJ	
1146	enough	RB	
1147	perturbations	NNS	
1148	may	MD	
1149	drive	VB	
1150	the	DT	
1151	system	NN	
1152	to	??	TO
1153	a	DT	
1154	non	JJ	
1155	topological	JJ	
1156	phase	NN	
1157	In	IN	
1158	recent	JJ	
1159	years	NNS	
1160	many	JJ	
1161	works	NNS	
1162	have	VBP	
1163	been	VBN	
1164	devoted	VBN	
1165	to	??	TO
1166	the	DT	
1167	study	NN	
1168	of	IN	
1169	this	DT	
1170	robustness	NN	
1171	in	IN	
1172	microscopic	JJ	
1173	models	NNS	
1174	Walking	VBG	
1175	animals	NNS	
1176	like	IN	
1177	stick	NN	
1178	insects	NNS	
1179	cockroaches	NNS	
1180	or	CC	
1181	ants	NNS	
1182	demonstrate	??	VBZ
1183	a	DT	
1184	fascinating	JJ	
1185	range	NN	
1186	of	IN	
1187	locomotive	??	JJ
1188	abilities	NNS	
1189	and	CC	
1190	complex	JJ	
1191	behaviors	NNS	
1192	The	DT	
1193	locomotive	??	JJ
1194	behaviors	NNS	
1195	can	MD	
1196	consist	VB	
1197	of	IN	
1198	a	DT	
1199	variety	NN	
1200	of	IN	
1201	walking	VBG	
1202	patterns	NNS	
1203	along	IN	
1204	with	IN	
1205	adaptation	NN	
1206	that	WDT	
1207	allow	VBP	
1208	the	DT	
1209	animals	NNS	
1210	to	TO	
1211	deal	VB	
1212	with	IN	
1213	changes	NNS	
1214	in	IN	
1215	environmental	JJ	
1216	conditions	NNS	
1217	like	IN	
1218	uneven	JJ	
1219	terrains	NNS	
1220	gaps	NNS	
1221	obstacles	NNS	
1222	etc	FW	
1223	Biological	??	NN
1224	study	NN	
1225	has	VBZ	
1226	revealed	VBN	
1227	that	IN	
1228	such	JJ	
1229	complex	JJ	
1230	behaviors	NNS	
1231	are	VBP	
1232	a	DT	
1233	result	NN	
1234	of	IN	
1235	a	DT	
1236	combination	NN	
1237	of	IN	
1238	biomechanics	NNS	
1239	and	CC	
1240	neural	JJ	
1241	mechanism	NN	
1242	thus	RB	
1243	representing	VBG	
1244	the	DT	
1245	true	JJ	
1246	nature	NN	
1247	of	IN	
1248	embodied	??	VBG
1249	interactions	NNS	
1250	While	IN	
1251	the	DT	
1252	biomechanics	??	NN
1253	helps	VBZ	
1254	maintain	VB	
1255	flexibility	NN	
1256	and	CC	
1257	sustain	VB	
1258	a	DT	
1259	variety	NN	
1260	of	IN	
1261	movements	NNS	
1262	the	DT	
1263	neural	??	JJ
1264	mechanisms	NNS	
1265	generate	VBP	
1266	movements	NNS	
1267	while	IN	
1268	making	VBG	
1269	appropriate	JJ	
1270	predictions	NNS	
1271	crucial	JJ	
1272	for	IN	
1273	achieving	VBG	
1274	adaptation	NN	
1275	Such	JJ	
1276	predictions	NNS	
1277	or	CC	
1278	planning	??	VBG
1279	ahead	RB	
1280	can	MD	
1281	be	VB	
1282	achieved	VBN	
1283	by	IN	
1284	way	NN	
1285	of	IN	
1286	internal	JJ	
1287	models	NNS	
1288	that	WDT	
1289	are	VBP	
1290	grounded	VBN	
1291	in	IN	
1292	the	DT	
1293	overall	JJ	
1294	behavior	NN	
1295	of	IN	
1296	the	DT	
1297	animal	NN	
1298	Inspired	VBN	
1299	by	IN	
1300	these	DT	
1301	findings	NNS	
1302	we	PRP	
1303	present	??	VBP
1304	here	RB	
1305	an	DT	
1306	artificial	JJ	
1307	walking	NN	
1308	system	NN	
1309	which	WDT	
1310	effectively	RB	
1311	combines	VBZ	
1312	biomechanics	NNS	
1313	in	IN	
1314	terms	NNS	
1315	of	IN	
1316	the	DT	
1317	body	NN	
1318	and	CC	
1319	leg	NN	
1320	structures	NNS	
1321	with	IN	
1322	the	DT	
1323	underlying	VBG	
1324	neural	JJ	
1325	mechanisms	NNS	
1326	The	DT	
1327	neural	JJ	
1328	mechanisms	NNS	
1329	consist	VBP	
1330	of	IN	
1331	1	CD	
1332	central	JJ	
1333	pattern	NN	
1334	generator	NN	
1335	based	VBN	
1336	control	NN	
1337	for	IN	
1338	generating	VBG	
1339	basic	JJ	
1340	rhythmic	JJ	
1341	patterns	NNS	
1342	and	CC	
1343	coordinated	??	VBN
1344	movements	NNS	
1345	2	??	CD
1346	distributed	VBN	
1347	at	IN	
1348	each	DT	
1349	leg	NN	
1350	recurrent	JJ	
1351	neural	??	JJ
1352	network	NN	
1353	based	VBN	
1354	adaptive	??	JJ
1355	forward	??	JJ
1356	models	NNS	
1357	with	IN	
1358	efference	NN	
1359	copies	NNS	
1360	as	IN	
1361	internal	JJ	
1362	models	NNS	
1363	for	IN	
1364	sensory	JJ	
1365	predictions	NNS	
1366	and	CC	
1367	instantaneous	JJ	
1368	state	NN	
1369	estimations	NNS	
1370	and	CC	
1371	3	??	CD
1372	searching	VBG	
1373	and	CC	
1374	elevation	NN	
1375	control	NN	
1376	for	IN	
1377	adapting	VBG	
1378	the	DT	
1379	movement	NN	
1380	of	IN	
1381	an	DT	
1382	individual	JJ	
1383	leg	NN	
1384	to	TO	
1385	deal	VB	
1386	with	IN	
1387	different	JJ	
1388	environmental	JJ	
1389	conditions	NNS	
1390	Perceptual	JJ	
1391	similarity	NN	
1392	is	VBZ	
1393	a	DT	
1394	cognitive	JJ	
1395	judgment	NN	
1396	that	WDT	
1397	represents	VBZ	
1398	the	DT	
1399	of	IN	
1400	a	DT	
1401	complex	JJ	
1402	cascade	NN	
1403	of	IN	
1404	hierarchical	JJ	
1405	processing	NN	
1406	throughout	IN	
1407	visual	JJ	
1408	cortex	NN	
1409	Although	IN	
1410	it	PRP	
1411	is	VBZ	
1412	intuitive	JJ	
1413	that	IN	
1414	visual	JJ	
1415	objects	NNS	
1416	that	WDT	
1417	appear	VBP	
1418	similar	JJ	
1419	may	MD	
1420	share	VB	
1421	similar	JJ	
1422	underlying	??	JJ
1423	patterns	NNS	
1424	of	IN	
1425	neural	JJ	
1426	activation	NN	
1427	a	DT	
1428	direct	JJ	
1429	mapping	NN	
1430	between	IN	
1431	perceptual	JJ	
1432	similarity	NN	
1433	and	CC	
1434	representational	JJ	
1435	distance	NN	
1436	has	VBZ	
1437	not	RB	
1438	been	VBN	
1439	demonstrated	VBN	
1440	Here	RB	
1441	we	PRP	
1442	explore	??	VBP
1443	the	DT	
1444	relationship	NN	
1445	between	IN	
1446	the	DT	
1447	human	JJ	
